f_n,burnup_percent,n_points,rmse_swelling_d,bias_swelling_d
1e-07,1.1,20,0.5179027158914997,0.0870568370305278
1e-07,1.3,9,1.2859855524914925,0.22563568432466305
1e-07,3.2,10,0.917966574246456,-0.7679961151038766
1e-07,all,39,0.8574697475091859,-0.10020777567964724
3e-07,1.1,20,0.6980469213368999,-0.45584578079461213
3e-07,1.3,9,1.1403207751164175,-0.542086079669222
3e-07,3.2,10,1.357412011563381,-1.1947553559254198
3e-07,all,39,1.011143640542637,-0.6652113818504984
1e-06,1.1,20,1.1118518122188334,-0.9080210337825791
1e-06,1.3,9,1.4483643116151945,-1.1969046361499602
1e-06,3.2,10,1.6810210038329259,-1.5043130510634097
1e-06,all,39,1.3574338328531907,-1.1275818695291109
1.5e-06,1.1,20,1.2335314893880727,-1.0260971624197783
1.5e-06,1.3,9,1.580658795604756,-1.369604307012741
1.5e-06,3.2,10,1.7620785669336172,-1.5815472567844988
1.5e-06,all,39,1.4673152486666001,-1.2477911430603903
2e-06,1.1,20,1.3120374918383342,-1.1006796126873892
2e-06,1.3,9,1.6718597575791394,-1.4789692535020125
2e-06,3.2,10,1.8127424411807125,-1.6297769802907254
2e-06,all,39,1.5396072977613466,-1.3236432137993115
3e-06,1.1,20,1.4117992360048799,-1.1940593182836943
3e-06,1.3,9,1.7930126529592139,-1.616179518685192
3e-06,3.2,10,1.875652153308493,-1.6896237436865005
3e-06,all,39,1.6328227958310353,-1.4185394736078363
5e-06,1.1,20,1.5204476370164741,-1.2943257051154256
5e-06,1.3,9,1.9304142265272466,-1.7638562871324501
5e-06,3.2,10,1.9426124219919954,-1.7532848370384138
5e-06,all,39,1.7358301223508696,-1.5203607450483254
7e-06,1.1,20,1.582557567695682,-1.351085317890056
7e-06,1.3,9,2.011082279568518,-1.8476172252567586
7e-06,3.2,10,1.9802672368628926,-1.7890731824761406
7e-06,all,39,1.7953245532750208,-1.5779741848685476
1e-05,1.1,20,1.6410254246057867,-1.4041931552508427
1e-05,1.3,9,2.088238808263381,-1.9261049150533895
1e-05,3.2,10,2.015348790468506,-1.8224145181319549
1e-05,all,39,1.851695468673384,-1.631870577482485
1.5e-05,1.1,20,1.6992073953529443,-1.4567584583572712
1.5e-05,1.3,9,2.16608016909965,-2.00391542998205
1.5e-05,3.2,10,2.0499467415285526,-1.855302561241403
1.5e-05,all,39,1.9081207130696984,-1.685216247420459
2e-05,1.1,20,1.7356889034637453,-1.4895848364253748
2e-05,1.3,9,2.2153900929121213,-2.05257898764026
2e-05,3.2,10,2.071503825256851,-1.875802565561631
2e-05,all,39,1.9436628107026983,-1.7185367505868243
3e-05,1.1,20,1.7810914095229653,-1.530304373320854
3e-05,1.3,9,2.2772682632916332,-2.1130321224267328
3e-05,3.2,10,2.0982182964231137,-1.9012238104015857
3e-05,all,39,1.9880701186038454,-1.7598875556993214
0.0001,1.1,20,1.8821701076816182,-1.620481142299024
0.0001,1.3,9,2.4169641892188047,-2.2473343735422535
0.0001,3.2,10,2.15761231968715,-1.957883903366144
0.0001,all,39,2.0876906547872665,-1.8516531087569796
