T_K,D_Xe_tot,D1_Xe,D3_Xe,D2_Xe_diagnostic,D_v_tot,D1_v,D3_v,D2_v_paper_broken
800.0,9.250000000000012e-20,1.1816648126117042e-34,9.25e-20,1.3090767189140957e-84,2.4800000000000004e-22,2.9778519810694073e-38,2.48e-22,0.033974209242428416
807.035175879397,9.250000000000022e-20,2.206899151903176e-34,9.25e-20,1.493252548283356e-85,2.4800000000000004e-22,6.091598475655552e-38,2.48e-22,0.02714255340851316
814.070351758794,9.250000000000041e-20,4.077385184857663e-34,9.25e-20,1.852497598250438e-86,2.4800000000000013e-22,1.2307988828809894e-37,2.48e-22,0.021796081578617316
821.105527638191,9.250000000000075e-20,7.454398146847667e-34,9.25e-20,2.4910786817149745e-87,2.4800000000000023e-22,2.45701986822034e-37,2.48e-22,0.01758982463130569
828.1407035175879,9.250000000000135e-20,1.348936323598698e-33,9.25e-20,3.6194153766390325e-88,2.4800000000000046e-22,4.847629182829797e-37,2.48e-22,0.014263687490033882
835.1758793969849,9.250000000000242e-20,2.416745051834294e-33,9.25e-20,5.6648637455147086e-89,2.4800000000000093e-22,9.455362088714338e-37,2.48e-22,0.01162047653046763
842.2110552763819,9.250000000000429e-20,4.287849140545732e-33,9.25e-20,9.523118824935623e-90,2.4800000000000183e-22,1.8238099626403034e-36,2.48e-22,0.009509880930966306
849.2462311557789,9.250000000000754e-20,7.535682099451325e-33,9.25e-20,1.7147583012120483e-90,2.4800000000000347e-22,3.479798651193976e-36,2.48e-22,0.00781672656915288
856.2814070351759,9.250000000001312e-20,1.312144730314859e-32,9.25e-20,3.298447672794226e-91,2.4800000000000657e-22,6.569287479708657e-36,2.48e-22,0.006452314144910813
863.3165829145729,9.250000000002264e-20,2.2642031194018957e-32,9.25e-20,6.76081749159128e-92,2.4800000000001226e-22,1.2273961312766706e-35,2.48e-22,0.005347996590030353
870.3517587939698,9.250000000003872e-20,3.872743129278213e-32,9.25e-20,1.4730587484201917e-92,2.480000000000227e-22,2.2701922093464184e-35,2.48e-22,0.004450391434996246
877.3869346733668,9.250000000006568e-20,6.56725383022817e-32,9.25e-20,3.4038184558608017e-93,2.4800000000004156e-22,4.1577413816934454e-35,2.48e-22,0.003717793416252347
884.4221105527638,9.250000000011043e-20,1.1043326754715951e-31,9.25e-20,8.322925430984586e-94,2.480000000000754e-22,7.541738817288591e-35,2.48e-22,0.0031174728716602982
891.4572864321608,9.250000000018418e-20,1.8418465418031873e-31,9.25e-20,2.148959198983396e-94,2.480000000001355e-22,1.3552008311055082e-34,2.48e-22,0.002623631230951166
898.4924623115578,9.250000000030474e-20,3.0473900791922137e-31,9.25e-20,5.8471134881649204e-95,2.480000000002413e-22,2.4129585867189855e-34,2.48e-22,0.0022158464004042463
