T_K,Rd_nm,Nd_per_m3
900.0,33.05348371804402,4.854140684062412e+19
950.0,33.629719913534025,4.846666056164224e+19
1000.0,34.20043755773767,4.8390351558554485e+19
1050.0,34.76551755942911,4.831254731784464e+19
1100.0,35.32482270052401,4.823332139222671e+19
1150.0,35.87819321565039,4.815275425786861e+19
1200.0,36.425496919209245,4.8070925988648165e+19
1250.0,36.967011839936205,4.79878560512268e+19
1300.0,37.50546656864702,4.790317011908042e+19
1350.0,38.05518196114408,4.7814559879164215e+19
1400.0,38.6773653688349,4.771162669220502e+19
1450.0,39.5913916657251,4.755527707841201e+19
1500.0,41.38881017138226,4.722996142810244e+19
1550.0,44.95163877300627,4.651556786095858e+19
1600.0,50.58282544556246,4.520255424623755e+19
1650.0,57.71988020024876,4.324025768889545e+19
1700.0,65.45760794902347,4.080123559030113e+19
1750.0,72.69481897503546,3.83120945099479e+19
1800.0,78.51553152910112,3.622608765348117e+19
1850.0,82.78753269981377,3.467595905235347e+19
1900.0,85.97528741444263,3.351976176036114e+19
1950.0,88.58424592039343,3.2578528416895025e+19
2000.0,90.94247243377764,3.1734220845554565e+19
2050.0,93.2285395653878,3.092344632713703e+19
