law,label,burnup_percent,n_points,rmse_swelling_d,bias_swelling_d
constant,Constant rho_d (Rizk 2025),1.1,20,0.8974452288788424,0.24850920096512805
constant,Constant rho_d (Rizk 2025),1.3,9,2.7611660140881966,1.246798306979195
constant,Constant rho_d (Rizk 2025),3.2,10,0.6591092157967717,0.18489796807208878
constant,Constant rho_d (Rizk 2025),all,39,1.5112293193972708,0.46257303750862067
FT,Blank-saturating + Ray-Blank,1.1,20,1.2194183605878215,0.5874682030840895
FT,Blank-saturating + Ray-Blank,1.3,9,3.316117127575223,1.805569439529022
FT,Blank-saturating + Ray-Blank,3.2,10,5.516952762406047,4.945148963589463
FT,Blank-saturating + Ray-Blank,all,39,3.332347273985675,1.9859225295727594
exp,Rizk-NEAMS exp (Eq. 3.38),1.1,20,1.5233806660381795,-1.3406335764264614
exp,Rizk-NEAMS exp (Eq. 3.38),1.3,9,3.1834792411471358,0.035267513414170816
exp,Rizk-NEAMS exp (Eq. 3.38),3.2,10,4.04771315278043,1.406196055455355
exp,Rizk-NEAMS exp (Eq. 3.38),all,39,2.780262169220867,-0.31880265008328573
