id,designation,material,T_Thomas,burnup,TD,fgr_meas,fgr_model,residual,log_ratio,excluded
1,PBRF 504B,UN,1324.0,0.47,94.0,0.02,0.0,-0.02,-10.301029995663981,True
2,PBRF 503B,UN,1265.0,0.89,94.0,0.05,0.0,-0.05,-10.698970004336019,True
3,PBRF 503C,UN,1256.0,0.92,94.0,0.02,0.0,-0.02,-10.301029995663981,True
4,PBRF 501F,UN,1313.0,1.36,94.0,0.1,0.0,-0.1,-11.0,True
5,PBRF 503D,UN,1272.0,1.46,94.0,0.09,0.0,-0.09,-10.954242509439325,True
6,PBRF 503E,UN,1297.0,1.46,94.0,0.09,0.0,-0.09,-10.954242509439325,True
7,PBRF 502A,UN,1270.0,0.4,94.0,0.03,0.0,-0.03,-10.477121254719663,True
8,PBRF 503I,UN,1334.0,2.16,94.0,1.29,6.2011021905661865,4.9111021905661865,0.681879178027755,False
9,PBRF 503G,UN,1353.0,2.34,94.0,0.18,6.959054897988759,6.779054897988759,1.5872777574298673,False
10,PBRF 505E,UN,1322.0,1.85,94.0,0.22,3.7548609406914233,3.534860940691423,1.2321711769470984,False
11,PBRF 505F,UN,1357.0,1.85,94.0,1.91,4.3735838957367,2.4635838957367,0.35980409449420503,False
12,PBRF 507D,UN,1309.0,1.94,94.0,0.22,4.530843094382884,4.310843094382884,1.3137563417578626,False
13,PBRF 509A,UN,1345.0,1.88,94.0,0.09,4.539864928736308,4.449864928736308,1.7028004223655497,True
14,PBRF 509B,UN,1277.0,1.88,94.0,0.13,3.5994547536767203,3.4694547536767204,1.4422933664038828,False
15,PBRF 505A,UN,1170.0,0.22,94.0,0.15,0.0,-0.15,-11.176091259055681,False
16,PW 26-201-40,UN,1564.0,0.57,90.8,3.5,0.0,-3.5,-12.544068044350276,False
17,PW 26-201-41,UN,1575.0,0.72,90.3,5.1,0.0,-5.1,-12.707570176097937,False
18,PW 26-210-108,UN,1537.0,0.42,96.1,3.0,0.0,-3.0,-12.477121254719663,False
19,PW 26-210-109,UN,1597.0,0.42,96.1,2.5,0.0,-2.5,-12.397940008672037,False
20,PW 26-210-110,UN,1588.0,0.4,96.2,2.5,0.0,-2.5,-12.397940008672037,False
21,PW 26-220-118,UN,1505.0,0.95,94.1,4.9,0.0,-4.9,-12.690196080028514,False
22,PW 26-220-119,UN,1659.0,0.95,94.3,12.0,0.0,-12.0,-13.079181246047625,False
23,PW 26-220-121,UN,1508.0,0.96,94.0,4.3,0.0,-4.3,-12.633468455579587,False
24,PW 26-230-123,UN,1710.0,0.58,96.4,0.53,0.0,-0.53,-11.724275869600788,False
25,PW 26-230-124,UN,1800.0,0.63,96.0,0.88,0.0,-0.88,-11.94448267215017,False
