label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v2_trial_00086,1.3980883772782533,0.8641459601292089,0.27528462005613935,0.0,0.1633241635596129,0.06608270763235065,0.17492771312740968,0.03443707944730936,1.5040781782229062,2.546599181054665e-07,648457.8815174045,35349769915897.875,7.479933166845849e+19,1.0,0.5332926825020815,3.065510358735287,0.4625270229443919,4.50670527974943,6.997011879783073,0.1400949374295444,2.7518730108198253,0.4426591573881199,85.92010933246755,1.0357508934552027e+19,1.853545645441799e+19,2.006474593026151e+18,-0.9655696205863368,3.7077970807218046,1.5139673439073702,6.522147668567157e-05,0.008677267919878473,0.008677267919878473,12.0,22,0,4.2934800659537927e-19,3.736380896950266e-105,2.773635502805564e-86,1.5746671256700067e-104,4.2144180936030695,1.3837876358664822e-19,3.027645321986162e-19,2.0594492878976158e-20,capture_only,0.08868376036516595,0.23057977241823763,0.916973448416361,86,TrialState.COMPLETE
capture_only_v2_trial_00098,1.4180821362689464,0.8303965806990392,0.33983236793308763,0.0,0.19540659919875397,0.062246300338142456,0.13574631063105463,0.10148352612203904,1.4466870279543427,1.9043270221356258e-07,633679.6020719425,48099413720427.445,6.83465055962113e+19,1.0,0.39207999318132475,3.70397157889179,0.38808491499461373,3.374519316281039,7.004801621607279,0.060804470943718776,2.6548540198185404,0.35097051361526155,76.50025418165538,1.4156744764599675e+19,2.46191085460523e+19,2.759727412524043e+18,-0.9504061356769696,3.7074054180903815,1.2538446673330292,2.3239356040283856e-05,0.003769368825772134,0.003769368825772134,12.0,22,0,4.2934800659537927e-19,3.571580488397482e-105,4.947189922766422e-86,2.749593947510981e-104,7.698535582337345,1.264410353529909e-19,2.1791376377737197e-19,2.05704852210802e-20,capture_only,0.06318235922581418,0.2562671837304876,0.8065075774865252,98,TrialState.COMPLETE
capture_only_v2_trial_00063,1.424938476101595,0.9160974304603108,0.38325165521678045,0.04022597807125955,0.0924396921782283,0.0,0.050919852831754195,0.09805618576384982,1.1707269907817042,9.389645079044632e-08,333156.65179182286,30850898789453.816,5.6219872606614266e+19,1.0,1.1494963602639454,3.453577435265692,0.30734571386339987,3.135320370585514,5.3172683223729775,2.6286850067737255,3.097599707358983,0.26479506962831223,112.47996666343565,5.196502594008404e+18,8.780955241916827e+18,1.6338613571340147e+18,-0.730326562196427,4.273786282842665,0.8903705177837035,0.0009194770569467488,0.17576953282280272,0.17576953282280272,12.0,22,0,4.2934800659537927e-19,3.2392704770569944e-105,2.09280366818663e-86,1.1162068210212258e-104,3.4458586552961883,1.040067643222364e-19,6.130893678992097e-19,2.0522075237526617e-20,capture_only,0.11249645937000168,0.22090118036048803,0.9125198242068099,63,TrialState.COMPLETE
capture_only_v2_trial_00096,1.4534203377655595,0.9008827247044675,0.29136154695261635,0.0,0.16864103003265848,0.0875262348260115,0.14080028262423383,0.08194294603777606,1.4546714248528416,1.9563345874938012e-07,575602.4796319874,48215234439283.93,6.914651348800663e+19,1.0,0.5017083105407109,3.297049666451099,0.3995338302907599,3.422733302179878,6.731682175758141,0.07949100283270011,3.048476248140224,0.35136686637873754,84.97945852757393,1.1859116289606132e+19,2.2142541423366287e+19,2.2926716063705472e+18,-0.9848856133291849,4.297651708562987,1.3032780546364142,3.4880748014524105e-05,0.005943091285689846,0.005943091285689846,12.0,22,0,4.2934800659537927e-19,3.5924226649930366e-105,5.683481146264565e-86,3.1672281762882883e-104,8.816412965968267,1.2792104995281226e-19,2.7958651687740904e-19,2.0573521450479794e-20,capture_only,0.09111773255233074,0.23383570835882456,1.0205758561263214,96,TrialState.COMPLETE
capture_only_v2_trial_00083,1.4565988670677452,0.9146476756666164,0.2292505118365613,0.0,0.1559636883447157,0.11373570420260294,0.159912249682402,0.009256404103857504,1.7993262875244636,2.9282186806324673e-07,532634.8373381813,39042179164193.336,7.225738727120302e+19,1.0,0.5442979146597048,2.4185057206547818,0.46467182703513,3.783771107145692,7.571688629326861,0.09406681334141415,2.9150940372099954,0.48558092217815313,94.10183108842423,8.351600988280373e+18,1.6472853837762124e+19,1.3252930368653443e+18,-1.0944569288111214,3.9370933831824386,1.6602696398839614,4.6354968413669734e-05,0.006506718135353594,0.006506718135353594,12.0,22,0,4.2934800659537927e-19,3.672344465950192e-105,2.6954176645176654e-86,1.5175853015816174e-104,4.132469913028579,1.336761664517256e-19,3.06452883292544e-19,2.0585164232634632e-20,capture_only,0.09769731751215388,0.20784589776249332,1.0596147678646453,83,TrialState.COMPLETE
capture_only_v2_trial_00097,1.4626288516575963,0.8807942327037974,0.32803389477100997,0.0,0.18330620513516746,0.08274121083076863,0.1460747910110678,0.0931586820280028,1.4066025897141072,1.6928089461277585e-07,637436.7805891151,48615001789103.42,6.999141849967481e+19,1.0,0.410234965375116,3.21332553201888,0.4103019919180148,3.446659850207593,6.658324783578577,0.06771885870190163,2.969254642952676,0.35205201436143263,80.33831594647963,1.3670697186184045e+19,2.483859674158533e+19,2.668397531132133e+18,-0.9688765265370938,4.165975019900051,1.329512592481164,2.906450390714207e-05,0.004850985908936961,0.004850985908936961,12.0,22,0,4.2934800659537927e-19,3.614304029578632e-105,5.038883892656035e-86,2.8158902226864276e-104,7.790961135648332,1.2948412422439841e-19,2.292524798373538e-19,2.057670906584969e-20,capture_only,0.07945371563151052,0.24255926249684762,0.9822802283919108,97,TrialState.COMPLETE
capture_only_v2_trial_00082,1.4669593985388931,0.9213039260366837,0.23415298855099492,0.0,0.15355087974697823,0.12116909463737956,0.15943839231720874,0.023667434569744634,1.7606090760668789,2.604690390640387e-07,508291.3570760902,39327075411623.07,7.217859045486487e+19,1.0,0.48783039030779746,2.4449479867419233,0.43627022823918715,3.6657382939356706,7.430620036350638,2.203654531875938,2.932711285022094,0.46500400521846147,95.07443408466146,8.14684500688006e+18,1.5939206360521736e+19,1.319528162852031e+18,-1.0820480295014498,4.000294181768394,1.6089208571670663,0.0010629123888424808,0.1516036229988585,0.1516036229988585,12.0,22,0,4.2934800659537927e-19,3.67034157049713e-105,2.6124299940697227e-86,1.4704804123966467e-104,4.006385738637064,1.335303923415e-19,2.7458918904920596e-19,2.058487245648395e-20,capture_only,0.09826285610541013,0.20554591788972734,1.0565948759886,82,TrialState.COMPLETE
capture_only_v2_trial_00038,1.4818626262960812,0.9766250752565477,0.3693753312913651,0.021829177232134196,0.12226795711549675,0.0,0.0389690633188847,0.0701289674279786,1.4356004297689209,4.021591430775018e-08,477422.0770149884,22165057320781.35,5.469392208935009e+19,1.0,0.9352549931889004,1.8536060669153422,0.23697067327783922,1.6644462667357145,6.665962714815947,3.100687813022015,2.2246629878718935,0.37524918333962753,97.27497468046928,5.769952538546216e+18,9.117812051525893e+18,1.5765214342551828e+18,-0.7621907559465179,2.6195131037008523,1.1244612868620159,0.000958080240978804,0.12077537837468548,0.12077537837468548,12.0,22,0,4.2934800659537927e-19,3.1950070300589595e-105,4.431989536711674e-86,2.351311220118923e-104,7.359330348877301,1.0118375586529766e-19,4.961824798866557e-19,2.0515627063628526e-20,capture_only,0.08873851930290609,0.17658045314047538,0.6488738176692036,38,TrialState.COMPLETE
capture_only_v2_trial_00023,1.5152916043459692,0.9646831380373446,0.32154033346476746,0.0,0.13992570507501037,0.08829025271001967,0.01899561738871021,0.014009024772769284,1.9935169172363294,1.1372476065355855e-07,416774.3679906442,30164235264945.434,5.223548383259189e+19,1.0,0.5385278755480151,1.856396497587206,0.4028294988617625,2.7284486227139038,6.9400160098438155,1.5814146693004318,2.883910331087871,0.5047485391641965,107.73681034804034,5.505551157258677e+18,1.0419994482734848e+19,9.756584181487406e+17,-1.0285696929398975,3.759886095051305,1.6562119933722723,0.0005748900659794704,0.09907759514760932,0.09907759514760932,12.0,22,0,4.2934800659537927e-19,3.1223752452331423e-105,2.5750957740690154e-86,1.3544582786851688e-104,4.337909995773214,9.663564509029501e-20,2.832568585152733e-19,2.0505046270426713e-20,capture_only,0.09315390784700059,0.17334499892626173,1.0376708654085984,23,TrialState.COMPLETE
capture_only_v2_trial_00091,1.52099543312225,0.89964286140068,0.37498597113585813,0.0,0.19792860360344414,0.08976175363053593,0.17863612798171438,0.029913419337228343,1.360630695982026,2.6607958318902576e-07,752422.7515840315,47847872227380.09,7.544077344983517e+19,1.0,0.4620028911658109,2.6024590851654668,0.5592261985771741,4.071089705940385,6.424240339683871,0.11616904298047075,2.988182989124432,0.44681292120138844,75.97770485775462,1.6265224769632385e+19,2.8762095444305097e+19,3.116547415924804e+18,-0.9651467843715935,3.9923711263127424,1.655193959496117,8.725899495687731e-05,0.007905452552923426,0.007905452552923426,12.0,22,0,4.2934800659537927e-19,3.752367367118726e-105,2.37126970049201e-86,1.3490471964933275e-104,3.5951895550386905,1.3956543088219505e-19,2.628396529377191e-19,2.0596821742782617e-20,capture_only,0.10657671254120796,0.2188303964742244,1.0883133750810121,91,TrialState.COMPLETE
