# T swD swB Rd Nd pd_over_eq pb_over_eq burnup swD1600 swB1600
900.0 0.19564707313069873 0.35020731400624966 27.817472305365104 2.169860194777111e+19 10.398262155760284 1.00868258992684 0.2 0.5409642891403981 0.0012288064540553656
950.0 0.21649984405496359 0.352102135043654 28.82890596009149 2.1571706071727944e+19 6.880864463717943 1.0033131254027456 0.5 1.4101715463809659 0.035009302104180066
1000.0 0.2444084321365777 0.35359468422227863 30.096646290207154 2.1402931570098848e+19 4.964327839418608 1.0014610491232596 0.8 1.9574182242812128 0.12374721505434773
1050.0 0.2792829804450522 0.3548913453289254 31.5681792430035 2.1193723288024183e+19 3.837098540109026 1.0007310525253543 1.1 2.294113341033952 0.2348246748250871
1100.0 0.32062711300298935 0.3561198763485653 33.18349970386656 2.0948121014905164e+19 3.129882980185563 1.0004082403523893 1.3 2.4562665259448266 0.31196658391530185
1150.0 0.36771306774673734 0.35736437755779776 34.888501175844105 2.067157262644583e+19 2.6615622381290502 1.00025129507361 1.6 2.6468176868590962 0.4281635862356146
1200.0 0.41976294584899426 0.35867602039220847 36.64178447423137 2.036974733552176e+19 2.3370419887429037 1.000168897487465 2.0 2.843303197619489 0.5816569758773984
1250.0 0.4762632025347059 0.3600772419316575 38.42130080563168 2.0046669269880123e+19 2.1025137695608875 1.0001226590650123 2.5 3.038197407797279 0.7700047807952818
1300.0 0.5379972197819934 0.3615520518859061 40.2484340586773 1.969901260535417e+19 1.9230745987936269 1.0000947495196066 3.2 3.2610061130687678 1.0271112091072163
1350.0 0.6106775636724612 0.3630002246687161 42.27461029135991 1.9296765391167795e+19 1.7677793248270277 1.0000758245194143 4.0 3.476881530754884 1.3124056704195943
1400.0 0.7142544718039793 0.3641529656135114 44.98063555691113 1.873646241309162e+19 1.6011738517070269 1.0000607367893486 5.0 3.713515362920719 1.6577761686050538
1450.0 0.8904841786357917 0.3645913145824698 49.23037180629588 1.7817150611082902e+19 1.408947648232202 1.0000488510580796 6.0 3.9265916875953697 1.9921769759082095
1500.0 1.185955823238081 0.3629317438980802 55.71821527230757 1.6367724700178004e+19 1.2393339033318211 1.0000414855651396 nan nan nan
1550.0 1.6619454868070687 0.35069855514717213 65.28705317238239 1.4257617703710036e+19 1.1409650744813271 1.0000366763955473 nan nan nan
1600.0 2.4562665259448266 0.31196658391530185 80.40137882452879 1.1282267446162983e+19 1.1104044762943748 1.0000335825029405 nan nan nan
1650.0 3.767552854767542 0.24794594240072523 105.84141168275364 7.585843404646479e+18 1.137070308483901 1.0000347376309586 nan nan nan
1700.0 5.755278058087763 0.1761003366766835 150.28539186392044 4.047877837451698e+18 1.243487477964256 1.0000446263505653 nan nan nan
1750.0 8.361361212742414 0.11119651937995716 227.87700140066113 1.686890483313583e+18 1.479595057544499 1.0000651695089857 nan nan nan
1800.0 11.306381652919654 0.062391873098409587 359.6225332065877 5.803558201744586e+17 1.8991618354348339 1.0000901472313253 nan nan nan
1850.0 14.306806780644976 0.03197487601927133 576.7777299808388 1.7800354528654877e+17 2.5669935477959864 1.0001109982131204 nan nan nan
1900.0 17.17224760543277 0.015675539069983303 923.1396004146001 5.211183762674488e+16 3.5773259800921204 1.00012476001655 nan nan nan
1950.0 19.80568682260794 0.007645412759808837 1455.714102366664 1.5327560192387032e+16 5.057049368055374 1.0001329649038186 nan nan nan
2000.0 22.183888000945114 0.0037935131049047417 2246.7641305123952 4669566980900887.0 7.1672965472001255 1.0001378446059972 nan nan nan
