label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_swig_diag,trial_number,state
M7_full_trial_00316,1.1406165680630567,0.6735527339860254,0.19225611684374938,0.0,0.14554495073789486,0.6113233245928498,0.17081391619918104,0.0,1.1225280464686485,2.2902491600716358e-08,709199.8334406841,39656696537392.59,7.40941500538814e+19,0.15002769483418218,2.1277549256759043,0.6943247783071916,3.117006003292535,0.6505501092969307,11.933637494017471,0.06384443176310077,2.636862586266299,1.6252034279283851,93.41254077739478,7.722951977383248e+18,1.9268740903686627e+19,1.2584847022235213e+18,-1.1850053962923492,4.441269637271143,6.0242268911898735,7.054077977514426e-05,0.016930569967644454,0.016930569967644454,12.0,22,0,4.2934800659537927e-19,3.7187265506099974e-105,1.697333081349663e-86,9.614071112446075e-105,2.5853127358528263,1.370741775996806e-19,1.2052075924331431e-18,3.0893584463910005e-21,M7_full,2.2686739305713344,316,TrialState.COMPLETE
M7_full_trial_00213,1.1423060694411622,0.683394478988187,0.1784773428788066,0.0,0.15210782492309186,0.6069246828029237,0.1330385478983895,0.0,1.2124006136589207,2.6577817145238185e-08,706935.4892963376,42993833836011.17,6.792170077948872e+19,0.15003408883769043,2.199650566320295,0.5626010744649469,3.650759431275298,0.6463836792366594,12.15992482718024,0.05856470740843494,2.698403114389269,1.688482165867888,93.47601119603253,7.887106485341795e+18,2.0618249758857826e+19,1.190744444914372e+18,-1.2384332320312,4.540489047939285,6.146337677844813,6.57141733968962e-05,0.016895766340103306,0.016895766340103306,12.0,22,0,4.2934800659537927e-19,3.5604636836822285e-105,1.2652322860551815e-86,7.022079080853857e-105,1.9722372434344362,1.2565514644205415e-19,1.22081299988834e-18,3.0860310321829994e-21,M7_full,2.3557046657943324,213,TrialState.COMPLETE
M7_full_trial_00223,1.1438593313812033,0.6884064991103226,0.19287152016865916,0.0,0.1460824833515737,0.6006659050001731,0.13276225525368596,0.0,1.1139138667106483,2.4449068022621852e-08,679233.533099896,42622583182552.35,6.787850359656756e+19,0.1500526198588503,2.2853722583695864,0.5134520006957554,3.496737854337196,0.6409430985150694,11.31989703418323,0.06316466946961923,2.7429106550751063,1.620395214885762,93.27607179095189,8.068862377517045e+18,2.0046145098735755e+19,1.3392725670228001e+18,-1.1751618964998647,4.647514284115608,6.005588962350803,6.998909182721957e-05,0.01830828994735678,0.01830828994735678,12.0,22,0,4.2934800659537927e-19,3.559331302860021e-105,1.0764240351339448e-86,5.973327113056155e-105,1.6782161043161175,1.2557523165365e-19,1.2682061742189482e-18,3.0863874412834685e-21,M7_full,2.3401753948521975,223,TrialState.COMPLETE
M7_full_trial_00241,1.1464580618922602,0.6798258020761548,0.1812855642398692,0.0,0.15127903937994125,0.6133326979194113,0.1418780183029954,0.0,1.24866469090743,2.4210695458899045e-08,679153.0069693365,42719655065755.53,6.931831904842081e+19,0.15012409981713892,2.36180756957213,0.6634123085155349,3.8453220619730923,0.6182519467389562,12.550855740931807,0.06370185291844783,2.6277856152574426,1.7656783054436358,94.25821330305901,7.49106752303975e+18,1.9636539213704667e+19,1.1077870267787534e+18,-1.2486086743465779,4.411595466579789,6.202568190456586,7.469233738068232e-05,0.018389167055442957,0.018389167055442957,12.0,22,0,4.2934800659537927e-19,3.596882870227978e-105,1.1753782561663354e-86,6.55375514463071e-105,1.8220652106514992,1.282388902395785e-19,1.3169129536390376e-18,3.0886789309702805e-21,M7_full,2.3331539940355004,241,TrialState.COMPLETE
M7_full_trial_00221,1.1468275365910963,0.6809646554071616,0.1741243460618353,0.0,0.14663331179911296,0.648203745471188,0.1416684935284674,0.015147171356807819,1.2304052872421876,2.7711596975618508e-08,731345.7780086756,42815025818361.92,6.928488458673946e+19,0.15152771009004654,2.324852995399007,0.6485715079243242,3.2809420450626416,0.6823326303765911,12.38945096268824,0.06187509634244709,2.801298888680124,1.472914451440012,96.23582167904598,7.503442579508045e+18,2.0554806424102433e+19,1.1249430667855599e+18,-1.261782847726701,4.698453068620731,5.787744261327512,6.874538027541312e-05,0.017714209482445682,0.017714209482445682,12.0,22,0,4.2934800659537927e-19,3.596015319276463e-105,1.3101554530480299e-86,7.3044447540321e-105,2.0312607443234674,1.28177036485468e-19,1.2961637664164684e-18,3.1175378985926263e-21,M7_full,2.2880624009167616,221,TrialState.COMPLETE
M7_full_trial_00318,1.1482740878609763,0.6620451316183361,0.1856313757648056,0.0,0.1451108463271841,0.6657464254008291,0.17039732050374645,0.007733958043887595,1.2766840293699087,2.3058613999525107e-08,720276.9523356833,40232853379656.8,7.402310953805026e+19,0.15030827286062776,2.1443233581501384,0.6919462081044362,3.0764295461829274,0.6664495707367909,13.225584176503604,0.06475549469950712,2.6642793252947987,1.540060969381406,97.71333144134427,6.817571231202711e+18,1.8832806228729324e+19,9.896626695865148e+17,-1.279427849120696,4.436207600774971,5.8779091372892545,7.21224034445482e-05,0.017163999084605974,0.017163999084605974,12.0,22,0,4.2934800659537927e-19,3.71694338955256e-105,1.6493619015105894e-86,9.340184034692355e-105,2.5128669058951454,1.36942752645393e-19,1.2143105025445643e-18,3.09509704199968e-21,M7_full,2.222757115651851,318,TrialState.COMPLETE
M7_full_trial_00232,1.1482865192134777,0.6904154515793814,0.17872549623775366,0.0,0.15513689481915738,0.5858222235050409,0.13737124578938018,0.0,1.2138762754963575,2.309673686150803e-08,707456.3088750872,44143064762796.95,6.8602706560538305e+19,0.15994229447898317,2.3567570127010757,0.6707826453500633,3.6100530396081116,0.576907598486308,11.904348000094783,0.07030074895731517,2.7176385408280526,1.7539427491477209,92.2571411953143,8.262340811341891e+18,2.1338284632491057e+19,1.2442724042554248e+18,-1.2342440345548982,4.596114501754308,6.26047080671411,8.424520848578242e-05,0.02127469931020309,0.02127469931020309,12.0,22,0,4.2934800659537927e-19,3.578268368326722e-105,1.2276934327802605e-86,6.829204488577928e-105,1.9085221636887497,1.2691500713699587e-19,1.3109767585200098e-18,3.2902464320171167e-21,M7_full,2.417795467486084,232,TrialState.COMPLETE
M7_full_trial_00204,1.1491421265911612,0.6824505770169582,0.17928685510905396,0.0,0.15343129725382887,0.5985605502277878,0.1541977773983769,0.0,1.2479345125733603,3.220662209333212e-08,683128.2216661166,43382766459700.336,7.131284810684014e+19,0.15768342844600625,2.304035554077456,0.6804518522547358,4.16392469669435,0.678621365089887,12.418158606126246,0.06422378715620103,2.633714743657497,1.8000126641424825,93.30942028106868,7.73933511254584e+18,2.0127200229273977e+19,1.139688446965366e+18,-1.2469972212137426,4.424502700477541,6.330289647918834,7.594075327078113e-05,0.018309373996665334,0.018309373996665334,12.0,22,0,4.2934800659537927e-19,3.6482633061221655e-105,1.0924073510261521e-86,6.131428756180859e-105,1.6806431558521786,1.3192876899765425e-19,1.293201646644303e-18,3.2453861059813463e-21,M7_full,2.382074033183602,204,TrialState.COMPLETE
M7_full_trial_00268,1.1491724679370932,0.6606309984100279,0.19140969302372407,0.0,0.1397190760922362,0.6827679641075255,0.1675310339991486,0.01907162683110092,1.2541455242315314,2.152523444962643e-08,685525.1555718725,41076630903507.875,7.3536175361668145e+19,0.15081928475007894,2.1045089818671108,0.669290267361942,3.894537884186419,0.7486268890715225,12.887148817054735,0.0534628753909622,2.7170914125711527,1.5012160452776324,99.04752669037784,6.67551436437383e+18,1.8268788103658934e+19,1.0043165316766156e+18,-1.2598391270116462,4.533431501671546,5.685827845987753,6.46776341377412e-05,0.015278297384451295,0.015278297384451295,12.0,22,0,4.2934800659537927e-19,3.704697936319398e-105,1.5693428347603378e-86,8.87290637083193e-105,2.3950417883858903,1.3604192441908608e-19,1.1898681880771686e-18,3.105350581773672e-21,M7_full,2.1956142438890733,268,TrialState.COMPLETE
M7_full_trial_00267,1.149190995852153,0.6668128440677575,0.1958961337029923,0.0,0.13905292099103808,0.6654278444674351,0.1556808657353568,0.010450360378660456,1.234651226565105,2.108985387680173e-08,688099.7574791358,39175287074382.37,7.155679328894071e+19,0.1503851646131393,2.173829985808501,0.6461941611898858,3.9396480877864124,0.7536963771194836,12.520181320557429,0.054035199450794616,2.6985186923125575,1.5704441274339294,98.59341238675911,6.721916712811512e+18,1.7869211332415439e+19,1.0373580000879603e+18,-1.2361767245341153,4.5136853824014365,5.80909496832715,6.403704760733254e-05,0.015481364766612233,0.015481364766612233,12.0,22,0,4.2934800659537927e-19,3.654497922163456e-105,1.535311587472079e-86,8.62427621296806e-105,2.3599072695224037,1.3238006758454032e-19,1.2211013315227712e-18,3.0953123352378143e-21,M7_full,2.230547609118226,267,TrialState.COMPLETE
