label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_swig_diag,trial_number,state
M7_no_phi_trial_00136,1.1294677857180666,0.690913248184818,0.18965504023886323,0.0,0.13736778687029036,0.43532435196057556,0.19569573156870373,0.18427476565238463,1.0265913089916463,1.1481926073004007e-08,821630.7187029822,36769003282152.62,7.846314936282179e+19,0.16022044399266763,0.412406690297458,0.48227941204383956,0.2903497981273285,1.7999844470183453,11.97583908177066,1.0459660803458357,2.8548074400085848,0.1684834327774769,97.3570117783454,7.385612269912822e+18,2.0003875425330745e+19,1.3426806620376264e+18,-1.1731414072692117,4.278219735745817,1.5903240031008632,0.0005143163387163603,0.10693305772006739,0.10693305772006739,12.0,22,0,4.2934800659537927e-19,3.826794597824954e-105,6.987051936541155e-87,4.01409510538218e-105,1.0489444893811866,1.4515682632122033e-19,2.3692963670302896e-19,3.301769090386675e-21,M7_no_phi,0.9069694679334399,136,TrialState.COMPLETE
M7_no_phi_trial_00192,1.1310256197263246,0.6893559619602241,0.17756650540577545,0.0,0.1344023574311589,0.5031694895030236,0.19357924985951977,0.13069958027486453,1.0765667250772168,1.1230428329532475e-07,844248.8246991287,39350159293440.695,7.808169891145082e+19,0.1501077308243636,0.5544056402704489,0.21629930506261277,0.23513009385613287,1.7236938290098867,12.307951230893691,1.219361619266824,2.9864271397688826,0.20971226366084503,99.23148340112965,7.296504648559527e+18,2.089678672153645e+19,1.2659263541008113e+18,-1.2176710690896901,4.444403327309411,1.8502924371401257,0.000628886901891627,0.13080169116873844,0.13080169116873844,12.0,22,0,4.2934800659537927e-19,3.817481238654577e-105,1.472595104046278e-86,8.44973818379728e-105,2.2134327991551004,1.4445114298618402e-19,3.181174849104057e-19,3.0931660366202326e-21,M7_no_phi,1.081185696658304,192,TrialState.COMPLETE
M7_no_phi_trial_00173,1.131906149398643,0.6809210366961655,0.1622228760251349,0.0,0.13747100838500356,0.5450779446333676,0.18861120584084207,0.15438210011504874,1.181733498238122,6.869530650496426e-08,873054.5939901657,42380886056821.04,7.719358489546013e+19,0.15017365558465326,0.5215885411848419,0.24278144012831482,0.2600284109828575,1.717500010027368,13.29513684690441,0.8561658333745724,3.032874075373818,0.17178358780759553,101.0909061887829,7.008571376981102e+18,2.194826622623587e+19,1.1156629844155347e+18,-1.2938671951752934,4.525318759561771,1.7805819188084715,0.00046415922720958135,0.09944840514778715,0.09944840514778715,12.0,22,0,4.2934800659537927e-19,3.795708822810394e-105,1.538538207917738e-86,8.80284080210751e-105,2.3191559766667686,1.4280813205660125e-19,2.9843008568943866e-19,3.0940481900977563e-21,M7_no_phi,1.0833206115366087,173,TrialState.COMPLETE
M7_no_phi_trial_00223,1.1343428613619047,0.6877006108058483,0.16034102644315293,0.0,0.14086741168938194,0.5305230156960551,0.19377740850616193,0.13076295386802317,1.1611268097398055,2.2700009691918016e-07,755467.4911042183,49871872093632.414,7.811733393527508e+19,0.15002630822727042,0.6316957775238814,0.272598433231276,0.22211173723157568,1.7280692890651128,13.176265224585036,1.7066830526274461,3.0252638894430075,0.18591322816975936,99.71612722248759,7.284142698583411e+18,2.2637693569229402e+19,1.1594334188710897e+18,-1.2905863628005667,4.504996556515264,1.6613097116515045,0.0009067135470513878,0.18864104593676578,0.18864104593676578,12.0,22,0,4.2934800659537927e-19,3.8183522527286255e-105,2.447609775103979e-86,1.404597765632584e-104,3.678544232342228,1.4451706778025892e-19,3.625081443515188e-19,3.091507253928064e-21,M7_no_phi,1.0492510070241161,223,TrialState.COMPLETE
M7_no_phi_trial_00162,1.1348092296546721,0.6777352891988314,0.17957726508863242,0.0,0.12990615115519014,0.5370319962467606,0.20401556418265054,0.19788540924141382,1.1020488052598465,1.3350680848703312e-08,846482.4527264895,38436617598112.01,7.998076771852508e+19,0.16058716497368639,0.3706776311889528,0.30513396797196,0.2779415489472412,1.7102736606889775,12.463507085778142,1.362945805837486,3.0000615347549653,0.12372308839382852,100.97167076334024,6.957335166707423e+18,2.0134801736158335e+19,1.210354966007159e+18,-1.2210346011356357,4.590275933619472,1.635863698443567,0.000736943363423279,0.158646408220187,0.158646408220187,12.0,22,0,4.2934800659537927e-19,3.863625898204762e-105,1.3466330690967152e-86,7.774280052298838e-105,2.0121720521417887,1.4796442027927138e-19,2.1399680284984104e-19,3.310187980364964e-21,M7_no_phi,1.021550646522308,162,TrialState.COMPLETE
M7_no_phi_trial_00210,1.1352522861782357,0.6796606788774125,0.15350780969683472,0.0,0.1464748323430337,0.5406875752003331,0.20028403209613888,0.12347763026895033,1.247998726330538,2.447095662298466e-07,795236.5363145798,49555693919754.23,7.929650322121117e+19,0.15032520521478526,0.5956456179657748,0.27141699270982245,0.22529877417886962,1.7544206219329572,14.100600365262489,1.5290189061712631,2.982856638681671,0.20232576489718446,100.71002983988967,6.971489822128711e+18,2.3026450890928538e+19,1.0218379441634294e+18,-1.3528449791069845,4.393400644485281,1.7016861297151205,0.0008388319391281745,0.16846730840511304,0.16846730840511304,12.0,22,0,4.2934800659537927e-19,3.847063035842754e-105,2.1303180362678174e-86,1.2271623286822335e-104,3.1898680038483076,1.4669853095924067e-19,3.431195958387665e-19,3.0982951910816857e-21,M7_no_phi,1.0322602791390072,210,TrialState.COMPLETE
M7_no_phi_trial_00201,1.1362276554469204,0.6768554986763576,0.15246529025727112,0.0,0.1446574625425701,0.5622580200693708,0.1946506090558209,0.15850195758339627,1.2460103461661671,1.2368804517789552e-07,830285.4214051618,48548281801473.45,7.827455610137148e+19,0.15068478259379903,0.4239337503257719,0.29968255308592595,0.20352537426402503,1.7836439159192152,14.05594807556723,1.592360556529461,3.02075764668718,0.15101127702821987,100.98103440849337,7.00338221363559e+18,2.3271339269208752e+19,1.036722514954808e+18,-1.3511588473207277,4.522220669273837,1.5252373533465262,0.0008659264139055304,0.18296048826079397,0.18296048826079397,12.0,22,0,4.2934800659537927e-19,3.822192807848883e-105,1.944883077428605e-86,1.116666162531426e-104,2.921532791957405,1.4480792878753724e-19,2.434040789586814e-19,3.1051603679628707e-21,M7_no_phi,1.0029123339564308,201,TrialState.COMPLETE
M7_no_phi_trial_00042,1.1373671614796987,0.7040028167986472,0.22439915252984866,0.0,0.12925306612448814,0.38503865456282044,0.19262695633606364,0.1691966449156025,0.89066067840161,1.0285691680915327e-08,894439.5256825979,27965224602855.824,7.791067386626331e+19,0.1546973639451905,0.5058794006746262,0.4455088738366869,0.27196479462195466,1.8935738510280822,10.878479899121263,1.1173002280990487,2.753808916490009,0.20649295225435735,96.62862803264059,7.286647365829284e+18,1.7575762422778833e+19,1.5261695540999662e+18,-1.0613113879877885,4.092258900434607,1.6953879750194454,0.0005069298951347145,0.10313851812581351,0.10313851812581351,12.0,22,0,4.2934800659537927e-19,3.8132981662341934e-105,1.7189007029519696e-86,9.857599076887605e-105,2.585058562735585,1.4413474665258715e-19,2.9011311151031582e-19,3.1876471581240227e-21,M7_no_phi,0.8810894986863251,42,TrialState.COMPLETE
M7_no_phi_trial_00221,1.1375020026925116,0.684673260968639,0.1684767738155938,0.0,0.1320818690310928,0.5619153720788276,0.1964100435905373,0.14708089998403456,1.1352207501619773,2.590017561519365e-07,759783.2692307654,47304454604667.484,7.85923089323518e+19,0.15048972401132185,0.72066868909909,0.24940421356807596,0.20047521745676442,1.8158415132888135,12.873219067258903,1.825121406349287,3.068638021976231,0.15088725368624703,101.3224101217433,7.042721544830752e+18,2.1404486781238518e+19,1.177162143583303e+18,-1.2596685319937395,4.633539003821677,1.5558452403621184,0.000967650544857612,0.2073482285171836,0.2073482285171836,12.0,22,0,4.2934800659537927e-19,3.8299429796368704e-105,2.4415975497119806e-86,1.4032930003705602e-104,3.6640049416704663,1.4539577152485085e-19,4.141998451457645e-19,3.1013107033586514e-21,M7_no_phi,1.055379133304455,221,TrialState.COMPLETE
M7_no_phi_trial_00215,1.1377242953930025,0.6668718639371977,0.16655729712697034,0.0,0.1376297891721304,0.5835937350646436,0.20389775523187184,0.14360311461323777,1.2603859978754992,2.4118355819984195e-07,750496.5103399584,49348153159390.805,7.995907466727899e+19,0.15010377389683588,0.6591771579517574,0.29533403207492936,0.22760466313916344,1.9597008462824668,14.185284066274473,1.7708787346853796,3.0050009072420036,0.16160172577113563,103.8934742449373,6.397218575154475e+18,2.11452130139634e+19,9.642715373700506e+17,-1.3410127167495758,4.469774345474127,1.5814689866230331,0.0009737014403018514,0.19986501684080446,0.19986501684080446,12.0,22,0,4.2934800659537927e-19,3.8631019002428824e-105,2.5267673851339924e-86,1.458632806664831e-104,3.775807225207089,1.4792428813446615e-19,3.8052471060430875e-19,3.0940820719879977e-21,M7_no_phi,1.0166794575177587,215,TrialState.COMPLETE
