label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state
M7_no_phi_v2_trial_00089,1.4504500116287833,0.6100520579249974,0.21894095123737836,0.0,0.12787557789234108,0.7987431976094892,0.0141731450949102,0.1938136373849538,0.6779326792317124,4.816909530281498e-08,775754.1819900833,47056021562707.1,4.839459494574253e+19,0.03,0.34607408050264393,0.1773153963952658,1.3272485949993227,4.023725068441036,14.945326113617021,0.05513733267371823,2.4824910439484427,0.09350246154088582,90.71418849463008,7.939139289375685e+18,2.076256936783626e+19,1.721830177943252e+18,-1.0812907811585837,3.880647095183482,2.301091233865302,1.6401828045778606e-05,0.0063282978377316845,0.0063282978377316845,12.0,22,0,4.2934800659537927e-19,3.0053891478142344e-105,3.1242461537623915e-86,1.6211026184070948e-104,5.393985732550121,8.953000064962368e-20,1.7957022925035862e-19,6.1464012198850955e-22,M7_no_phi,0.10068526266434671,0.3189890768105673,1.0570823633021473,89,TrialState.COMPLETE
M7_no_phi_v2_trial_00102,1.4569287753398106,0.6309479279024094,0.2892701230800217,0.0,0.12777602364504742,0.7240402321308199,0.011931686768527397,0.17712030847304422,0.47628074904074535,5.1662984877444486e-08,579391.5808444014,49927597552061.84,4.864501230296755e+19,0.03,0.3925569500564488,0.1789187597996444,2.7280707079933695,4.912969323733883,11.819858887091465,0.06915358633299298,2.474860468527828,0.15558826710535054,87.96174852983265,8.681215714945403e+18,1.8781766336100823e+19,2.3746238307871227e+18,-0.898141611291617,3.8523858392381287,3.1116398600378616,2.121331266490223e-05,0.007929147667815212,0.007929147667815212,12.0,22,0,4.2934800659537927e-19,3.0131547933066666e-105,3.575301668695485e-86,1.8568017427034872e-104,6.162317803347283,8.999327276048998e-20,2.0387102866235417e-19,6.146740603073452e-22,M7_no_phi,0.1150942603917677,0.3292789732852176,1.2309980297107934,102,TrialState.COMPLETE
M7_no_phi_v2_trial_00090,1.4592493537894033,0.6632304741149506,0.3014017157993959,0.0,0.1425696863390093,0.6502954404635616,0.015594408113662105,0.1573294896977815,0.45086425273240915,3.281674250772656e-08,666763.2615653889,45652991614954.234,4.823647867377857e+19,0.03,0.33605649417795175,0.1788761184118848,2.2211044145943655,4.025865306215184,11.54860438505092,0.05052961704964189,2.4541779842040166,0.21963085699180135,85.16353657327144,9.485416001508289e+18,2.0458790301741085e+19,2.5946496813973924e+18,-0.8968012213973074,3.735681874874504,3.3931318460583197,1.5494280250354388e-05,0.005595598706786535,0.005595598706786535,12.0,22,0,4.2934800659537927e-19,3.000475482233926e-105,2.5816181224284105e-86,1.3387897045419066e-104,4.461925159758831,8.923748554649036e-20,1.7427402242074445e-19,6.14618647720945e-22,M7_no_phi,0.13143969788135845,0.32631301003202157,1.2590490430352208,90,TrialState.COMPLETE
M7_no_phi_v2_trial_00103,1.464601817421793,0.6651585918721207,0.29554275670677727,0.0,0.1334938738652313,0.6725181734725469,0.011041551564954004,0.1534948988354506,0.4560973398669273,6.097476698042784e-08,571147.7667614857,49306102653720.34,4.8744817952872145e+19,0.03,0.4043069353251259,0.17669749167349585,2.8116965974108696,4.66763416780954,11.532885724111269,0.0707481519801083,2.438460844918101,0.22411565389947896,86.94393413882764,8.857462326560447e+18,1.889455812988672e+19,2.4542587384357294e+18,-0.8864163939323186,3.709430234253288,3.446658378579992,2.15826291470457e-05,0.007717903251017189,0.007717903251017189,12.0,22,0,4.2934800659537927e-19,3.0162442752833386e-105,2.603763526712064e-86,1.352722641178109e-104,4.484791408517593,9.017791321281347e-20,2.1004793245961753e-19,6.146875623175083e-22,M7_no_phi,0.13580262242661098,0.3270765358942037,1.2730674126786987,103,TrialState.COMPLETE
M7_no_phi_v2_trial_00114,1.466110312778929,0.6697775728633364,0.2794186315678434,0.0,0.12695021254914807,0.6671979804211955,0.051013439932244796,0.14480962288994897,0.5085649862080291,5.247871621446412e-08,576496.5358153802,46448203643409.74,4.4458680027170636e+19,0.03,0.366568984117719,0.17430926577701905,2.8075007325982324,4.667511099790493,11.634986336448934,0.10559429633686229,2.461153757244236,0.24655026759239673,89.33170474250831,8.242012554211183e+18,1.805108392404456e+19,2.2095525262917885e+18,-0.9121989551321665,3.7210492398673787,3.5919144384551993,3.0069574494416492e-05,0.01166563006409623,0.01166563006409623,12.0,22,0,4.2934800659537927e-19,2.880584148296365e-105,1.9328024439424948e-86,9.88815090459687e-105,3.4326894808627344,8.224855805026568e-20,1.8753543298026901e-19,6.140946847972231e-22,M7_no_phi,0.14375424729356012,0.33005336269355445,1.3105761131132838,114,TrialState.COMPLETE
M7_no_phi_v2_trial_00105,1.4685282472506336,0.650766751781997,0.33934338382910334,0.0036769645963214276,0.13712763004709513,0.659504368993847,0.00866997467492353,0.162292222612868,0.3534779775823599,6.120824607165418e-08,535992.6801863315,49668509797801.92,4.901172969455788e+19,0.03,0.38986180964799416,0.17767912116461793,2.7588956044422845,4.839506704676571,10.100291128218872,0.07265933433433475,2.4652935676695553,0.19382564716306214,85.08908645094218,9.553410745367052e+18,1.865079183551528e+19,2.9996180921948513e+18,-0.7936313105015393,3.822155776797867,3.283376680025554,2.1358974286783156e-05,0.0077994124887513635,0.0077994124887513635,12.0,22,0,4.2934800659537927e-19,3.024491017941336e-105,2.685480944069041e-86,1.396503012427526e-104,4.61731578683304,9.067169993493208e-20,2.0273582384052603e-19,6.147236031826179e-22,M7_no_phi,0.1292729270708936,0.3281968796046966,1.2588296358631241,105,TrialState.COMPLETE
M7_no_phi_v2_trial_00104,1.4695697350956127,0.6341953611201514,0.3440692686100201,0.008213063919363384,0.1364081922797734,0.6759081405393543,0.010687006275744058,0.17257841937164992,0.3460535976392175,6.044494158128819e-08,544249.3526729587,49409833409393.31,4.878462804159883e+19,0.03,0.3793899441517229,0.17529010383433086,2.590581882134513,4.945283800814667,9.985979561596125,0.0710124768798256,2.489247468929752,0.15991445141858796,85.03808013415536,9.663603993941277e+18,1.874838956016541e+19,3.07036080112508e+18,-0.7857745560058519,3.9117727922022114,3.075741472667963,2.0534406458121e-05,0.007714831535829281,0.007714831535829281,12.0,22,0,4.2934800659537927e-19,3.0174757133154844e-105,2.5917433367856757e-86,1.3466687193848922e-104,4.462898287606183,9.025156187695784e-20,1.9713085126397929e-19,6.146929440899058e-22,M7_no_phi,0.12062246523341463,0.3296652478831609,1.232796782973913,104,TrialState.COMPLETE
M7_no_phi_v2_trial_00115,1.4704138665717372,0.6914826683011247,0.33366562119647536,0.0,0.14437577986665662,0.5831240239622474,0.04645719042296101,0.12254427919207421,0.3763382479632662,7.988471617934428e-08,578982.8246020469,46068129290051.664,4.492755804069809e+19,0.03,0.3692893639525697,0.18022922695410828,2.892134293592221,4.9803058307183194,9.971160318094372,0.09391719101119553,2.462268085639409,0.3015988003934179,84.59851620017238,9.708642046620377e+18,1.929496129272037e+19,2.95209486243821e+18,-0.8153136027099186,3.7026877526986683,3.680827650606907,2.5742931244899595e-05,0.009658651564784843,0.009658651564784843,12.0,22,0,4.2934800659537927e-19,2.895734172221395e-105,1.3932140179361019e-86,7.139720131213905e-105,2.4655992941979323,8.311598237529148e-20,1.8924750053557574e-19,6.141608951776525e-22,M7_no_phi,0.16205987997568558,0.32960384209304844,1.3255844643761119,115,TrialState.COMPLETE
M7_no_phi_v2_trial_00108,1.473245796791872,0.6804443382267706,0.35354792460708434,0.0023140912670852,0.1521886890078322,0.5979979769787344,0.0007229201740943272,0.13786183251523082,0.33221021133253376,7.67500854234893e-08,572750.3396445807,49853490696415.34,4.991683997186395e+19,0.03,0.40312854918125507,0.17706026851886647,2.8959592181776053,4.676203724575025,9.99835404813137,0.06969336498309468,2.440739687078623,0.2684974654235698,82.2761224945295,1.046192025576967e+19,2.0412219624882594e+19,3.2651140529453624e+18,-0.795991876352057,3.702781681713077,3.5690928009879284,2.1153588653554502e-05,0.007261422915370037,0.007261422915370037,12.0,22,0,4.2934800659537927e-19,3.0522902284333982e-105,1.5636389900572722e-86,8.157413303107452e-105,2.6725549317419532,9.234615394794832e-20,2.1030981005616443e-19,6.148450944958614e-22,M7_no_phi,0.14815503930290974,0.3268748559749055,1.296400878134191,108,TrialState.COMPLETE
M7_no_phi_v2_trial_00091,1.475193545699584,0.7192364126840234,0.30736680672960637,0.0,0.15916496243655318,0.5635194746302207,0.018080184944716606,0.1127667911231499,0.44871518040239494,4.58885803754631e-08,663851.1691860732,48185322288291.445,4.796117555892403e+19,0.03,0.3447651286054346,0.17968903344267856,2.7306897555056646,3.8249538123640514,11.549263982209752,0.05842975536244585,2.40028101126724,0.38142881139482593,82.4220401211173,1.0233952573282177e+19,2.224152584258751e+19,2.7033743726508974e+18,-0.9152583855085248,3.5305483337494814,3.973184764148148,1.8602669952448785e-05,0.006247672762955339,0.006247672762955339,12.0,22,0,4.2934800659537927e-19,2.991900828025143e-105,2.678510393763745e-86,1.3876724365861238e-104,4.638096368662332,8.872817478400946e-20,1.7861460130067742e-19,6.145811737789879e-22,M7_no_phi,0.15706991847121304,0.3263297325973433,1.346553786542312,91,TrialState.COMPLETE
