label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state
M7_no_phi_v2_trial_00036,1.4499257119827054,0.9301800585096051,0.310903587883742,0.0,0.13164056967803064,0.057125715348692055,0.12741465107222819,0.0,1.742381054978499,1.979011474135501e-08,767961.2033849717,17164003043049.404,6.70478190255895e+19,1.0,0.7748017375243487,1.191040820864219,0.8643285102240399,3.523472860831329,6.931672890634132,2.8159973269636676,2.8030467306008195,0.7562495755200433,104.01323192232019,5.946698984764885e+18,1.0893975455045145e+19,1.1766725125456402e+18,-0.9665307841285076,3.5734926771033195,2.4838185880162764,0.0014770600645213454,0.18041613386194522,0.18041613386194522,12.0,22,0,4.2934800659537927e-19,3.537485040439865e-105,5.365254968483431e-87,2.969059517277406e-105,0.839313660223485,1.2403846519734057e-19,4.2876479986746826e-19,2.0565518292553965e-20,M7_no_phi,0.04659862263881803,0.15412236017178269,1.2241820428786547,36,TrialState.COMPLETE
M7_no_phi_v2_trial_00063,1.4765272291395712,0.956883605722715,0.3536078698364875,0.051339563387820156,0.12132425001380347,0.0,0.14115123229393833,0.0,1.1869262607680535,2.4160702092474813e-08,899704.1673136281,15403178407211.467,6.920241277910798e+19,1.0,0.5411383177077848,0.6430655149979215,0.8919409822050325,3.4364133065751554,4.714588539356253,2.9563320658968326,2.91633772891267,0.9116552187233229,95.93229343822654,7.885962825565096e+18,1.2103762702836705e+19,2.354198793942867e+18,-0.7110772677738926,3.631429411186444,3.0874937751348552,0.001602559702577007,0.1817676430310681,0.1817676430310681,12.0,22,0,4.2934800659537927e-19,3.593874461339563e-105,9.616857853075414e-87,5.36017181748413e-105,1.491474417135374,1.2802446364134979e-19,3.016156008805359e-19,2.0573732944069697e-20,M7_no_phi,0.020389257979415598,0.17201511396568686,1.4963053148782757,63,TrialState.COMPLETE
M7_no_phi_v2_trial_00062,1.4781304251951475,0.9775148609232838,0.31203289807421714,0.0,0.14309094481042645,0.009993570404222133,0.11861527380844915,0.0,1.8019152476686744,2.291093222430186e-08,876727.1887962169,15278587159961.861,6.570301183655082e+19,1.0,0.5430128021087697,0.7045330374084188,0.8736608895265049,2.8026768851468815,6.809648482252028,3.4656095297842153,2.3536311324485424,0.9935672184899367,92.98666439268543,6.98856137569223e+18,1.1370987023125002e+19,1.4533795451815283e+18,-0.8934191202510318,2.715861633076683,3.0966139220259845,0.00175526168444015,0.16359161450295753,0.16359161450295753,12.0,22,0,4.2934800659537927e-19,3.501828906223992e-105,6.381182146926208e-87,3.515384173846546e-105,1.0038709108827282,1.2155057189761903e-19,2.99144980785221e-19,2.0560324007663142e-20,M7_no_phi,0.0,0.16068216564613658,1.1831755504823855,62,TrialState.COMPLETE
M7_no_phi_v2_trial_00111,1.478472264395253,0.9343765133847335,0.29857197909606326,0.0,0.1413723108356106,0.0737789849503475,0.14925455006447969,0.0,1.8665558166074683,2.614906891878957e-08,797099.8877297713,17352550667251.768,7.0505752869027e+19,1.0,0.5308648757024315,0.902897644700938,0.6781846737561855,3.034268526938517,7.398205386005704,4.503313223178328,2.707703459364593,0.7628908795701859,101.83957136857944,6.120160368588017e+18,1.136401901731481e+19,1.0810453993609166e+18,-1.0216880189508435,3.441861938929145,2.508286293911159,0.0023770803147023507,0.271178302050778,0.271178302050778,12.0,22,0,4.2934800659537927e-19,3.627559641158448e-105,2.5468583807762088e-86,1.4256896789037232e-104,3.9301619268441152,1.3043564280769996e-19,2.9716947746061913e-19,2.0578640105892638e-20,M7_no_phi,0.030663682303686712,0.16380950083300932,1.1861611996570072,111,TrialState.COMPLETE
M7_no_phi_v2_trial_00078,1.479903951009908,0.971600461308476,0.37917151851055225,0.0050780597149047806,0.11643605005891809,0.0,0.05202265621108223,0.0,1.656196976201788,2.024201947494974e-08,826998.0339610666,11791113123133.38,5.636281305907873e+19,1.0,0.4189577326124524,0.3667646206183787,0.5535691901130773,2.222401700526901,5.3910962976354035,2.236868209002174,2.6907712793032124,1.0091075257820652,106.06568285908004,5.383484874344708e+18,8.541259865121734e+18,1.3813934510829806e+18,-0.7912045425699162,3.305492000787476,3.2720391638028423,0.0009546007669761798,0.12550866585912365,0.12550866585912365,12.0,22,0,4.2934800659537927e-19,3.2433858265584152e-105,4.827365419361908e-86,2.5759749251043117e-104,7.942240186199805,1.0427120415929566e-19,2.23563894616225e-19,2.05226747500146e-20,M7_no_phi,0.0,0.2070044538520198,1.4297522387010697,78,TrialState.COMPLETE
M7_no_phi_v2_trial_00071,1.4829845936097952,1.0065871361148406,0.3316041117719313,0.0,0.11420463716175334,0.03693176714161434,0.10506160743988285,0.0,1.3664543610709867,1.7050178921403195e-08,781320.1985736296,16378200087150.37,6.368418741792253e+19,1.0,0.6042993623812943,0.7167861713922633,0.6253242890180698,2.766151930791409,5.181691909088391,3.347111498094329,3.1445411403406376,0.741294843419103,104.67154330940502,6.546102314222375e+18,1.0967707294099497e+19,1.6982018845161436e+18,-0.8101265330085777,4.109419920632169,2.6104051296452,0.0016571600898735437,0.23630292247301574,0.23630292247301574,12.0,22,0,4.2934800659537927e-19,3.447609669817714e-105,2.8252943910608094e-86,1.5458986832426398e-104,4.483972465840011,1.1781574672315669e-19,3.306507072485471e-19,2.055242550249284e-20,M7_no_phi,0.06457551203413492,0.15681207956911172,1.4688682197565297,71,TrialState.COMPLETE
M7_no_phi_v2_trial_00064,1.4899285278108283,0.9941071523105857,0.35130923685667415,0.03913015715034422,0.11392286274417716,0.0002710766653430372,0.08431313375951167,0.0,1.290377032439006,2.337540946471136e-08,823793.8536499889,15261681689912.207,6.071320200415124e+19,1.0,0.5385799967717775,0.6912027709021685,0.848429057359715,3.4481121942942274,4.668969810880773,3.0681735751003645,3.025411558057169,0.876717094702555,100.86817613060354,7.037742102032707e+18,1.0997221224732266e+19,2.037315934169112e+18,-0.7322245797074493,3.8071121718467484,2.9726009432644194,0.001480603423390956,0.1961250409781489,0.1961250409781489,12.0,22,0,4.2934800659537927e-19,3.366230520715428e-105,2.2653732010004197e-86,1.2270788804633126e-104,3.6452609912244522,1.1231942370767979e-19,2.9173124286399855e-19,2.0540570417977768e-20,M7_no_phi,0.03172968492058098,0.1696446023316036,1.525558775399397,64,TrialState.COMPLETE
M7_no_phi_v2_trial_00074,1.4929103517372082,0.9547178024886225,0.40984787554088986,0.03515340512870724,0.10536690509623695,0.0,0.09485890900291462,0.0,1.4448530643468227,1.9692689409425058e-08,735201.8982530525,11813588493699.102,6.220551834830577e+19,1.0,0.6149097528523045,0.5488268956706337,0.6194509444935268,2.760776706992962,5.1532483451514155,3.31483234226943,2.734717286721674,0.9290163102617852,110.16515721982695,4.883048646223309e+18,7.641704096336011e+18,1.39340607798274e+18,-0.7391125162580268,3.453467685019847,2.9955744418064247,0.0015337455242033758,0.1883010177066333,0.1883010177066333,12.0,22,0,4.2934800659537927e-19,3.4073499585758734e-105,4.009155653169845e-86,2.1826974580763394e-104,6.405850542538969,1.1508020894436568e-19,3.3477421946336576e-19,2.0546560581507682e-20,M7_no_phi,0.0,0.17057454781041567,1.3656808029407357,74,TrialState.COMPLETE
M7_no_phi_v2_trial_00072,1.5002722204165175,0.9467697356022032,0.39472802408019236,0.07789543107970244,0.10210555880139167,0.0,0.10755400804652546,0.0,1.1800377826984596,1.6418398520984826e-08,791314.9566368909,12414419159376.166,6.405071945880199e+19,1.0,0.5039359023447385,0.7344874105017668,0.6121970693075826,3.1996561938394894,4.610110832564319,3.4713656124971637,2.7822207063916427,0.7880111783692125,104.56944221639178,5.80882903861256e+18,8.725847884659186e+18,1.8868026697629926e+18,-0.6650811556924756,3.5171182864034436,2.6175555374949186,0.0015664395854947657,0.19369323220725196,0.19369323220725196,12.0,22,0,4.2934800659537927e-19,3.4575167318116237e-105,2.5340884900392063e-86,1.3882796950092965e-104,4.015250836636976,1.184938309987837e-19,2.760771707702142e-19,2.0553868735293008e-20,M7_no_phi,0.01888908337570705,0.17767262002679243,1.2501676193273075,72,TrialState.COMPLETE
M7_no_phi_v2_trial_00099,1.5240524842188607,0.9507114280120637,0.3870562757375631,0.0940804328501383,0.1134880732217363,0.0,0.07379476001145274,0.0,1.2340376931005559,1.636881532255392e-08,822701.2595255154,13536832600868.973,5.9260425347653394e+19,1.0,0.37643425391740515,0.9353275462607323,1.3848429895410068,4.999966471388809,4.457402294917939,1.6986176192852158,2.6665225838306155,1.0009100636894526,97.65112816861192,6.836359012675244e+18,9.937317400981121e+18,2.2920350321644956e+18,-0.6370479103054885,3.193470010475024,3.236447226045897,0.0007858963850041362,0.09030664192418175,0.09030664192418175,12.0,22,0,4.2934800659537927e-19,3.3257122217078513e-105,2.2961890667364576e-86,1.2375995090002547e-104,3.7213066750697714,1.0963178689315878e-19,2.028904564384149e-19,2.0534667826657504e-20,M7_no_phi,0.0,0.21204747371646715,1.3873871447835604,99,TrialState.COMPLETE
