label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_B_standard_wide_trial_00641,2.0729906073738724,0.9078208453799712,0.6168475446584085,0.515336593998202,0.09791415044141315,0.0459490490664399,0.04894575018005954,2.545816518357351e-06,1065338.116415731,6277796884782.126,4.467085389013556e+19,1.0399132007160068,0.39494235769330743,0.050234123374841635,0.1335759039102607,2.576692228615631,0.28710991515100603,0.0,2.5392731482886917,0.8789173108200172,97.7539305198719,6.489602927930338e+18,6.646271326650924e+18,6.022518361571635e+18,-0.042799934136943996,4.082734817681526,2.693929578641248,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.8874495927824866e-105,3.97763350097188e-86,2.0365049417675594e-104,7.052954090897512,8.264107969675079e-20,2.0220617685345605e-19,2.1287879030958476e-20,700.0,800.0,1.35,137.01532709652432,182.44016497678285,225.5320219111455,264.8088031115789,39.261396576652416,45.424837880258536,43.09185693436265,82.36863813479607,39.27678120043342,0.75,350.0,1.9326947482673007,1.451483028122005,1.1741516830630268,2.8,76.50281404500745,73.69854376575887,63.862895892914864,1.2201806861056184,0.09216008522545156,66.5759322209839,86.94916252481431,85.11409026404178,79.43131830142694,48.876309233681624,29.388807113112676,11.758861556060866,15.029122930095793,18.462798814521477,28.92280089677605,89.34313394493496,90.48999514670449,26.387094632845244,6.78545818067641,8.728041716387255,14.10012196905036,42.05370104262349,58.4474695659183,73.61723158020317,baseline,3.068272786949534,2.2542879237772513,0.7598388124368066,0.002105656548606704,0.00016070907973926902,1.050131331240356,0.7717486434550683,0.014036443106974663,0.0013713144292257346,0.0001641482029635012,1.0005187015344894,1.1919327726613393,5.399790237947209,5.584369495942412,6.454464397872272,9.434579712410814,9.417684058990337,6.396602071443225,5.21524796326891,5.3861193761159045,6.20904043477395,9.055953280587921,12.162352006539791,14.623742715533007,0.10058275110811614,0.08705746424632098,0.0,0.0,0.00889046380863256,0.3269793625675357,1.3231426853373647,641,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00645,2.0809622595078987,0.9112514640074993,0.617425176005507,0.5163073566038214,0.1011802373715291,0.040877313507532945,0.03910015542386733,2.273924798955628e-06,972520.417321847,6760173450091.493,4.569512281421598e+19,0.9935525357462902,0.41982202023773685,0.05485657106695013,0.17165422584364948,2.5953032719865456,0.29394209048697595,0.0,2.427583772058651,0.9261533755669799,96.82849754654295,6.383752442243532e+18,6.533738682680834e+18,5.937090525630666e+18,-0.04158808997951012,3.7528279011242978,2.832901903213969,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9203654965812507e-105,3.4574850264447264e-86,1.7767461793240686e-104,6.083985656603705,8.453597720629956e-20,2.1573981224743723e-19,2.0343602245474365e-20,700.0,800.0,1.35,135.52362315035745,181.16055181428248,225.91384731092927,267.89979502162,38.6951256038145,45.63692866392503,44.753295496646786,86.7392432073375,41.98594771069071,0.75,350.0,1.9767756262271488,1.478797631927389,1.1858493767002458,2.8,77.20904113247549,74.53917922172839,65.12953658699924,1.459464918747993,0.1118205106439141,67.90860690809366,87.49657003834112,85.85267976860166,80.6843602769638,52.345376503047554,32.20239055799809,13.422078635515001,14.692552023835326,17.91815396122957,27.846306691943386,89.16710504826095,90.52111902425163,25.23191945054613,6.409138627333559,8.142521455935631,12.984533943540695,38.750603081070985,55.8355881073389,72.15038096522484,baseline,2.7841350441806125,2.0542364229114014,0.6981190128416177,0.0020403180317184557,0.00015671916392608127,0.9532204303344775,0.7033233293465684,0.012882913955944719,0.0012420802050210652,0.0001510730668952565,1.000409714093114,1.18093071253025,5.314271799508579,5.488430394130636,6.326037708215769,9.371389714959344,9.36690374594053,6.271314556008885,5.14107090399083,5.301475446116138,6.092871792532339,8.891137501925531,11.960779254457988,14.427389326193268,0.09206968114554345,0.0984366348226242,0.0,0.0,0.010759928554358875,0.31238866119575365,1.2811265801382146,645,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00638,2.081317495773223,0.9251407843688267,0.6183263310448336,0.5175635061640572,0.0990549035143828,0.051883289214857145,0.040994230452421364,2.454199354609429e-06,1051260.9120986836,6703966775036.411,4.549626803979748e+19,0.96275704492804,0.4029821933100829,0.05530369098299654,0.17240129014300798,2.95645662072536,0.2580733946908055,0.0,2.6724935651408397,0.8787445473048944,97.66205717291186,6.84936727644702e+18,7.006432938327015e+18,6.390326339873818e+18,-0.03997393235233197,4.202353002411184,2.751601720331181,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9140041853032575e-105,3.884692376968777e-86,1.9948520887120597e-104,6.845742016339821,8.416809587362534e-20,2.0693784527300477e-19,1.97121533525916e-20,700.0,800.0,1.35,136.2031585369801,179.20658853213735,217.70716921409453,250.1429134546664,38.541101364068254,43.003429995157234,38.50058068195719,70.93632492252905,32.435744240571864,0.75,350.0,1.8365426774354197,1.3958354740389913,1.1489879472396904,2.8,75.69231256404778,72.5771217122363,61.995088680537634,0.9824919150991402,0.07338462095967525,64.99777280693884,86.8291202742524,84.91252115341663,79.05024812919872,47.60725202906906,27.16890612644507,10.602469467951314,16.24553287334656,19.932835089771668,31.078113936104952,90.2283620021995,91.16911953499816,28.235380211424207,7.122809771721066,9.13580217065172,14.695658039396848,43.711794288225086,61.353941876572634,75.67350362146286,baseline,2.8178185904561013,2.076286977841634,0.7034575058374262,0.0018383059585461842,0.00013820493791550964,0.9654539698642054,0.7116718429259108,0.01297406532612997,0.001274278958674515,0.00014946061868539032,1.0004027684825219,1.2128148467966717,5.244335972149569,5.413756220150384,6.223339877519977,8.787307776742804,8.75735763910424,6.173695548995929,5.082615984162313,5.240004833005745,6.013501179540825,8.667979617379718,11.475877718023616,13.723877449967125,0.10673116019563102,0.0750524374244606,0.0,0.0,0.004549195622378495,0.3148909741244248,1.4080510154718284,638,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00635,2.082814205755204,0.9100609560113583,0.6204699291808399,0.5199615639706394,0.11860766212362504,0.04085316979785763,0.03709354522490952,2.9502449141724934e-06,1103291.9562723734,6656180317468.437,4.5906740638192845e+19,0.8826245614883997,0.37009035899985937,0.055282301842475026,0.1483553440137417,2.731535613338607,0.26470146576868203,0.0,2.401676619018709,0.880985129205222,92.88901320722957,7.153735408636823e+18,7.303218266522965e+18,6.707456039470844e+18,-0.036956445315261696,3.766310155118625,2.690417476956471,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.927119910421601e-105,3.245433362425777e-86,1.6690467898063702e-104,5.702010306663429,8.492747018065677e-20,1.90328395824867e-19,1.8073151883017312e-20,700.0,800.0,1.35,129.7791166451998,172.03286648128872,210.79813344405895,243.0530797176197,36.890103437970225,42.25374983608893,38.76526696277023,71.02021323633099,32.25494627356076,0.75,350.0,1.8728211903468033,1.4128293313304499,1.1530134339738853,2.8,76.78390662820912,74.02292238383949,64.42399721336105,1.2870448343267975,0.09672005249302239,67.19857777726867,87.30053285395144,85.5543479913663,80.15138584787586,50.13219160017317,29.459792477903154,12.865828726474552,14.888547708170695,18.27994647571058,28.562889954908414,89.62723460019393,90.8425610858151,25.95929096357377,6.551833076951143,8.412498638462509,13.550956233446875,41.099322354938586,58.882145872929584,73.02092111006483,baseline,3.0818276392269843,2.27988831102445,0.7767652409132183,0.002151774739004272,0.00016238184899297604,1.0575426551471996,0.7828421313692886,0.014397696285102447,0.0014137830895121248,0.0001695316661404761,1.0003605854277773,1.1830361561852818,5.245718024393198,5.417242829425482,6.236347590817325,9.083568790740262,9.060556479842884,6.187126853711997,5.090091413950221,5.250311238801901,6.031368433766527,8.754088348603146,11.656647866077746,14.113080631794471,0.09678564624572074,0.08703762610263248,0.0,0.0,0.00406452766129978,0.3195055344442399,1.2226535205178668,635,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00657,2.083047491709692,0.9161606613359318,0.6169298508362661,0.513691797246675,0.088427384965581,0.050147770617095355,0.05141237379569884,2.148315390962427e-06,906861.4001091176,6895813605173.203,4.4417859961003295e+19,0.998927214260258,0.39895796790952387,0.0552259860106028,0.14202668048085607,2.418313297792118,0.30185464456076516,0.0,2.5491425869545488,0.8893800231040403,100.15226617741483,6.057915026279746e+18,6.21283899541983e+18,5.602788975414406e+18,-0.044885833677556095,3.9690218008861757,2.7376886419857063,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.8792614297812125e-105,3.33742795353523e-86,1.7071646428256684e-104,5.929175534975271,8.21730409278561e-20,2.04075397662821e-19,2.0447670609369562e-20,700.0,800.0,1.35,140.22567496034142,187.19105257817148,233.57547093503572,278.95142319828284,40.07340878292659,46.96537761783006,46.384418356864245,91.76037062011136,45.375952263247115,0.75,350.0,1.9893034801021694,1.4901963494317763,1.194266769886413,2.8,76.07869243901305,73.40343352288545,63.76242430061941,1.3078868232448886,0.1001661791754777,66.63176598961296,86.92811412507477,85.24423626012691,79.87772967422279,51.0180830743743,30.6868626159617,11.725170038149626,15.186527927765889,18.530240399923773,28.844342216617004,88.98785274102755,90.20120441001504,26.153604454250292,6.631582424006641,8.431711243329714,13.48236641306776,39.64140398118861,56.79683697942709,73.31369033897825,baseline,3.2279049973383978,2.367609881641847,0.7958216694843205,0.00226393930256414,0.000174691050160067,1.1063713087312974,0.8117964534271752,0.014698774360332397,0.0014031801440352733,0.00016813736814026898,1.0007268255637243,1.2040932216683344,5.506874635882658,5.698716195548931,6.597411813279281,9.701996496424984,9.698454719759326,6.5429142939643015,5.333932142187295,5.512256043116205,6.367587102046169,9.325814170076761,12.514897224467164,14.960971485503995,0.092091083527376,0.09275835407750267,0.0,0.0,0.013528388227058753,0.3157052422494067,1.3214868723307334,657,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00650,2.0880013585049313,0.923681665542849,0.618631289104115,0.5122449458959196,0.07593511412867285,0.06138359149485356,0.03964911349006512,2.9932424289775507e-06,874483.1641113285,6678343553197.134,4.563739963292182e+19,1.0264435337271227,0.4302883348612347,0.05529136323970314,0.11449442415598252,2.4769073629034812,0.3041624480609435,0.0,2.6165164283131515,0.8483794345344686,103.39536955942631,5.65108171299074e+18,5.801378851511853e+18,5.209851189205229e+18,-0.046705908858738314,4.133220621079972,2.604522698092458,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9185203756298985e-105,4.495673495551571e-86,2.3097745222996477e-104,7.914197007451537,8.442918932090537e-20,2.2107233412049245e-19,2.101678985795731e-20,700.0,800.0,1.35,144.98070648744724,193.65320091703924,242.315344658943,292.0432087213865,41.58533692802092,48.67249442959201,48.66214374190375,98.39000780434728,49.72786406244353,0.75,350.0,2.01435912265107,1.5080732326572666,1.205219624586446,2.8,75.81016217348241,73.0356190553844,63.189999139499086,1.2353100075468444,0.09461577687439121,66.04582165633724,86.68960612776748,84.93219390351894,79.38389273233821,49.99182493479629,29.75982050525768,11.005508695573395,15.505543848859817,18.89635378323405,29.350982235177547,88.99791053962572,90.14127254490218,26.668496624464353,6.829358856718435,8.68250357662505,13.88102665937634,40.519135790428784,57.55169139880173,73.87343405113498,baseline,3.1097187297773603,2.3002347712409157,0.7830071987972045,0.002197039263770692,0.00017048228168117124,1.0685543216282711,0.7909263797842716,0.014611045500748238,0.0013867972686757413,0.00016457305476974806,1.0005762496583719,1.2340852723620692,5.574575247880426,5.767792390140637,6.676011426526149,9.764582413563652,9.763941195941747,6.625050244920397,5.412480693885823,5.594376140071744,6.466176926556646,9.474428229274181,12.687101298671909,15.120892680236858,0.09120214307467206,0.08919390695625017,0.0,0.0,0.01690627909495458,0.31919813821583704,1.325904328607791,650,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00544,2.0882362415534343,0.9136505313789086,0.6272961987436295,0.5273985757366819,0.1275776759347802,0.09040057438516591,0.0031484820391377544,2.9430449835184895e-06,1208256.5126140474,6492853041350.191,5.036379950622909e+19,0.5535224140548867,0.39652325144360756,0.050338061235435376,0.2826491807102595,4.134305989687119,0.19422756631435464,0.0,2.435839954790998,0.922465273618518,91.09195421853838,7.693431352087265e+18,7.814069499258199e+18,7.333918778327267e+18,-0.027541173645086375,3.9092799533687423,2.9245855778356686,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.065925004933258e-105,5.186204026472516e-86,2.7099006991700753e-104,8.838770337857847,9.317302908652382e-20,2.071917400162695e-19,1.1345450813968446e-20,700.0,800.0,1.35,126.84882049995996,165.189881965378,197.01107925720032,220.73543304513458,35.75686628142158,38.341061465418036,31.82119729182233,55.54555107975659,23.724353787934263,0.75,350.0,1.7401457276081196,1.3362527439265217,1.1204214193302389,2.8,76.25191029682841,72.94016935295228,61.91996519827834,0.8431925775410506,0.06181737992361454,64.9317253885036,87.21797052664249,85.18543591457194,79.12116295836817,45.088203617631414,18.458883239033867,9.265823887567928,17.026697507325654,20.72596536518468,32.119415541888415,91.77494295375293,92.59945300473287,29.242017756913597,7.569175307452212,9.667221369556968,15.487660204347174,47.607999623072885,72.29883787152296,79.45522167442137,baseline,2.047287707467656,1.5409412975856973,0.5433238125088526,0.0013716746256078882,0.00010132009480453916,0.6974903679454346,0.5244981070507502,0.01000127719751212,0.0010300284000111998,0.00012091437732341687,1.000614655122481,1.304229759440393,4.6741044883782745,4.792923984277336,5.417295447324393,7.38049279408042,7.338628295248712,5.369412328980576,4.515363797959846,4.622844608820349,5.207187882769632,7.293795482098194,9.241248861043154,11.278833523633379,0.09153232157019188,0.03866555042618033,0.0,0.0,0.0,0.32118371955232294,1.3316556524996417,544,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00550,2.0883222104510772,0.9170511587948259,0.6239859832527491,0.5236782841983832,0.11744317151383277,0.09283434557086216,0.010352675943774994,2.719171551068179e-06,1208919.0111656128,6324186112122.238,4.882219808027991e+19,0.5964481207780119,0.38683027192560443,0.05019735174410855,0.20614039961306463,3.6709935940976504,0.2166332374979473,0.0,2.5572199345296958,0.8704531620196261,93.48431964745103,7.472452393131217e+18,7.610537889190525e+18,7.066200356821431e+18,-0.032229405072669866,4.154731449141321,2.7696115476852334,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.01863739954453e-105,4.269330923434429e-86,2.2186392434988148e-104,7.349803735399211,9.032106644851784e-20,2.0102372883689751e-19,1.2221182649542856e-20,700.0,800.0,1.35,130.28895532233454,169.55226013395531,202.459365862023,228.02156636948848,36.804635674883514,39.26330481162077,32.90710572806768,58.46930623553317,25.56220050746549,0.75,350.0,1.7501219946492295,1.3448453367082178,1.1262584242454174,2.8,75.16649959785165,71.75971840245415,60.43999647789787,0.7434814425045109,0.054415408627126044,63.476705672936795,86.55704767415587,84.40717256848562,77.99350898333698,43.07300299401895,18.72832203788388,8.517142666550336,17.406088485514434,21.29780445474773,33.12453580796032,91.38715769350256,92.12231627879875,30.2387747217368,7.81454597825627,10.049955716320422,16.211691524401605,49.04005656269529,71.20658290787777,79.28477435106711,baseline,2.4784911720218283,1.8545190625110615,0.6456058951747947,0.0015727838620910673,0.00011642551071456752,0.8464424802909603,0.6332502834726312,0.011905363377871729,0.0012199109113489673,0.0001400655328875858,1.000958639741362,1.3159958564047423,4.948920744612075,5.087958080287059,5.78986181896702,7.867788080130828,7.823151887063403,5.740162073204423,4.781963867296914,4.909621431721324,5.575057558254609,7.87503507990789,10.063875143326994,12.197942916849675,0.09340987196084924,0.0429875494522592,0.0,0.0,0.001126813700641961,0.3249610991700568,1.356780058034702,550,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00647,2.088933325096695,0.9283553955085793,0.6156352423724876,0.5075902844257838,0.07560282963371127,0.05654317120964928,0.0387073142814161,2.177385362970051e-06,893397.6135628035,6667365611856.326,4.573647504456499e+19,1.080643466923791,0.4452091777488542,0.05578833499814435,0.1327964258078388,2.448664278364131,0.3376232750372053,0.0,2.6623014143424095,0.8733177282100506,103.45995783205468,5.739204797735731e+18,5.911709912863664e+18,5.237371662161415e+18,-0.052599721067513094,4.167403436503284,2.7042828980969533,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.921686603847117e-105,4.381444320082126e-86,2.2518892496243936e-104,7.707497603128375,8.461247883244524e-20,2.288199251127237e-19,2.2127050864267618e-20,700.0,800.0,1.35,145.26927822483788,194.84018093867547,245.81856765849597,301.6065179582468,41.80932039278319,49.5709027138376,50.97838671982049,106.76633701957132,55.78795029975083,0.75,350.0,2.0761892785853924,1.5479687839808323,1.226947666448266,2.8,75.58025154359798,72.75943677147984,62.80254241034958,1.2007071699596779,0.09293243159142388,65.73401205424634,86.61760526169114,84.85896894920218,79.32273705646493,50.357071740524546,30.87407731048711,11.20843848029664,15.706440161983158,19.137951704947035,29.677702148346086,88.95605701714072,90.05660770808917,26.921282370396042,6.864005559650791,8.717760179415182,13.892710733485908,40.072946870230425,56.26868538295234,73.4959630483643,baseline,3.07482513995069,2.2713040947455596,0.7721037340518649,0.0021824962873187885,0.00017236537975710026,1.0546013274771495,0.7793491353596188,0.014353386184830324,0.0013534970035262224,0.00016171815990971265,1.0002513979879097,1.2241396784360379,5.638483154468149,5.831307428827562,6.747651707252465,9.841053316612301,9.850287494939652,6.693366701686886,5.463787851180925,5.643921736023029,6.520131113756387,9.555628003060203,12.85588380955703,15.295436753179148,0.0852240848670019,0.09395909817232348,0.0,0.0,0.022429883216588155,0.31403668538949814,1.3843226933714998,647,TrialState.COMPLETE
baseline_v5_B_standard_wide_trial_00640,2.0889434031579937,0.915299159879208,0.618190570518776,0.516133635626945,0.09397835782764241,0.05188641214509638,0.04043159964849574,2.9951964556220183e-06,973718.2083309321,6401887771961.918,4.5555246891722105e+19,0.9355044191452684,0.3914615644593066,0.055057120942370724,0.13122441062030135,2.6485022135498317,0.29065264328431006,0.0,2.44233524138555,0.8759504105043326,98.75611942434276,6.053751898012805e+18,6.196262321931325e+18,5.627718783809982e+18,-0.04179740787470667,3.8463923782386056,2.6621554954434767,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9158923507053332e-105,4.335663117361076e-86,2.226905893646913e-104,7.637133425410031,8.42772067496859e-20,2.010645295618043e-19,1.915442157313295e-20,700.0,800.0,1.35,138.52907529356654,185.19768697312807,231.051868399524,274.8945706330515,39.77295586922378,46.668611679561536,45.85418142639594,89.69688365992343,43.84270223352749,0.75,350.0,1.9843817628212952,1.4843304747803807,1.1897526409858619,2.8,76.82943000530071,74.16821404315418,64.74750513522345,1.3943321374927096,0.10638366856827804,67.48319397196515,87.24315616072123,85.54863793456902,80.23128354967884,51.20374942766991,31.15560780651902,13.065615878250942,14.669725824212007,17.962417246795955,28.041719719923066,89.11147907944759,90.40751892130753,25.47869873404607,6.462528935618327,8.265422328668706,13.283285352916355,39.69462727145228,56.649958309754034,72.20766778145803,baseline,3.1171385052836014,2.303335632311041,0.7827696508203154,0.0022414167634003997,0.0001726364333065577,1.070683849416344,0.7917038497116972,0.014571209472397723,0.0014026458987276395,0.00016932684555140802,1.000163814547638,1.2093381274725998,5.383705665203698,5.566033077738813,6.428005494033174,9.491947366296312,9.485924773690884,6.377085061841546,5.223631054244106,5.394235887050578,6.216649223282407,9.08705209140542,12.193031237828226,14.726547013445492,0.08963457326386658,0.09521850652224942,0.0,0.0,0.012077407125672648,0.3202654510587527,1.2394914360688603,640,TrialState.COMPLETE
