label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
baseline_v5_C5_coalescence_escape_trial_00158,2.0930986369081825,0.9257214769071944,0.6569383383946354,0.48066718096156436,0.1718862476464615,0.0,0.062096424095296546,7.311285859140565e-08,704162.389842303,18877861184741.06,5.768546906742456e+19,0.9609729876374765,0.6226350612619331,0.42693720868191537,1.0846924020543909,2.992281335872259,0.6476293306231888,0.0,2.764127352883324,1.1446229973290232,81.16054020283288,1.234339571596849e+19,1.304778139489055e+19,1.0680821197759678e+19,-0.08693202701533119,3.068961922061821,3.7995582051513392,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.281221121461118e-105,9.180221138363408e-87,4.921205566503075e-105,1.4998091821107373,1.0671811777473545e-19,3.3377356418763344e-19,1.9727032700995744e-20,700.0,800.0,1.35,110.84272925646275,147.64100702745978,186.12342576676042,229.2422851923218,29.68218905362987,36.79827777099703,38.48241873930064,81.60127816486201,43.11885942556137,0.75,350.0,2.068176115204739,1.5527006338400615,1.2316680946953746,2.8,65.82128830229094,63.318452697905016,53.91189282181334,0.7171552466365249,0.05804087066079856,59.255096355812995,82.7442259914627,81.7432273608797,77.5899690627549,53.780357797683074,31.7108388972316,8.405477150861113,21.199810662770684,24.804408097844046,35.7841212972964,88.04748694172574,88.71517306807984,30.575376797106898,7.5640015269652645,8.824724917862419,12.701038961379608,32.982845586160735,51.15923382779358,72.38128593354887,baseline,5.309129882448417,4.058096073280451,1.478753504574086,0.003358152742351727,0.00025522259677673024,1.8336094534447274,1.4044242263769482,0.02780536882849165,0.002340070282638094,0.00025179742170647996,1.0006195223172452,1.06052273269863,7.669771152489981,7.819043130970488,8.825232376316182,11.23199965889538,11.226530838662596,8.913802461352148,7.858163028127302,8.02762349488092,9.1939024609252,13.208991247327702,17.12758720469218,19.21298511816831,0.017850637303263105,0.11547482277875169,0.015489299804016537,0.0,0.018216984347455292,0.11722536316337212,1.6154116662614526,158,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00164,2.0956175048595043,0.916210011596573,0.6659532976564729,0.4623128353349136,0.18551603089538507,0.0,0.060777076298365075,1.2134493961101732e-07,698036.614892796,21482270047900.73,5.751049168861217e+19,0.9796809426083805,0.6263783871131098,0.5095325677014857,0.895758827058,2.986097256952738,0.8379839295167885,0.0,2.7420506558914566,0.9983862168356099,78.30289438601842,1.3634945847877044e+19,1.4629456744757551e+19,1.1347432982193474e+19,-0.11033057270081773,3.020281539225008,3.3105525643904317,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2762408766400722e-105,9.14492205299725e-87,4.8993226368100155e-105,1.4954097764125587,1.0639440962393252e-19,3.3557747057953286e-19,2.011036232310806e-20,700.0,800.0,1.35,107.72807855583243,146.4841506242794,192.41087517843962,260.71630360130627,29.425184169814003,38.75607206844698,45.92672455416022,114.23215297702686,68.30542842286664,0.75,350.0,2.4201332382084986,1.7798260254791902,1.354997753424909,2.8,65.02549867849628,62.44491525916725,53.075640477956405,0.7278241228995685,0.06084271898821892,58.45091012279067,82.27601062545024,81.23947636492365,77.03651552085526,53.553672244837344,30.462688202037356,7.594979328470498,21.53478090712661,25.247345888217975,36.317792119951655,87.7912471273604,88.43917026040168,31.06838667255485,7.70336250325734,8.990714751534277,12.920093847266156,32.765742511080916,51.90981902473208,72.84103866467123,baseline,5.6061531244287295,4.306677490831456,1.5707618014370246,0.0035513911311531726,0.00027748416241710883,1.9444976975331134,1.4971102328214245,0.029693260566264767,0.002449904911583397,0.00025884326477297533,1.000253382226839,1.050901859250591,7.833567289948389,8.001061361783314,9.035805600654912,11.477377358608857,11.499709536447671,9.145339102688215,8.076129173759304,8.272698650720649,9.49342099905889,13.650891983515477,17.625042868318978,19.563723163593497,0.0,0.11360466218901591,0.019330675977801148,0.0,0.04329687828163251,0.10416632596294993,1.4326015598360369,164,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00166,2.0966649895781035,0.9132146316392771,0.6751378731351904,0.45975640449661576,0.19172861134527056,0.0,0.05782370772355806,1.299089959638786e-07,694970.5266952098,22776776381612.883,5.712072513287685e+19,0.9840249934814173,0.6173279058034734,0.5413284514415095,0.888836530434478,2.9911844475941587,0.8655380147892792,0.0,2.7537781239464003,0.9699867897070453,77.10415636469968,1.4341909152899062e+19,1.5423825810017796e+19,1.1874057809731693e+19,-0.11359295286330624,3.0242785375817207,3.231390294428957,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2651199485085153e-105,1.0097038939271025e-86,5.402131385018139e-105,1.6544970690849492,1.0567334149582217e-19,3.3028360837729257e-19,2.019794047306897e-20,700.0,800.0,1.35,106.05989383914041,144.234085154898,189.46191480118273,257.4195131836277,28.95573747444074,38.17419131575758,45.22782964628473,113.18542802872972,67.95759838244498,0.75,350.0,2.4271145657947986,1.784734259638947,1.358687382916816,2.8,64.49695410301659,61.89709901346916,52.455525465533746,0.6939655563096453,0.05782230885687533,57.89848785506213,82.04441349325764,81.00079450576995,76.75064674552779,53.070987597807765,29.499035732454903,7.075339229690297,21.876837125565014,25.644484022783587,36.864266947661896,87.84049400354263,88.46099061819989,31.545494328560462,7.831297211217719,9.133583575617747,13.12492380174474,33.16371528999877,52.82987459450914,73.40886967601098,baseline,5.765539127919889,4.42661868574685,1.610204925805042,0.0035791885664048636,0.0002784365272391298,2.0014978055407817,1.5401794949435896,0.030438446561580228,0.0024968273839709614,0.0002607517594894164,1.0003269563357737,1.047555287667507,7.860669643498507,8.031798278000407,9.070002660999316,11.461961251581332,11.480908636416006,9.187186545368142,8.122791489983864,8.325442423668713,9.559925343343362,13.734858665631881,17.668592845651986,19.515530342539225,0.0,0.11108085246189058,0.019425033070792425,0.0,0.043585646619679466,0.10104901041229139,1.4089762435067457,166,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00184,2.098439967251104,0.931416972548505,0.6383481677194092,0.4639324877211014,0.16288302604422902,0.0,0.04594985673483144,6.91961709449577e-08,669185.6758289351,19131470094423.668,5.558016875539932e+19,0.9054118737572371,0.6850428004266507,0.5687359879259913,0.823524597333742,2.8596368652662942,0.7913897535679945,0.0,2.80198675869106,1.0087894436579488,83.04726383264503,1.1678887755135463e+19,1.2518882513055472e+19,9.758008799756493e+18,-0.108204358270321,3.1749537490908004,3.3509382635345766,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2207885587194838e-105,1.0781832735240174e-86,5.737782145716879e-105,1.7814836463521524,1.0282331219748874e-19,3.6456013053261017e-19,1.8578492869020808e-20,700.0,800.0,1.35,114.43817228939886,154.91748394919927,202.44779813701933,272.17444143980987,31.390908456753834,40.4793116598004,47.53031418782007,117.2569574906106,69.72664330279054,0.75,350.0,2.3783536209536535,1.7568994441522279,1.3444178891765404,2.8,63.48049485975415,61.142790887016744,52.07696667866721,0.6993965213728079,0.05932701488556562,57.39579610715504,81.0505260600233,80.04953699433679,75.78791225010067,52.07847942408545,29.36396124664879,7.290601017039013,21.09221397655836,24.805419626032922,35.89455805552502,86.33672338814632,86.94625305266311,30.717611421538695,7.545445609743691,8.856637833194547,12.811680504466759,32.36484005150601,50.59209499976703,70.44104326560348,baseline,6.625901665486216,5.047738311189798,1.8131019998756868,0.00401435230599646,0.0003162804263144941,2.294811178545643,1.7517993421610887,0.03391127184001587,0.00279236089958189,0.00029334076982199674,1.0003562534325197,1.0744238999158173,8.801389498201264,9.004051175760537,10.215373265932095,12.95986573817487,12.994103652024997,10.347447070124751,9.109217151687359,9.34202583030758,10.766854104597275,15.522769252568523,20.0411513926846,22.26806237658768,0.0,0.12134086282031861,0.04279039112850683,0.0,0.04354443093200218,0.09631315454212713,1.4816348373159194,184,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00159,2.0986259805778698,0.9242408334687353,0.6476494862708806,0.4657091055468749,0.1712346503985248,0.0,0.061417761587586446,6.79791476593189e-08,704944.7923132335,19038163066318.668,5.7595395640208015e+19,0.9310147570928159,0.6288921740514642,0.505025218378241,0.9176914030188454,2.9027070488720814,0.7905976080509739,0.0,2.7537945172510954,1.0594036261326572,81.23351929105151,1.2264140456924645e+19,1.3122118710185339e+19,1.028097665945611e+19,-0.10596958912815668,3.0829765608508635,3.5157163197251444,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2786583764635652e-105,1.0230937113915925e-86,5.482753966527725e-105,1.6722553364774608,1.0655148193438483e-19,3.3702299441455106e-19,1.9111696978546397e-20,700.0,800.0,1.35,111.84042107500285,151.55660992804184,197.9281586493455,264.5239436162201,30.606901783951344,39.716188853038986,46.37154872130367,112.96733368817826,66.59578496687459,0.75,350.0,2.365190877087489,1.7453804472257228,1.336464429423897,2.8,64.23140171051533,61.88423973264277,52.90509523882429,0.7286824384607916,0.06129810517002336,58.225469276716815,81.68557151645295,80.7120201832173,76.59232294251153,53.1337697329137,30.760118557931243,7.924719640902555,21.127230872254724,24.780133663976088,35.727910914181344,87.04068318910387,87.68425100410282,30.556360667240956,7.553154250838411,8.835411205753845,12.719345527906594,32.32633482296099,50.43670618933915,71.09098325333007,baseline,6.332917282521682,4.851774863679615,1.7669691304642652,0.00401228183628916,0.00031536710647364847,2.192869880209666,1.6837147804298345,0.033283817936692085,0.0027632325001656025,0.00029438765118921205,1.000618985790666,1.065168479283291,8.308450134708263,8.483851739701532,9.600024716530106,12.226622090599031,12.254135523620679,9.712934183649827,8.56840435249898,8.768853830599012,10.07081427728491,14.506611626188617,18.800412020229448,20.984002718116177,0.0,0.12042936083733945,0.030832209611878637,0.0,0.040654429045032185,0.10595893834107456,1.5099075522593037,159,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00160,2.1006230347668713,0.9135142863659061,0.6796996665624132,0.48145365551900027,0.19072251239083868,0.0,0.06072222362704252,1.1523138463454745e-07,703958.0922490224,21218076478144.707,5.75032284029382e+19,0.9461820954231155,0.6196849964528516,0.4931603065998111,0.9244677702980643,2.971557306982931,0.6677221402731036,0.0,2.704986600244587,1.0192427393361136,77.522213341986,1.3861110234738164e+19,1.464933725228904e+19,1.201907242849111e+19,-0.08594702500752545,2.970652114599215,3.3747379013814403,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2760339837400997e-105,9.126677220316615e-87,4.88942547018795e-105,1.492483134929484,1.0638097254543567e-19,3.319832105385657e-19,1.9422687527083527e-20,700.0,800.0,1.35,105.46405759795536,139.91365785242323,174.9784876820715,211.55472435327633,27.941844255969357,34.44960025446787,35.06482982964826,71.6410665008531,36.57623667120484,0.75,350.0,2.005941447462171,1.5120376923918175,1.2090327625740047,2.8,65.31670340394658,62.74719397902587,53.38079751636147,0.7064475310677627,0.0567037004316912,58.73390324991485,82.43955968134966,81.40874467770465,77.22352948151362,53.17495667349307,30.57107816311074,7.8001004446764455,21.372800368515062,25.066355111430752,36.11203268559446,87.93961432195182,88.60453215189796,30.88752076791267,7.642214690467894,8.924689014484555,12.841045837577958,33.31137883243582,52.04472457968429,72.82571564359229,baseline,5.54477602810749,4.256418012800713,1.552063864695525,0.0034518665944361757,0.0002602384351483815,1.9222053269639854,1.4788433504463188,0.029265767313374335,0.002437387843640522,0.0002580706173487327,1.0002808657964564,1.0494790771345879,7.765720199430867,7.930032896742669,8.955105933348548,11.350486280385978,11.338503909235211,9.059782295524796,7.996020301218453,8.187722957364494,9.392393779170376,13.484398726757735,17.381759869361336,19.373925841113916,0.016643076759655172,0.11275900306220091,0.01739017227307505,0.0,0.013132253839438706,0.1067050489212694,1.43064848556943,160,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00186,2.103841826675157,0.9117674674024546,0.6927487433941074,0.4504664742286879,0.20048439472093027,0.0,0.06817986142437753,9.78306068043794e-08,718394.36775438,24631887676231.656,5.849919175487112e+19,0.9074861329057216,0.6524250148701338,0.5654090492470333,0.8298933545730781,2.697007098794794,0.9334352401542054,0.0,2.8667510245825385,0.9284834691704359,75.6030512525766,1.58373821660126e+19,1.718938976421898e+19,1.2878025494880934e+19,-0.1254111786538951,3.2081743808796013,3.1892777050391343,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.304282856431941e-105,1.1080953985565501e-86,5.956805181130396e-105,1.8027528029373139,1.0822350474651158e-19,3.507251012809935e-19,1.8632093334087646e-20,700.0,800.0,1.35,104.06645499618688,140.77996471635953,183.2069029656984,246.9286678223554,28.46340374361027,36.71350972017265,42.42693824933886,106.14870310599588,63.72176485665702,0.75,350.0,2.3727979187088017,1.7540043309419917,1.3478131218046274,2.8,61.82557545716541,59.11325035794579,49.294696560167566,0.5272723150771635,0.04350398082332436,55.03499279614407,80.71600074762718,79.60754401695948,75.11180753604098,50.4925390900176,25.78757256621037,5.37465216612055,23.575857758863805,27.554291006955125,39.36361642547244,87.64112114726295,88.11727317509317,33.7467676411242,8.454326038811134,9.848478816696302,14.098824317865049,34.93218013729371,55.71590374512354,74.48547523330708,baseline,6.268812418615485,4.832334122297535,1.771252629254576,0.003700025018028338,0.00028497794129280803,2.173764361629927,1.6798002867453021,0.03351433917720288,0.0027066357282648653,0.0002718025723725745,1.0002597369822583,1.0589289086904747,8.329754365355305,8.50012451280155,9.570434385105404,11.827906512641864,11.838937866142212,9.713261045470022,8.655908851931763,8.86417687959892,10.168281575582158,14.541766433511478,18.493817052937825,20.139600797999982,0.0,0.10779878951805479,0.026323832196482815,0.0,0.040762319636406585,0.09374072884952575,1.4508601370204854,186,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00187,2.103962900224399,0.9120064294493699,0.6907920259568706,0.45151677915168054,0.199338257519476,0.0,0.06876901800235997,9.705453656159654e-08,718793.1346644092,24322101061071.85,5.857860462582537e+19,0.8996782795197745,0.6519120017020319,0.5659629763511437,0.8088133826381654,2.685347672516599,0.9235656467671663,0.0,2.8627417265644794,0.9241171726711042,75.83956438065026,1.5667729668496601e+19,1.6990626453026914e+19,1.2768623398011353e+19,-0.12406531389128946,3.2103136157531,3.1722329985591116,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.306524883949553e-105,1.117206910599421e-86,6.007427405377437e-105,1.8168402223550575,1.0837041855777693e-19,3.505450948936583e-19,1.847207987861861e-20,700.0,800.0,1.35,104.36271293610292,141.03230360355167,183.1876637627754,245.60190590877113,28.523148555452664,36.669590667448745,42.15536015922373,104.56960230521946,62.41424214599573,0.75,350.0,2.353349189562974,1.7414585143498007,1.340712037393637,2.8,61.76156318627592,59.06973601834412,49.310341132835745,0.5294750363489031,0.04365116949224309,55.029866455990096,80.64683692165724,79.54199324784591,75.05975297138521,50.431529440495304,25.84457126199657,5.416331601521164,23.487467380629724,27.46274881790972,39.248246797471765,87.54290893524819,88.02172944133636,33.65110314132927,8.424670013238929,9.82036159298061,14.063646230301904,34.8799279665495,55.508114419879824,74.26556985422901,baseline,6.363013746151085,4.906807860711704,1.7993878576281208,0.0037666799463240185,0.000290107337971543,2.21033934086561,1.7088970251748334,0.03412794885216447,0.0027573845857614882,0.0002770396541774381,1.0005836357834723,1.0605313654667352,8.38795568694327,8.560707303034453,9.642024212064376,11.923849348456587,11.93432928183342,9.785878734804804,8.718153724238208,8.928748133998653,10.244269538393027,14.65441464410303,18.64455693353785,20.31782150459565,0.0,0.10860743888935102,0.027800249031714578,0.0,0.039351885716326196,0.09384813009090666,1.4430982980558054,187,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00173,2.1048926499184293,0.9468051547636753,0.650603905155793,0.4525788409146964,0.1685811922006001,0.0,0.048647846723876446,8.562053113769914e-08,691805.035756563,20788902554941.34,5.592652703757138e+19,0.982437933657833,0.6437628694946096,0.5212998454217183,0.8917255155077711,2.9881683393742744,0.8573045523223086,0.0,2.9658383663558245,0.9896953237461221,81.78879820881399,1.2941284633887732e+19,1.4009163868575791e+19,1.0561638122873995e+19,-0.12268093234165128,3.360252101004349,3.3658970772912022,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2308084477965265e-105,9.777524180801269e-87,5.209583011812611e-105,1.6124704067075368,1.0346407501950706e-19,3.4300463456179534e-19,2.0160454115401627e-20,700.0,800.0,1.35,112.99080318174656,153.50272720984924,202.1288544750377,281.2053276289193,31.20200497293257,40.51192402810268,48.62612726518847,127.70260041907005,79.07647315388158,0.75,350.0,2.488745275813275,1.8319239842852526,1.3912181333993918,2.8,63.068739500041474,60.38658016956876,50.51784717348645,0.578956625903376,0.04920263745095891,56.13904054496273,81.30514811461204,80.19863146774613,75.7067702628968,51.5423237242776,27.794894115105674,6.268729954524538,22.679526671727654,26.62540543704738,38.372764864692314,87.63845543424782,88.13685349375247,32.87430744092544,8.12016320189598,9.512481341524875,13.72950967976749,34.11168584002643,53.839420678660936,73.54544862304596,baseline,6.061925293870861,4.622200818272301,1.6630218426771715,0.0035620172591557535,0.0002834000008301159,2.0997327723731987,1.6048248363208728,0.03123609918014848,0.002552228708784919,0.0002625418350552902,1.000315628083373,1.0711845491759402,8.189808534359992,8.365813575111563,9.446366119144056,11.779025922589666,11.813660468795751,9.574452719373776,8.474955911118784,8.68406235440812,9.98168254911524,14.314754336515824,18.36313297752461,20.18555888059446,0.0,0.11090336578535122,0.025572595834041895,0.0,0.05612726834359554,0.1029323895882759,1.5819329879649757,173,TrialState.COMPLETE
baseline_v5_C5_coalescence_escape_trial_00161,2.106324697166375,0.9170091934309365,0.6684087339146271,0.4762016895701516,0.1888257077457349,0.0,0.06225802413790303,1.1988679232541463e-07,697302.5709850417,20653600646220.566,5.770693770035914e+19,0.9595628520281799,0.6187627289763148,0.5037897556868224,0.9107382615272562,2.9816685602115665,0.738246557773704,0.0,2.614722250704661,1.0285962769558268,77.71794361742937,1.3297593443459609e+19,1.4104235522146036e+19,1.139452838313675e+19,-0.09265319695592361,2.849939387223262,3.3570362033719587,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2818316459139783e-105,9.185391285034324e-87,4.924341922910017e-105,1.5004858427278056,1.0675783474566442e-19,3.3172231340832747e-19,1.9698170517252024e-20,700.0,800.0,1.35,106.25781430134693,143.08028474557526,184.11226292453742,234.6895471068547,28.539870683917556,36.82247044422833,41.03197817896216,91.60926236127943,50.57728418231727,0.75,350.0,2.208680355886821,1.6402647473352365,1.2747089377911103,2.8,66.04238045698386,63.61567041845982,54.677946328075244,0.8333216451541495,0.06829094624214775,59.86953315121093,82.68846254929343,81.71418036569028,77.69719017191017,54.51131121889061,32.276990649616884,8.755149436936142,20.5432945453398,24.09740107161448,34.72467087487909,87.56073219625563,88.32326163032269,29.67102250444887,7.34152505580794,8.566661633335505,12.31301071148831,31.854369007251385,50.07417805605838,71.4646169977019,baseline,5.607541199623197,4.310885825348953,1.575462206333592,0.0036497199982273272,0.0002796606079740507,1.9394879013589572,1.4939083494150946,0.02967437556050042,0.00247350917840273,0.00026670767141443347,1.0004081343340088,1.0448297372969744,7.806783798053119,7.976042684576729,9.021920590712067,11.602296438591994,11.608167762827202,9.122058038143006,8.030524493539671,8.225249651559132,9.440338104448081,13.604645398297508,17.646357785146325,19.77996685769055,0.005063955999226207,0.11920801762285792,0.020171686380852927,0.0,0.02530372925965755,0.1056062834463351,1.3771017812761632,161,TrialState.COMPLETE
