label,f_n,K_d,rho_d,Fdot,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,dt_h,n_modes,score_total,score_swelling,score_Rd,score_Nd,score_pressure,score_proximity,sw_d_1800_bu1.1,sw_d_2000_bu1.1,Rd_2000_bu1.1,sw_d_1800_bu1.3,sw_d_2000_bu1.3,Rd_2000_bu1.3,sw_d_1800_bu3.2,sw_d_2000_bu3.2,Rd_2000_bu3.2,error
NOMINAL_RIZK,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.5408841603758456,1.0528640105301548,0.14816316960282222,0.5461598307438372,0.22644013070965197,0.0,12.023639207063983,24.659202641853373,251.60019286967864,14.998834595811273,37.28451864582621,442.1287779763108,36.743877757764594,60.30441196534674,3299.221975855719,
CENTER_PREVIOUS_BEST,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.347838177249411,0.8363753630983518,0.09905244832941898,0.5243845880075639,0.45748329918252106,0.13124522720297388,10.493649981315038,23.604076831027697,285.82961897213244,12.341484609471081,29.303954607785588,361.73557602326065,25.439269969948864,51.13189732261885,1351.6062167700625,
OAT_0000_f_n,1e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.4409352779605265,0.9235810569771926,0.07628557092207967,0.5220564786127468,0.5330337819917418,0.1746198867229432,10.765647267162205,23.645505222703058,286.3099130189771,12.692282295461268,29.346722748481866,362.42259750222183,26.20118835793142,51.126192557598216,1354.8112509092753,
OAT_0001_f_n,2e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3735218954792863,0.8606235384532127,0.08985654464505649,0.5232782928175197,0.48522579094378376,0.1472535234807631,10.624018291735652,23.624756160564285,286.06923570250245,12.508208190983858,29.325300409771355,362.0782085669564,25.78601194343923,51.129122270102165,1353.1926323939551,
OAT_0003_f_n,5e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3371224567765123,0.8262104505130317,0.11186814469895713,0.5262229622688913,0.42305124682909057,0.1110771590560324,10.25961829861735,23.56292503471897,285.35352763561315,12.047356897781246,29.261489305966098,361.05549790716094,24.87110624886308,51.137013449616965,1348.5243417916927,
OAT_0004_f_n,7e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3460360767764545,0.8347126311223507,0.12103245036467607,0.5277036983971004,0.4007969285718046,0.09779279217619258,10.053243226842703,23.522045250979602,284.8815612564688,11.79231926394851,29.219320383888398,360.3822027025924,24.4087243773257,51.14159605712425,1345.5552697135297,
OAT_0005_f_n,1e-06,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3705281118817143,0.8580924522713143,0.1313637939249035,0.5294950137869193,0.37765166403772354,0.0837107958138523,9.782117921134029,23.4612259058812,284.1811816585442,11.461952935895905,29.156609174740456,359.38464177190144,23.83751022154038,51.14757347019311,1341.2937276033376,
OAT_0006_f_n,2e-06,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.4661971268270186,0.9441266939253288,0.15326595077462132,0.5335466199869844,0.33419431784664394,0.1110771590560324,9.086706465399587,23.262661679077222,281.90932409314456,10.631029752321465,28.95203799486592,356.1609794947813,22.482123209088794,51.16122481851876,1328.4736474382817,
OAT_0007_K_d,3e-07,200000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3474983761831036,0.8313566620528867,0.05396422801848431,0.5603916869017213,0.5096255601126755,0.1472535234807631,10.559473145530989,25.161270073463584,348.4272031230163,12.273715952694234,30.049520077515634,427.84057917579634,24.327783539434083,49.911207825220686,1391.505183703082,
OAT_0009_K_d,3e-07,500000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3991914895485338,0.8386071005547173,0.16364857971749647,0.5597443110527203,0.3963043226173342,0.11107715905603242,10.071463394864558,20.1360806724354,210.03030990076758,12.08126391207241,26.909827034801708,275.72920514977017,26.705987310696806,52.554946197831896,1300.0688542952948,
OAT_0010_K_d,3e-07,800000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.481357044938968,0.8268352132988596,0.22665946793577568,0.6610542643802978,0.34505717338128267,0.12963352111566195,9.314005984196026,15.894220030427409,151.38631255102365,11.42975746292472,22.669011310705102,198.60027023145534,27.67842526620662,53.74163989132128,1248.5309783551324,
OAT_0011_rho_d,3e-07,300000.0,10000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.9968028208656614,1.405402332933725,0.08602145760539068,0.7128936955969867,0.3439490463107059,0.1746198867229432,6.594087074336318,23.604892260005432,411.22799686112387,7.563845643182791,27.54533673591163,481.59706392232795,16.078373308878643,48.55771386020378,1286.1162841060184,
OAT_0012_rho_d,3e-07,300000.0,20000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.442750898152007,0.9240203545952891,0.09088520557232543,0.561952488048518,0.41285621791561167,0.1472535234807631,9.588700698314998,24.63905893769723,341.0898354640474,11.110505261478945,29.547996871133652,418.4541370826175,22.503505703360226,49.87291644995878,1358.180669470576,
OAT_0014_rho_d,3e-07,300000.0,50000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.692023514583318,1.1327674410744553,0.12270025889820903,0.5503633013389443,0.5120263277670334,0.1514132953499154,10.593188695695224,20.65989895498646,214.43856348321634,12.731314106986941,27.471962095617926,282.24352001096133,27.862503039787644,52.687290895844995,1321.3396382416997,
OAT_0015_Fdot,3e-07,300000.0,30000000000000.0,3e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.8421038171072581,1.3704187879228922,0.06620997786533898,0.5110315955180152,0.4207143498424271,0.1354049990721262,12.913660528399017,28.244819506593345,346.9311913287554,15.404690507547377,35.521410780157154,484.0305765363476,31.918317130673607,55.921460142089394,2243.9313564707886,
OAT_0016_Fdot,3e-07,300000.0,30000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.4960236647343732,1.0048347269307432,0.0834700664649518,0.518605951945018,0.4402905080745377,0.1152369309251847,11.54115906311647,25.53052741101159,309.4150592627594,13.655497243421605,31.913616309920734,406.7840009062793,28.268627884001408,53.35703775239522,1684.3558910038344,
OAT_0018_Fdot,3e-07,300000.0,30000000000000.0,1e+20,0.3,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3130845554290977,0.7869665456125575,0.11036427735602526,0.5282608290042959,0.4705847553920343,0.1426032941673648,9.778300783714595,22.33279177014145,271.39091335076944,11.452876802844484,27.58219228032997,335.7335312540874,23.491137805616102,49.454608488265436,1162.0845020564868,
OAT_0019_Dv_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.2,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.336897628411625,0.8023037733847073,0.11314200319557659,0.5284436759623179,0.49441157945818714,0.1472535234807631,9.625632590408587,21.93297515689363,267.49976726837417,11.269698273169821,26.979677125754538,328.15140780082254,23.099487348959844,48.666477265500674,1097.7409184816356,
OAT_0021_Dv_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.5,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.4512991330563492,0.9680079605452542,0.08177203858307602,0.5190212328429143,0.4141211595663603,0.1110771590560324,11.63746645393733,25.90279330491493,313.41552660596096,13.780183682998004,32.532304045991886,416.8169515424836,28.617312605611783,54.007559264528616,1781.057656913251,
OAT_0022_Dv_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.7,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.5694168279400287,1.1038908776661194,0.07093109806337598,0.5153719207656462,0.38748699981015683,0.09779279217619258,12.418076069658877,27.565582960015345,335.40793547563084,14.782371637538509,34.85664041812135,464.3528746262242,30.843642625242605,55.753954642083805,2150.341932160482,
OAT_0023_Dv_scale,3e-07,300000.0,30000000000000.0,7.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.730170941882466,1.2825221818510768,0.060260987916801505,0.5114359347477883,0.36093371223828,0.0837107958138523,13.266384709843287,29.489997913852754,363.4145886427603,15.893572145874,37.49083962699405,528.7843905647853,33.30624595552983,57.478305808182014,2637.32439606885,
OAT_0024_Dg_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,0.5,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3443955270677757,0.8277313540092411,0.11662595272940864,0.5270279292320694,0.4117923582567656,0.158611590445154,10.15125659645824,23.54204291821659,285.11237766080933,11.913595692563156,29.2399973756287,360.71227780273955,24.628018484035156,51.1392564514416,1347.0132285948812,
OAT_0025_Dg_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,0.7,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3397267731028564,0.8259082569891714,0.10783610437490487,0.5256277280238696,0.4336955355215935,0.1453272235653142,10.338586082220896,23.57741475264824,285.52107452523256,12.146235237971931,29.27646153305108,361.29512191076253,25.058277126940258,51.13520218589452,1349.605877651465,
