label,f_n,K_d,rho_d,Fdot,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,dt_h,n_modes,score_total,score_swelling,score_Rd,score_Nd,score_pressure,score_proximity,sw_d_1800_bu1.1,sw_d_2000_bu1.1,Rd_2000_bu1.1,sw_d_1800_bu1.3,sw_d_2000_bu1.3,Rd_2000_bu1.3,sw_d_1800_bu3.2,sw_d_2000_bu3.2,Rd_2000_bu3.2,error
FINAL_01_from_RAND_0144,1e-07,200000.0,30000000000000.0,1e+20,0.2,1.0,0.5,0.5,1.0,1.5,1.25,1.0,40,1.2663867127481487,0.6841213213279977,0.046507559887209136,0.5686853965193001,0.7149772182750537,0.2975455701876125,9.121896962402475,22.250131058823186,381.6705116703142,10.54301318787253,25.680404596032997,459.2671163996529,20.39006352780981,40.93365063888628,1285.8312584156213,
FINAL_02_from_RAND_0156,3e-07,300000.0,30000000000000.0,1e+20,0.3,0.5,0.7,0.5,1.0,1.5,1.25,1.0,40,1.2766973190223274,0.7725832124180211,0.09614360811613029,0.4803791594894297,0.4998498151276677,0.2362363144744051,9.902865009786725,23.844463516139143,362.8831265021892,11.55163948606186,28.084230678586042,459.5778319413124,22.673212679578434,44.24035646672781,1513.8856963445746,
FINAL_03_from_OAT_0018_Fdot,3e-07,300000.0,30000000000000.0,1e+20,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,1.290655863431,0.7851054840891182,0.11314559801142277,0.490288563733546,0.4716599723080869,0.1426032941673648,9.72930550777143,22.57236225034123,275.40096196969563,11.393975194302167,27.737858107676892,340.525446281454,23.421511632348828,49.26859205102936,1168.336139538649,
FINAL_04_from_RAND_0273,7e-07,800000.0,10000000000000.0,7.5e+19,1.0,2.0,1.0,1.3,2.0,1.5,0.75,1.0,40,1.3033846596038206,0.8477876318924573,0.10285000127762235,0.49635815641748815,0.26935697565829214,0.18447889051961744,11.568227080451576,32.24313262881481,614.7720690525592,13.733246556165065,36.94836531336105,848.4957701108945,28.600599831485106,51.146737185039704,3185.232207336977,
FINAL_05_from_RAND_0206,1e-07,300000.0,20000000000000.0,7.5e+19,0.2,0.7,2.0,1.3,2.0,1.5,1.5,1.0,40,1.3280546875374117,0.7630770508820324,0.04361342486377124,0.5663894130791362,0.6513278531113706,0.3178262812541493,9.807437629519141,23.814364235960582,414.87388479701724,11.336740988229623,27.401560195230285,506.04908490228274,21.830784102583753,42.544369486070686,1480.5443976663394,
FINAL_06_from_RAND_0184,2e-07,200000.0,30000000000000.0,7.5e+19,1.0,1.0,0.7,2.0,0.7,1.0,1.25,1.0,40,1.3252227476264673,0.843000636505259,0.06802889533326544,0.5634910735249875,0.31400186288418264,0.18006774551884197,11.48380594527984,31.62737054001412,461.6342007124983,13.62143634202442,37.910156715428734,628.4591563207406,31.191612737802192,56.482491453812464,2623.1959272931863,
FINAL_07_from_OAT_0048_coalescence_d_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.5,1.0,1.0,40,1.307007821295396,0.8233790819678571,0.09375797487579633,0.4779128439613101,0.4661003927584762,0.1472535234807631,10.514012384514858,25.33764224212101,393.6528251930752,12.285011899923125,29.781201968583847,508.1580871092708,24.13093469093659,45.700893941097,1748.383691293763,
FINAL_08_from_OAT_0019_Dv_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,1.3140327586403246,0.8007305751508267,0.11508184424352368,0.49021449746250756,0.4955633667738025,0.1472535234807631,9.595684755254776,22.107563200060667,270.34463870611233,11.233096362059522,27.097286269919717,331.51812241986084,23.053155751224676,48.53893468874182,1102.4952170568029,
FINAL_09_from_OAT_0003_f_n,5e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,1.311418602264143,0.8211912479644955,0.11387273792835663,0.4887654484449953,0.42459781110879025,0.1110771590560324,10.215798660135954,23.797093328300782,289.37488671153375,11.995775289569094,29.411985963950983,365.9669615818064,24.816580536204807,50.980147170318325,1354.5316349173504,
FINAL_10_from_RAND_0093,1e-07,300000.0,20000000000000.0,1e+20,0.7,0.5,1.3,2.0,1.3,1.25,1.0,1.0,40,1.339883647386722,0.8320035550308225,0.06763928214830134,0.5632694448053497,0.3891663055747351,0.2527935157519504,10.726806081165808,28.59882241469181,467.7580015071665,12.497106115191773,33.33496441687506,602.3411206521852,25.81394449174816,50.17061337912002,2096.9984283233434,
