label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,error,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00629,1.990001368772348,0.8596492437852814,0.6327601076327963,0.4919414817742622,0.1439977594316985,0.010538608026478146,0.14230180330312675,2.0146893552685865e-06,653389.9934409114,16459306820812.424,6.938599294788619e+19,1.4996105142504992,0.5577509485692957,0.05268256638537385,1.6647321316820596,3.767184272381435,0.5066044228852112,2.387495871189096,2.6820045045150986,1.3112649777216057,85.6947854891069,1.0174374183171856e+19,1.0602705609912482e+19,8.971418433470601e+18,-0.07255559018586916,3.759839587789049,4.469885535164875,0.0010495353411422393,0.1297680340816692,0.1297680340816692,12.0,22,0,,4.2934800659537927e-19,3.598638219404912e-105,1.4071150598913175e-87,7.847650859162692e-106,0.21807279255930365,1.2836408695358946e-19,3.110644492055051e-19,3.085362692624043e-20,700.0,800.0,1.35,119.31097545168889,162.34663142961142,208.31945254499877,261.1943168396956,33.616189962581984,43.03565597792253,45.97282111538735,98.84768541008418,52.874864294696835,0.75,350.0,2.189189350358281,1.6088681024031075,1.253816259829482,2.8,75.27509105325582,72.4088918855215,62.25350112657302,0.8079537643301528,0.042140169542635636,65.7765980180074,87.7321595642269,86.27462375311946,81.66867614124884,39.90467382423019,3.9002421541707526,0.47027280384408443,20.01780103789689,22.9844439964658,33.121380616177085,93.1429547803923,93.89946058562872,29.6748906453847,8.19953364742164,9.668248345805836,14.038191298189602,53.91666755440921,87.21907798588627,90.1408522412222,capture_only,0.7404286439370521,0.5901563356981689,0.2401348636129385,0.0008526565582906249,6.591852150081305e-05,0.24792581597179114,0.19609841681450912,0.005745683877981278,0.000677279072367311,5.88750562633509e-05,1.0012436857999567,1.1201037159358018,3.966679264910259,4.016507782314532,4.384983393636926,6.048238798719245,6.0583333263071255,4.3480557066678545,3.8203809723796605,3.8610294842602286,4.214783721370192,6.172912937482629,8.880002580870624,9.38881607987748,0.07850580984132462,0.023606450514324202,0.0,0.0,0.023504586294534707,0.2905580431106901,1.9736560533376148,629,TrialState.COMPLETE
capture_only_v5_codex_trial_00643,1.99068509394338,0.8416883473645058,0.6466044341830132,0.489739342009342,0.16226885950557157,0.0,0.13504922018337306,2.2672042818001444e-06,696236.5623649122,17217479404628.623,6.823688992774506e+19,1.544231137731018,0.4942799209756592,0.050104058924265754,1.3861391720760508,3.3751126047388245,0.5463840510255591,2.699167257616573,2.5949956754677315,1.2424478661632863,81.80819772857613,1.13150780482808e+19,1.1805366250492522e+19,9.924802771996668e+18,-0.07535758008623203,3.676972849704565,4.190614142832927,0.0011050580281078293,0.14039866746712396,0.14039866746712396,12.0,22,0,,4.2934800659537927e-19,3.568715248397904e-105,1.1394787448220094e-87,6.3307872616517005e-106,0.17739681708967303,1.2623824636632836e-19,2.7461512920907545e-19,3.1764939234446216e-20,700.0,800.0,1.35,114.06847213855687,156.0310708649738,201.08254094738408,252.6995681162419,32.26027440998074,41.96259872641693,45.051470082410276,96.6684972512681,51.61702716885782,0.75,350.0,2.215332276996683,1.6195464577367613,1.2566957177170548,2.8,75.51438842483212,72.62842069730432,62.55990896115988,0.8153482821454808,0.042131862749063824,65.93092350566705,87.68862812883839,86.16700200633932,81.48701233730662,35.610557328929616,3.3081388846408064,0.37536013977998506,19.65877617771954,22.66134293961995,32.750965761102925,93.03640645566901,93.79925702285973,29.46275400160913,8.1965995248575,9.731269175589572,14.182587011802868,58.0878608305478,87.66921860579133,90.13746202803543,capture_only,0.8434335212754023,0.6723618883182683,0.2720438956484762,0.0009760741594629144,7.535709851140754e-05,0.28234676343336923,0.22356749335425705,0.006884571693473761,0.000777743628781243,6.673952266096353e-05,1.0018249103206225,1.1004674267828145,3.9834018761729206,4.037874474757462,4.417081382088734,6.147269188026044,6.15853575729269,4.3787459562995705,3.832425582870752,3.878161324716848,4.241555109061216,6.294697268829129,9.021864765939096,9.487111092661934,0.07347056371246233,0.03612834850188944,0.0,0.0,0.022780325344625152,0.2945707812145416,1.8351679138557608,643,TrialState.COMPLETE
capture_only_v5_codex_trial_00580,1.9938922058594624,0.90547427967383,0.6136928851866865,0.5074392999886796,0.1035890289046488,0.0,0.11957280719965668,9.896847756300546e-07,419397.1597109957,17775441186176.87,6.584803378946104e+19,1.9991948779568232,0.43712246184000425,0.06631711305583296,4.508864378569137,4.75761637331293,0.39504033440251446,1.5202382681782554,2.507480372695132,1.887300413470765,94.20587918255896,7.160031153589865e+18,7.376755194878629e+18,6.529881667592398e+18,-0.05296005999159416,2.959312481895075,6.337416982911083,0.000770616686469576,0.07735872177213296,0.07735872177213296,12.0,22,0,,4.2934800659537927e-19,3.505691454756879e-105,1.1711727120273117e-87,6.455115968703383e-106,0.18413246151324655,1.2181886251050292e-19,2.409274187082106e-19,4.110521936253693e-20,700.0,800.0,1.35,130.1954975442445,178.18938136445033,233.9749979345218,302.13426641362116,35.98961836168553,47.99388382020584,55.78561657007148,123.94488504917084,68.15926847909935,0.75,350.0,2.320619930124285,1.695579523875593,1.2913100505643504,2.8,78.24210561833227,76.20477519094436,67.71012843293103,1.6244239122265847,0.08608346299982189,71.27785507506137,89.57644492010175,88.82185541837795,85.66895456831391,60.236605150978185,9.898400638174015,1.8578782131895646,17.37381467318232,19.53815958696727,28.067445248584907,92.72505867388037,94.23544737682307,24.567579294598225,6.624240191262601,7.414901861799569,10.404173458549671,34.40844129924716,82.04206402337408,89.38290895533771,capture_only,0.7157191595456286,0.5551450220891977,0.21986994448201744,0.0009053241661978461,7.163522013499992e-05,0.2415741325232069,0.18508576103858593,0.004491442869472564,0.0006136834674222151,6.0246758483504356e-05,1.00203619062761,1.0766157365322742,3.6683605489397766,3.701920199999164,4.00255637400207,5.649612089726861,5.678397524956951,3.970967899601536,3.557740756112443,3.578156958783903,3.855022795942241,5.350462106905189,8.0589216549845,8.759152584714268,0.12391207305543439,0.0017250202020812249,0.0,0.0,0.03363053400163485,0.2923611604889716,2.4427133439540185,580,TrialState.COMPLETE
capture_only_v5_codex_trial_00631,1.994345978991249,0.8567374183094673,0.6341203101618631,0.4789000201115704,0.15385860138332097,0.0029592745343792128,0.1448896544158108,2.0045059710642604e-06,686116.0001946716,16913580319425.84,6.980068083578179e+19,1.4790006737808132,0.5413906681663222,0.05491960324231426,1.707392938584347,3.775786340594789,0.6327722084017975,2.340513898474431,2.639497529371173,1.3094617983572594,83.45673567425115,1.084047892268854e+19,1.1399986529661985e+19,9.284430428397695e+18,-0.0891490719242411,3.6163983098716517,4.4627689439567675,0.0010298787927755018,0.1245197775430536,0.1245197775430536,12.0,22,0,,4.2934800659537927e-19,3.6093758952942045e-105,1.0224334603329112e-87,5.710078886053161e-106,0.15820128054542032,1.2913125954619632e-19,3.023554630534249e-19,3.043190477333186e-20,700.0,800.0,1.35,117.01517265253413,162.4288133540777,216.50496316079955,295.61670302292754,33.558436978282984,45.41364070154357,54.076149806721844,133.18788966884983,79.11173986212799,0.75,350.0,2.5263108733833546,1.8199769912651782,1.3654038166477098,2.8,75.20020177067858,72.33423214868535,62.23112852281453,0.7702929644759517,0.025812004959086282,65.82084070837254,87.77740050904414,86.36514480018539,81.9029256464678,39.85414385614956,5.045262283277602,0.5973298445691564,20.076361201081706,23.048016310797856,33.14758010376675,93.19795769953662,93.92044166663283,29.634157863243644,8.14728518495945,9.572802988506457,13.80503653891885,53.94658554795549,86.04356095741173,89.97624656466832,capture_only,0.7638212520652732,0.6093096960259944,0.2483206780122138,0.0008966996311789332,7.220974392323872e-05,0.2558932235598181,0.20258656579266893,0.006052626840492658,0.0006817044285632506,6.07491278936623e-05,1.0014023702212722,1.1087172305682853,3.9596157761744593,4.008441844490817,4.3729706954064875,6.030852636356266,6.0536741186641665,4.337790178005527,3.8194210824366075,3.8594656455154794,4.210992076833084,6.1932179690544515,8.910495054882093,9.426362841634635,0.05706764753502019,0.02375379889351069,0.0,0.0,0.04952687170268194,0.28745186781884385,1.9330264330961244,631,TrialState.COMPLETE
capture_only_v5_codex_trial_00668,1.9948557554313,0.8562056936485126,0.6281715586697217,0.4886953308296571,0.1496306617246344,0.00369910730647071,0.13601463529717575,1.7991319497500532e-06,689701.7820311981,15292047981870.69,6.8388745874478195e+19,1.4780822850941773,0.570349442438986,0.050778056157358635,1.2603961991138273,3.1296937947060828,0.5624819649382188,2.9260864913788738,2.5025885859419916,1.291949103739324,84.33247257370282,9.961307550009956e+18,1.039242013377713e+19,8.710069285802824e+18,-0.076695085923691,3.5664918219053368,4.302647320688642,0.0012032656905365158,0.1470884913685447,0.1470884913685447,12.0,22,0,,4.2934800659537927e-19,3.572683992152456e-105,1.3277815955323593e-87,7.380702197461433e-106,0.20658704250567475,1.2651917986778467e-19,3.1703853986939344e-19,3.0405107410645016e-20,700.0,800.0,1.35,118.38058338892917,163.96670681771587,216.1973648002505,284.0692357443618,34.04811081522635,45.586123428786706,52.23065798253464,120.1025289266459,67.87187094411127,0.75,350.0,2.3996269287766294,1.732481192417712,1.3139347743984742,2.8,76.53761767985881,73.74942089255775,64.04590092573484,0.8427508687814604,0.030681477116279544,67.25869475309179,88.04535926452434,86.57026877230138,82.03474993605252,36.38303305088585,3.7233096175921836,0.4394295137509796,18.439658092375392,21.338852254285374,31.01377767128375,92.42824702444383,93.2168486235871,27.889320809018173,7.665703463319292,9.149047838615102,13.405814726083031,56.76702675565817,86.1879023785485,88.87392567640485,capture_only,0.8445780679942252,0.6729302486867258,0.27241336575920955,0.0010341971972535329,8.216582912121798e-05,0.2834087757365095,0.22428139325354826,0.006983359578626877,0.0008088465988117313,7.086417850380622e-05,1.001367901004741,1.1111358376324416,4.178146159771595,4.238796604470147,4.667908037222181,6.727967909577444,6.752387733467482,4.6240922166386795,4.0055284964198865,4.056401995830001,4.47020853521728,6.84295683387737,10.08797915726052,10.686573945665671,0.06697844305817569,0.0338757635525075,0.0,0.0,0.03667008049843344,0.2899473895302454,1.8232281046949341,668,TrialState.COMPLETE
capture_only_v5_codex_trial_00667,1.9958766193510051,0.8500544823197357,0.6394106430186098,0.48803723562066714,0.15416050374202317,0.0077937250486252935,0.13603653832549856,1.7799329457772604e-06,736032.6487952893,15640110756796.69,6.839219505118585e+19,1.4648141061901472,0.5751397418155877,0.05046991204097756,1.0462787149351165,2.967370223019402,0.5445821667053073,2.821575722185299,2.6560820495214337,1.2015836073690684,83.59938994172118,1.0852843808229577e+19,1.133844564973901e+19,9.48539632560797e+18,-0.07749804102749255,3.8610320545669583,4.058333573780759,0.0011522284816106784,0.15093202698900723,0.15093202698900723,12.0,22,0,,4.2934800659537927e-19,3.572774084921968e-105,1.3293441395756993e-87,7.389472692214983e-106,0.2068273144781382,1.2652556084469381e-19,3.197049800595933e-19,3.013219162455313e-20,700.0,800.0,1.35,116.80037015096126,159.39050728201605,204.59523051025587,256.89049802459243,33.20098020924007,42.59013713105479,45.20472322823983,97.49999074257639,52.29526751433656,0.75,350.0,2.199397978727024,1.6117051285247854,1.2556035513824704,2.8,74.92793661640624,71.91130650254765,61.57006174330441,0.7145975919125277,0.03522725266661889,64.94820023717004,87.25983481324037,85.61857862234334,80.61418748846417,34.32141639178578,3.030824083666885,0.33935969848238645,19.83789029070812,22.975345762552884,33.30068531248261,92.49391681475926,93.1643743451714,30.014919417707908,8.300244035031445,9.948474995082824,14.652587853100165,58.56367956743617,86.72318657586706,88.86308907996955,capture_only,0.9225268640741324,0.7361223066201658,0.2979022518607945,0.00103724253398926,8.02554271174478e-05,0.3094272821739786,0.2454220024475369,0.007546171397902648,0.0008479183112570346,7.218084068485301e-05,1.0013140017067028,1.1186869067706617,4.311646228811499,4.377225428279304,4.831350692352198,6.790448350794218,6.800318146734893,4.787599680750858,4.130493869554226,4.187524380126333,4.635491146075331,7.107357869380149,10.245141422154806,10.79747904070735,0.07004334290985988,0.039888398316640664,0.0,0.0,0.023500084303878288,0.2893471174513207,1.8345092425830334,667,TrialState.COMPLETE
capture_only_v5_codex_trial_00698,1.999248619301361,0.867792965348552,0.638180726670596,0.4943856904894333,0.14839343701011457,0.00817998603382193,0.1484670459229112,2.5487015112579854e-06,676523.6254883842,16353475172660.469,7.037802096176718e+19,1.4243254475693015,0.5425644507368421,0.06377576023027237,1.0435995172731385,3.4439418670767896,0.48568621780671406,3.11755272796537,2.6951735428117,1.1258734392583296,84.97001345177205,1.0488202513335255e+19,1.0914214624301687e+19,9.301234599471405e+18,-0.06945189132102877,3.672276822732524,3.765195606795331,0.0013220830051643437,0.15173064874913905,0.15173064874913905,12.0,22,0,,4.2934800659537927e-19,3.624272213234503e-105,6.792056446493531e-88,3.800477154270224e-106,0.10486180205759064,1.3019933877926928e-19,3.035904981044543e-19,2.930999866516168e-20,700.0,800.0,1.35,117.9557270692615,159.36214662455325,201.36913051398102,245.10541825310736,32.98571361748945,41.40641955529175,42.00698388942777,85.74327162855411,43.73628773912634,0.75,350.0,2.077944194343237,1.5380403906742022,1.217194599924489,2.8,74.57050374970954,71.4876353675997,61.21909943299025,0.7014846994744824,0.03725246685594761,64.894445497086,87.45840852961292,85.93989496834078,81.41492104056452,39.00379804278354,3.0435091874316726,0.34564534090203125,20.18903337257898,23.402769506902633,33.70554740904032,92.71223635610126,93.37421484166792,30.111652161265678,8.081244258244272,9.608220918296356,13.850170979552685,53.964092426550096,86.72218749545503,88.84845769169137,capture_only,0.984620936661325,0.7910224081727328,0.3225938954189276,0.0010770708876529746,8.220914210318555e-05,0.3333482189503873,0.26664979778981823,0.007806613482335839,0.0009183501412449741,7.78179035317695e-05,1.0008394840284016,1.1226937050281418,4.2558419410501545,4.318572717324948,4.752759262550504,6.585201873536622,6.588450482334059,4.723700443659705,4.126998993192409,4.185234315573011,4.627742002905471,7.024302917184046,10.233384966972077,10.805819149503082,0.07863190252567283,0.026275969850700052,0.0,0.0,0.015628262193315902,0.27243214295221335,1.7130662488046828,698,TrialState.COMPLETE
capture_only_v5_codex_trial_00627,1.9992652633566108,0.879440104613851,0.6343076972276843,0.4897099712826982,0.1415999631067877,0.010864323392749746,0.14320902066105792,2.0559259299648514e-06,669131.1637951158,16456061456059.852,6.9531087977354764e+19,1.49489713220101,0.5404216674954588,0.05988041811057385,1.6150454166443315,4.080634166823907,0.5094373905093879,2.1834005564374688,2.7999205518725976,1.2523799660255217,86.336997959247,1.0386429273441964e+19,1.0848982921106668e+19,9.12025364863104e+18,-0.07538210860531379,3.8117245217978413,4.296555484822702,0.0009800117918549872,0.1187317128997464,0.1187317128997464,12.0,22,0,,4.2934800659537927e-19,3.6023988619606164e-105,1.232938949272044e-87,6.87955915245956e-106,0.19097161130889706,1.2863251275810633e-19,3.015447626989928e-19,3.075747075586076e-20,700.0,800.0,1.35,119.89152830183556,162.2320804671218,206.72802962641123,257.54180135436224,33.55453034258856,42.340552165286226,44.49594915928944,95.30972088724045,50.81377172795101,0.75,350.0,2.148123432924987,1.5874899749347422,1.245800106641461,2.8,74.20822588965696,71.19307993015875,60.70545545040555,0.728091443470667,0.039972987431027486,64.52257504043268,87.45891938016808,85.99806491209864,81.4048937493423,42.34204195996099,4.566793267236714,0.557700776451804,20.965538868918728,24.094919858616905,34.59460207961131,93.27447967973531,93.95774723163335,30.85145208648076,8.383999553010147,9.858520583908076,14.21329542848547,51.38875588001839,86.44645884906022,89.92243494583487,capture_only,0.8123136755640482,0.647737972892447,0.26273570947962877,0.0008759218746945491,6.748952130386323e-05,0.27363799607515604,0.216850073038946,0.006059576070558871,0.0007105522240767817,6.209944630634171e-05,1.000801051034484,1.1233124684890812,4.013921565860253,4.064262238331917,4.437206760503529,5.996552954919344,6.002212291414292,4.406083427736957,3.883443070746587,3.9265644309543504,4.295246894253501,6.263142583950077,8.986037331478979,9.519802178267048,0.07821965996935584,0.016665886677825408,0.0,0.0,0.0222863271395406,0.2813584188105733,1.9617121702987232,627,TrialState.COMPLETE
capture_only_v5_codex_trial_00660,1.9995019790095407,0.8691207098385397,0.6236497521992329,0.48942356409326854,0.1459577143719844,0.0,0.1424110682441205,2.3609218346817293e-06,649739.1097648594,15553636519482.564,6.940345209263108e+19,1.5481235008016407,0.5715724278107877,0.057055096867429496,1.2621537350922782,3.3390445730985117,0.565931996075889,3.1100178250036006,2.45780333423736,1.2611395639962713,85.00889920154488,9.551362816619969e+18,9.95831370061745e+18,8.363493464815324e+18,-0.07579808114385922,3.3405209781712624,4.137182569869564,0.0012945797875401253,0.14289687509377252,0.14289687509377252,12.0,22,0,,4.2934800659537927e-19,3.599090941856975e-105,1.1584626844184543e-87,6.461260666955989e-106,0.17952479588143608,1.2839638637136751e-19,3.187913167858575e-19,3.1851855923260037e-20,700.0,800.0,1.35,119.28656291220202,166.16890539154699,221.74423434717835,297.3368098321422,34.27766371065714,46.88234247934497,55.57532895563136,131.1679044405952,75.59257548496385,0.75,350.0,2.492626181634471,1.789364918373397,1.3408998466522055,2.8,77.04610539632148,74.3148073006453,64.9387805288879,0.8927204731860165,0.025390700040542922,68.19494974523579,88.41861508180607,87.063064751927,82.97158265083864,38.97808991570929,4.27138660711224,0.5144976343428833,17.99634711406704,20.834740955914942,30.188628650182732,92.42829319298916,93.26571934627361,27.013381418172735,7.319566585497049,8.681262185295646,12.50123124653554,54.23190453347587,85.56819623132884,88.69571404346961,capture_only,0.8303440293249282,0.6641384059309116,0.2698479043384895,0.0010448757058103039,8.404465529017235e-05,0.2802255910235938,0.2228532231689061,0.006867117338280566,0.000809433358854667,7.204945189975178e-05,1.0009887396059052,1.1029303270639634,4.127203460286582,4.186313337508843,4.602742916590885,6.677941458119025,6.70880590903058,4.56572923310975,3.981592741673322,4.03281983960846,4.438179661254614,6.78313843347658,10.159607728200045,10.789716272735621,0.06744338826965332,0.026308424061645488,0.0,0.0,0.04332998703779155,0.2808300270278209,1.7180773420642055,660,TrialState.COMPLETE
capture_only_v5_codex_trial_00601,2.0013128500156623,0.8750874378668795,0.6569897219420497,0.49497280558979445,0.1672079569425896,0.0,0.14251549417784093,2.0524183042890317e-06,678710.8363654176,18435234274362.008,6.9420142131283984e+19,1.5688336456903738,0.4777292353897891,0.07802900932080942,2.175063078462074,4.64042099925617,0.5122930074649877,1.4896695681466412,2.6310809794928507,1.309782698973682,80.95472552378737,1.1839108256646463e+19,1.2324395323645985e+19,1.0519752517987383e+19,-0.06876009756098166,3.1335086778577557,4.425009533806719,0.0006901238693165709,0.0699136917525854,0.0699136917525854,12.0,22,0,,4.2934800659537927e-19,3.5995236678542705e-105,8.49193977337807e-88,4.7365939959985785e-106,0.13158946663690455,1.2842726294287538e-19,2.6646555303584394e-19,3.2278055548138576e-20,700.0,800.0,1.35,111.35665979623445,150.33113886868492,190.90491412260525,233.02406825175066,30.40193427244708,38.974479072450464,40.57377525392033,82.69292938306575,42.119154129145414,0.75,350.0,2.0925921150845297,1.5500718613945876,1.2206289676864743,2.8,74.64330107287746,71.81182486050061,61.8938666025371,0.9630541511751028,0.06347252379724343,66.05650421096888,88.08094821825686,86.92242870850497,83.04909260981597,54.59363695816234,9.28896699392322,1.4134736752601278,20.580246761567256,23.546263319576223,33.535565889241546,93.29888715695894,94.1953918064509,29.439188237506155,7.810290762070029,8.992088930607162,12.66223843586494,39.4670735344799,82.03330433227771,89.24072485549894,capture_only,0.869620793624508,0.6911570130096725,0.27824107085239186,0.000914493612542045,6.988102894142587e-05,0.294878242522081,0.2331608142966554,0.0057110115908304395,0.0007036618766012023,6.630737731955004e-05,1.0010161461922542,1.071406532054138,3.9068313719307883,3.950754806913504,4.292326437368974,5.737144198253422,5.741065788722928,4.271072329793019,3.8138827771510235,3.8523215465912237,4.196106345739193,5.933578495766941,8.677025011922465,9.345735161863603,0.08478215849772812,0.0005487298500601857,0.0,0.0,0.014935429776506635,0.2661189851715251,1.8436651315410693,601,TrialState.COMPLETE
