label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00192,2.1628338209815303,0.9510309703998155,0.6179356933346163,0.4336816979654835,0.1498564928252921,0.035758952602971766,0.0031815307641423923,4.602022975987509e-07,266942.4740218762,48402514004624.984,5.036763221136727e+19,0.6436951183646822,1.931527907179251,0.9941590407696862,3.374211794951232,4.128039772040316,1.019885001592913,0.2997616990712164,3.00905741277932,1.104501474624977,85.79349892392969,1.137571556825211e+19,1.254140568444402e+19,8.94338162258237e+18,-0.14684445355605694,3.5526367935640826,3.6844001814863234,0.00011946810761772066,0.015710939261154726,0.015710939261154726,12.0,22,0,4.2934800659537927e-19,3.0660416617689563e-105,1.2255127179934642e-86,6.403648641507376e-105,2.088571959525424,9.318011959102946e-20,1.0092776580151297e-18,1.3193715691006345e-20,700.0,800.0,1.35,119.20488820601555,165.1338145173104,229.2764381072595,361.8256589379149,33.411389282085864,45.92892631129486,64.1426235899491,196.6918444206045,132.5492208306554,0.75,350.0,3.035325684904721,2.1911058010471014,1.5781196791300751,2.8,66.41754402735995,63.20755099450957,51.00669200333498,0.5693492019293478,0.03164793149082258,56.47152167118811,82.35337324750736,80.9945129628298,75.11043347045327,47.88395679383236,15.219658703168557,2.071179133636866,24.348807961011758,27.69635185846394,39.2066944253978,87.03948519377933,87.52170994839364,33.49132610036102,8.602795107007323,9.780269543461948,13.907858882535354,33.70386690185119,59.67554032328458,71.16492114376359,capture_only,1.235645064666605,0.9165968403579698,0.31412282267353153,0.0006443033609615971,5.01194574485358e-05,0.4283667949106929,0.31849367193706274,0.005769574068611347,0.00044723614804614186,3.9695235676337426e-05,1.0005255604522378,1.1288041973025933,7.998002946961686,8.179500306668519,9.472490748593707,12.390521300930358,12.446592000658097,9.769326143082877,8.615464850574606,8.90672382177118,10.871479624732316,18.406406730247845,25.104353737398814,26.76386002736389,0.0,0.09245872012258799,0.08738091572509013,0.0,0.1317983300638029,0.13370021043476987,1.737859211956819,192,TrialState.COMPLETE
capture_only_v5_codex_trial_00184,2.1658880534153475,0.9162843614166535,0.6245474722592941,0.4530926101922473,0.16532535021955982,0.018539371431716953,0.008787771794476784,4.5579295654601725e-07,265196.55480479967,46573564291001.57,5.102203497578617e+19,0.6357151184748123,1.7846440017610437,1.016590470864704,2.7743581226714906,3.4903939841348266,0.9823961803756527,0.2447951470801934,2.617584688879971,1.1106626268941278,82.55475993706975,1.1106718781993206e+19,1.2036341718195892e+19,9.085691220457252e+18,-0.12213653597607779,2.9478018045658514,3.5220405767394,9.398831459982443e-05,0.010333074001547737,0.010333074001547737,12.0,22,0,4.2934800659537927e-19,3.0858951957940157e-105,1.364332535320464e-86,7.1455384569415e-105,2.3155480026284296,9.439076470520442e-20,9.346872566912855e-19,1.3031989531585933e-20,700.0,800.0,1.35,113.69499536627842,157.13743504761612,217.23147103379458,329.1209787509217,31.140235429208673,43.4424396813377,60.094035986178454,171.9835437033056,111.88950771712715,0.75,350.0,2.8947710291964,2.0944784968088017,1.5150704324039703,2.8,68.85964553225824,66.03952128580042,55.16429929928446,0.9376512741950209,0.06045184118835585,59.96268648180006,82.83335856284008,81.60315903935582,76.11966947178533,50.38678302966949,18.671206264118656,2.990529788286104,21.06054392746224,24.02474353772548,34.09063841953692,84.63611615773858,85.44956579380975,29.055218446212344,7.4355573490348394,8.456185097043955,11.996037826131534,29.30203114254181,52.81634189242547,65.95454007739882,capture_only,1.4712243215665752,1.0985133518206596,0.3803283535508533,0.0008617284266164793,6.737917808932929e-05,0.5093118649972194,0.3807488143290518,0.006915803553871517,0.0005478955293199231,5.092617380318162e-05,1.0004545869548407,1.0829181637008989,8.60858621871292,8.83722182465345,10.364733927627764,14.425370839639804,14.489914985823832,10.658797809921218,9.22177222312786,9.559907049271168,11.751750051056302,20.304270024234846,28.511903947926562,31.05487920814127,0.0,0.11206089609629774,0.12377395598072528,0.0,0.10145601992707703,0.11901505373247617,1.4490598467805866,184,TrialState.COMPLETE
capture_only_v5_codex_trial_00188,2.1741015579764715,0.9293868847166855,0.6132381962799137,0.4375721229578821,0.14998592112535042,0.03253410582991623,0.0004915251356327476,4.710519412249621e-07,250232.53702119843,49208200757165.45,5.005662095765292e+19,0.6375424181566812,1.9407603488719019,1.1513000232070638,2.8077163230287705,3.7885537321921983,1.0315365643462409,0.3053375488463277,2.880328523507397,1.0340523397679346,85.79816279491205,1.0887281467522943e+19,1.1962899689027738e+19,8.628759854449442e+18,-0.14188807873494227,3.367388916062804,3.3796406122928,0.00011545581926232635,0.014538723978041911,0.014538723978041911,12.0,22,0,4.2934800659537927e-19,3.056560870051535e-105,1.0780379360792254e-86,5.626848711267456e-105,1.8409084426879365,9.26047487716579e-20,1.0129852116007814e-18,1.306672424867753e-20,700.0,800.0,1.35,119.01902316555682,164.94621309172925,229.28741025838258,359.6716316724509,33.22086037064477,45.92718992617243,64.34119716665333,194.72541858072168,130.38422141406835,0.75,350.0,3.021967599012669,2.1805388855604204,1.5686497190017505,2.8,66.61025915902428,63.493728702788324,51.678704199826335,0.6511918859086704,0.036524320074077424,56.830373809823264,81.71097702504508,80.33437866451811,74.3347562173334,46.94736531341601,14.827950632851179,2.0306129960727075,23.032775835074748,26.28117625056017,37.246615553056444,85.0142813004726,85.56561243765844,31.800498538627618,8.14223937729497,9.276920077674756,13.187245668495786,31.831037745263487,56.14567582533725,66.9943630636157,capture_only,1.4427397294521327,1.0726876271936567,0.36731593770765375,0.0007689234543806474,5.966175713010501e-05,0.5012964969048126,0.3733769664952195,0.006694865515884928,0.000515031400409462,4.567509517208607e-05,1.0004300219599993,1.1187667100884882,8.91422527644885,9.152407419457864,10.707364309409547,14.333757890164355,14.397803580510374,11.055435135027741,9.645487100755135,10.015324291311924,12.349087475052569,21.21490207580462,29.025858510411148,30.974978265216425,0.0,0.10661400835804374,0.12763125733730055,0.0,0.12758662407634372,0.12663179900048338,1.5556195599615066,188,TrialState.COMPLETE
capture_only_v5_codex_trial_00145,2.1877012635318596,0.8923872534570735,0.6722524251848881,0.4844612651146627,0.17730441764816637,0.0,0.02517093702317852,8.834277919317177e-07,275883.70141275943,51852247148157.28,4.7184468491741045e+19,1.5198249532825554,2.339215338384887,1.4908521316500662,1.9888058117061278,3.5691421113486363,0.6721222653488637,0.4304189790116796,2.8102324806180317,0.8816126603653461,79.7457990422412,1.3229096907315317e+19,1.398360426896654e+19,1.157202434964308e+19,-0.08220978627321296,2.939873550685564,2.8315429856682273,0.0001616120213756701,0.01649752785179882,0.01649752785179882,12.0,22,0,4.2934800659537927e-19,2.9675757800289203e-105,1.2453011174806111e-86,6.433714643812122e-105,2.168003488608275,8.729126670972094e-20,1.2085305125273121e-18,3.1129807799380006e-20,700.0,800.0,1.35,106.30128939329332,138.64497644793767,169.60469457160963,196.7027705423382,26.555490351052114,32.34368705464435,30.959718123671962,58.05779409440052,27.09807597072856,0.75,350.0,1.8504269483936138,1.4187515161517712,1.1597719688076638,2.8,66.61190906413353,63.33262920600003,51.40130134804055,0.6667885678772586,0.05224850644680124,56.2596423157992,80.62089094837,79.14018102838678,72.66149460910609,43.853241647010314,10.817071518052293,1.400837634391723,21.70805512156766,25.005904636768783,35.646811130741675,82.21223062655868,82.8640274263294,30.404413967752205,7.73059049489154,8.803976628832006,12.552768954039815,30.637013524157677,54.14149601893505,61.75372700806059,capture_only,1.4546226244100025,1.0745874319557762,0.3606254555759985,0.0007323038902693972,5.445288590524797e-05,0.5073087629120603,0.3746761596793708,0.006420181998317594,0.0005017148784642882,4.249693358292638e-05,1.0001550937423438,1.0167235110949389,10.225413189888839,10.586878725275424,12.591262065641772,17.120248501673814,17.083669614337875,13.02952964443019,11.141209793826395,11.68116618310185,14.659385337272587,25.5033246468337,35.040930748134215,36.84539286061411,0.043354829657710425,0.12245827177574335,0.18867358264539807,0.0,0.004955493836246056,0.1286217245469247,1.3072557500779587,145,TrialState.COMPLETE
capture_only_v5_codex_trial_00180,2.1904131632854273,0.92710163786146,0.6241547312319491,0.4583558482545716,0.16836001845007703,0.01690971633693713,0.005915769064202993,4.4772963480663524e-07,260911.89648258698,46054412435791.05,4.9323539600047284e+19,0.5958313457819686,2.020571573248213,1.061548149514305,2.892724411805609,3.407288239677953,0.9681429224386159,0.3192750507787165,2.511797060332046,1.1470869884638397,82.01493324283219,1.0869689324387367e+19,1.1727268417973537e+19,8.990192286094018e+18,-0.11542788484582753,2.8046622538129453,3.59194863692245,0.00011858089728499632,0.012939129790514847,0.012939129790514847,12.0,22,0,4.2934800659537927e-19,3.0340965866784597e-105,1.373943706344705e-86,7.152703600884045e-105,2.3574409701684482,9.124854826008748e-20,1.05190259987191e-18,1.2209886812961597e-20,700.0,800.0,1.35,112.71279068826777,155.49025476226726,214.36021381939662,319.8926717993927,30.697857445435588,42.77746407399948,58.869959057129364,164.40241703712545,105.53245797999608,0.75,350.0,2.838122185122067,2.057316532720872,1.492313643934455,2.8,69.69469820059277,66.92046636815505,56.17239278471477,1.0418346514556196,0.06289511320479875,60.77900538085604,82.9741945422665,81.74639468236279,76.23676180307608,50.648837840792396,18.482596979766395,2.9672338214038643,20.106802935668746,22.980476136399428,32.7499176138335,83.73902944217213,84.6500892397148,27.89591769316601,7.093630701137546,8.079267042420252,11.50045384715307,28.19534589006487,51.505892236104906,64.29641632937202,capture_only,1.3458981285014766,0.9965267734344234,0.34034907489258576,0.0007865117454873832,6.152974689597106e-05,0.46533606143240935,0.34490409272066824,0.006142224972766298,0.0004930672736593928,4.5880823913088865e-05,1.0004521078508313,1.0764782007480926,8.852600735237022,9.102530722011101,10.737340526559123,15.218349394626749,15.2869541173335,11.035755127958277,9.466838695163535,9.829434182496303,12.144439462023206,21.149674044169974,30.011017716855047,32.736303968400215,0.0,0.1176399932766998,0.13903007136930506,0.0,0.09157231880620162,0.12405531706075579,1.4119404984848483,180,TrialState.COMPLETE
capture_only_v5_codex_trial_00181,2.19300438843924,0.9280661100999552,0.6253689915873697,0.45909662266819,0.1695608206000045,0.01652944502962856,0.00755134447262361,4.5129059229085903e-07,268487.3133403944,44962138375322.7,4.913813394984755e+19,0.5901219809934137,2.0190844108281887,1.0431180258422645,2.732235422315274,3.368653729921475,0.962929639750098,0.317009869764969,2.505797947694393,1.133561406070604,81.80217508509918,1.0928558599246086e+19,1.178397717847303e+19,9.053438697127777e+18,-0.11447832752436171,2.7975239979263415,3.549481097807246,0.00011638582852131409,0.012750118576243186,0.012750118576243186,12.0,22,0,4.2934800659537927e-19,3.0283886803499518e-105,1.3757179579514437e-86,7.157221574797215e-105,2.363376148259195,9.090554780721798e-20,1.0504358413722392e-18,1.2092398753975989e-20,700.0,800.0,1.35,112.376815201508,154.78592979588146,212.5835260554364,314.4127953039782,30.574640116408816,42.40911459437346,57.79759625955495,159.62686550809676,101.8292692485418,0.75,350.0,2.797843974668532,2.031275037198789,1.4790082803593507,2.8,69.62506360376997,66.82549119605072,56.0393607659152,1.0305723139049865,0.06358851930056177,60.63812378639163,82.86589388704851,81.6212196316759,76.06490531341122,50.35293994468618,18.322988538868515,2.931320526212856,20.047535718419837,22.945823911170883,32.7369018338005,83.56607885571125,84.46689872501426,27.885313598464272,7.074760334293351,8.069304830085448,11.498561599565804,28.193331671998084,51.28439176245956,63.92751438413606,capture_only,1.3686063293222739,1.0128134772244655,0.3453514812644194,0.0007972830422829987,6.246396747024618e-05,0.4746635641445336,0.3516883553206687,0.006247753107186038,0.0005007013088141835,4.649452388009911e-05,1.0004063132980743,1.0760899273614442,8.958794348487931,9.215871415553933,10.878385919019896,15.402551547341458,15.46945029171771,11.1827358331928,9.584682214513588,9.957787182917997,12.316009614177418,21.44748063020856,30.3921189973631,33.14111859512722,0.0,0.11893953978431722,0.14301515417459268,0.0,0.08613645734659223,0.12146144190396624,1.3934441278667429,181,TrialState.COMPLETE
capture_only_v5_codex_trial_00195,2.1991812097110017,0.980151890740875,0.5982831655330927,0.42452472826791976,0.13152366599075094,0.0429878299064596,0.016057497776222444,4.5358520510295706e-07,267643.70705744775,44087381007767.39,5.188328934764534e+19,0.7030597750417333,1.9225087578288995,0.924891291598677,3.288066551570437,4.395449924372997,1.0529791960125061,0.25594765241581224,3.1045897087595953,1.1111862363000602,89.60766732515306,1.0301016637043081e+19,1.143614196191616e+19,7.938430157475009e+18,-0.1585449096086555,3.7235050235335554,3.721995297019911,0.00010594762785654665,0.014007186326473325,0.014007186326473325,12.0,22,0,4.2934800659537927e-19,3.1118312321169153e-105,1.1838061895984418e-86,6.218913819723311e-105,1.9984740031973747,9.598408529314388e-20,1.0099555474242619e-18,1.4415193302796607e-20,700.0,800.0,1.35,125.34710136566967,175.6517409614828,250.22171050643252,418.7373675380418,35.73943404051661,50.30463959581313,74.56996954494971,243.08562657655898,168.51565703160927,0.75,350.0,3.340622662796784,2.383906730704498,1.6734653707327973,2.8,66.19158146928018,63.00921669628958,50.8491788827764,0.5647230160579689,0.032806758081854764,56.37044746408841,82.36214169830428,81.02174612461764,75.20125411641433,48.24283663982223,15.958305627814731,2.2250262903204496,24.70474138476585,28.02949585667608,39.545005384619465,87.32052899953273,87.76417380155911,33.78394440986252,8.7274721177532,9.903429656336279,14.04088201345932,33.793578784672775,59.5609614683592,71.60009517799084,capture_only,1.2187743255152628,0.9100805792706478,0.31605486112723896,0.0006527690584130021,5.083076314561188e-05,0.42157041735164513,0.3154179183575356,0.005814791361868525,0.0004497611822779255,4.025088851942366e-05,1.0005513952695733,1.1498108655101296,7.8849028204387075,8.051206867763701,9.289760871476895,12.11409521535091,12.202968609595915,9.577279851431031,8.488815766590891,8.759406300688557,10.647379576682363,17.95776978414315,24.480283142643785,26.174838280800206,0.0,0.09241951871186246,0.08141034143930129,0.0,0.17953677610199043,0.13512521039587666,1.820292015290295,195,TrialState.COMPLETE
capture_only_v5_codex_trial_00196,2.2015872737923767,1.0101334656703904,0.5990285873252164,0.4233074478750751,0.1288331080556363,0.047338570558564504,0.01496837672904198,4.5661010410749914e-07,268516.05698113533,44444786436573.21,5.175333976323683e+19,0.7035028068743835,1.7352728406757676,0.7948401926600341,3.5712728157839946,4.473244928784405,1.0286005746560873,0.22907614684772584,3.199730594144866,1.1517732490607402,90.20560190013562,1.040696941953177e+19,1.156615127460366e+19,8.000399510758365e+18,-0.16007719356131472,3.8719620493623728,3.9176791480387787,9.67020177361938e-05,0.013322933857660759,0.013322933857660759,12.0,22,0,4.2934800659537927e-19,3.1079317617230996e-105,1.1844123054819793e-86,6.219250534066551e-105,2.0010897956840834,9.574367856198815e-20,9.111773401182506e-19,1.4423877376019157e-20,700.0,800.0,1.35,126.26043539390363,176.56196939505537,250.59985528346516,418.1347120532547,36.054833493768015,50.30153400115174,74.03788588840979,241.57274265819933,167.53485676978954,0.75,350.0,3.3116843827503857,2.368203716156355,1.668535329281348,2.8,66.03109029145931,62.81170141980872,50.4021989042629,0.5185864029241452,0.031071946528387052,56.13512184859829,82.83426940830549,81.51086130402828,75.78099132316994,48.9954532326789,16.394782699652854,2.2842566377076223,25.596029884677655,28.9757590708793,40.884009811054284,88.6869403744949,89.09967057021646,34.9489963124373,9.041525973234606,10.24260469724363,14.53508784946333,35.0735668107814,62.011340284700246,74.63908599525513,capture_only,1.165937137233243,0.8681339081632147,0.3010917552404872,0.0006170995056688577,4.8060991964514115e-05,0.40457835576956747,0.3019146311526315,0.00558409183078333,0.00043348044276980864,3.8886046532525934e-05,1.000659459796667,1.16227073216075,7.206942686629796,7.344405601148781,8.412699529442332,10.793856123075276,10.869209422263197,8.65961684828948,7.719626262690345,7.944619367575469,9.578248276674461,15.925395864708923,21.593443535204113,23.076618480990735,0.0,0.08344808113132995,0.05295353070754847,0.0,0.17795470825158263,0.13653426244923927,1.946612049785815,196,TrialState.COMPLETE
capture_only_v5_codex_trial_00194,2.2064417918467765,1.0168614258268467,0.6139071092301275,0.42998406592310623,0.13765505840750197,0.04264722072305646,0.003490972971626721,4.3784105846472254e-07,265479.52591360465,48243224055064.516,5.0403532794647e+19,0.7027290320705321,2.025885767422471,0.9474108751271949,3.4844228533536037,4.297533467105076,0.9779606485354418,0.2614479554065867,3.2505275189289087,1.0929182213326287,88.43493870081366,1.1220019209281083e+19,1.2421964460754774e+19,8.763166972402608e+18,-0.15152919562413011,3.9174529487471346,3.755422258766679,0.00010771136465367356,0.015252831888293768,0.015252831888293768,12.0,22,0,4.2934800659537927e-19,3.067134159788228e-105,1.1911047649664084e-86,6.224648494378479e-105,2.029467304034807,9.324653567009696e-20,1.0587168453082894e-18,1.440383620098478e-20,700.0,800.0,1.35,122.80170332063315,168.78806148956548,231.5327801733066,361.58319960179756,34.36676461981949,45.98635816893233,62.74471868374113,192.79513811223208,130.05041942849095,0.75,350.0,2.9444477545861885,2.1422320773803705,1.5616933348752855,2.8,64.83280193883043,61.44414025722048,48.59452810355455,0.44655594072493815,0.026090197385107577,54.38604669935747,81.8569729846929,80.43324561676772,74.3014469510002,46.21195929997835,13.752352295193198,1.7605178834357242,26.15385647933021,29.68090077140977,41.88912950326576,87.83852536125966,88.21456705448979,35.83627226549791,9.247776553348901,10.500596272822833,14.928437015709683,35.935804333518924,62.3549976833478,72.96933438382023,capture_only,1.1599240820466075,0.859445603878508,0.29429672009115526,0.0005702658004618088,4.434135677053582e-05,0.4013622011758887,0.29805766103803666,0.005392485991050326,0.00041007915624456724,3.571598175389846e-05,1.000552379738196,1.1513123765240711,7.853417499792762,8.015513367491256,9.222045673088555,11.71434843221496,11.75929840676834,9.527648689472338,8.493888260782333,8.768100449371412,10.667003524064548,17.846843880511678,23.892239942302773,25.270112016762337,0.0,0.08958428031221094,0.07490658332133494,0.0,0.12717827851043537,0.13876052423081608,1.9118649873689677,194,TrialState.COMPLETE
capture_only_v5_codex_trial_00197,2.2102777158520945,1.0335512469495618,0.6070755878429898,0.42761998294177145,0.13083453852601218,0.04988100365621577,0.019838516176796092,4.356070932718259e-07,267696.1060947623,46216253292848.33,5.2336963318257164e+19,0.7099803344434,1.6545287209053319,0.8082566412960674,3.476824737421225,4.436629262537789,0.9772655449758674,0.21660507261505452,3.2867906909073366,1.1092641055810897,89.8361104124614,1.0822575351609813e+19,1.1998234174022048e+19,8.405951805290078e+18,-0.15453043828068525,4.008335892268248,3.8355864031420412,9.210146754573857e-05,0.012949564003552981,0.012949564003552981,12.0,22,0,4.2934800659537927e-19,3.1254067409523744e-105,1.1907898953596255e-86,6.265595729319733e-105,2.0047297035682723,9.682338213877576e-20,8.705656747793037e-19,1.4558493150179465e-20,700.0,800.0,1.35,125.1167697982962,172.6820109266829,239.02481700418312,380.34943500622114,35.28065938583481,47.56524112838669,66.34280607750023,207.66742407953825,141.32461800203802,0.75,350.0,3.039955679957145,2.2026002185468494,1.5912549992646359,2.8,64.84830138626802,61.541168582226035,48.84469380938636,0.4492648106637451,0.02774275762292914,54.74910339843194,82.33513330546134,80.9712505031741,75.0880150914829,47.606564253540725,15.074025892220826,2.0001407175393267,26.63874386859194,30.128278098740587,42.380376477130156,88.88201032189423,89.25085094005047,36.262085044791625,9.41783335906459,10.664131618145564,15.11117408287944,36.367023804851286,63.459407731531634,75.19876710838894,capture_only,1.2492436245469394,0.9328274438377637,0.3246213981880874,0.0006407689293992766,4.99380359543931e-05,0.43318325188477086,0.3242299955849822,0.006016583062720287,0.0004612336643159048,4.07261013918081e-05,1.0007484291432245,1.1704871770996534,7.263711120593099,7.397725875195639,8.450308315295405,10.668084098512614,10.72135636429066,8.711837558379054,7.813850083589314,8.04038788309536,9.686823422520456,16.020395358545283,21.466105142583235,22.80105144797036,0.0,0.08380425136756077,0.05134269856902358,0.0,0.1417595892990288,0.13413658538511655,1.9689472516459066,197,TrialState.COMPLETE
