block,component,n,min,p10,median,p90,max
C3_trapping_escape,score_total,200,2.1628338209815303,2.237264390755526,2.6831484373113064,4.44530583987221,6.043475749358972
C3_trapping_escape,score_swd,200,0.8572652319446094,0.9162843614166535,1.181973018564018,2.2519340494530793,3.925803132813556
C3_trapping_escape,score_Rd,200,0.023255572337692362,0.046453449727282936,0.1483654563404727,0.4054238110623003,1.2226822417138734
C3_trapping_escape,score_Nd,200,0.27528627828397945,0.5662695281078748,0.6342670654355593,0.7007093886203385,0.9540424683796155
C3_trapping_escape,score_Nd_drop,200,0.0,0.3543121598614306,0.4871939008553855,0.5437209158856259,0.5491991941774881
C3_trapping_escape,score_pressure,200,0.0,0.0,0.005315448797360055,0.2583810892348634,0.7705381431217602
C3_trapping_escape,score_partition,200,0.07580973942174171,0.1176399932766998,0.20979684596845544,0.44818232301242505,0.6443255840750262
C3_trapping_escape,score_qgb,200,0.004616294003839696,0.081991172407724,0.23888713120005634,0.5324792378390311,1.4033200598982325
C3_trapping_escape,score_radius_guard,200,0.0,0.0,0.0,0.015722367476753984,1.5975131094022395
C3_trapping_escape,score_radius_saturation,200,0.0,0.001057041355104425,0.0184164249307299,0.4451412880479298,3.201827253543131
C3_trapping_escape,score_rizk_prior,200,0.08129588832207382,0.09780474775407474,0.1308322996485963,0.20606709790553282,0.2567140911086105
