label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00235,2.066599783378614,0.8772382386068517,0.6940275861314871,0.5138023229002527,0.17555165937607708,0.0,0.09614200147089355,1.993969189819268e-07,342760.6989361754,41601737476633.95,6.238957192514514e+19,2.801701305865983,0.40168009178579156,0.42110330236244276,3.831973007277322,3.8107234638031047,0.36201642259066646,0.2377240013854942,2.8469388843848997,1.364166872909071,79.23357006050924,1.3663496856479787e+19,1.4059940933887037e+19,1.2677220422266063e+19,-0.04495945461743682,2.895198373734773,4.489833228322169,0.00014079886264779906,0.01097337028989941,0.01097337028989941,12.0,22,0,4.2934800659537927e-19,3.412387065874645e-105,2.4897430528774e-86,1.3563341227419617e-104,3.9747370288262225,1.154207080615185e-19,2.188227473054104e-19,5.756738147703536e-20,700.0,800.0,1.35,104.29250277778735,134.2868208234258,159.58027446286448,176.4586131926965,25.05893271727811,29.994318045638465,25.293453639438667,42.17179236927069,16.878338729832024,0.75,350.0,1.6919587553543627,1.3140426745579339,1.1057670741991343,2.8,68.07418282332064,65.91751498317142,56.647765407079056,0.8800875582007976,0.06939941678889111,62.125704355628955,84.95362447685358,84.23344716186374,80.34507790498753,57.078018580716545,21.478461743350113,3.9509736626425265,23.33742741356354,26.09405186478383,36.123082092953624,90.72380847428059,91.55394563857384,30.68317780797852,8.238735758050389,9.085847599027964,12.544345367595787,32.10049415446627,63.11699884392356,79.13459035844542,capture_only,3.0298447113527636,2.3474947652361857,0.8856277226395507,0.0021431121164751793,0.00015933901686028459,1.044875025792044,0.8099630743014417,0.016805030459290916,0.001520271347090386,0.0001452962863293438,1.0004634544764985,1.0058896807157052,5.558545051763065,5.64093838680857,6.343524777327785,8.393960855402147,8.376495605620432,6.441563579677612,5.762764739304021,5.8707421648068605,6.804245156732723,10.80468223435789,15.403019141379232,16.91429068262574,0.13138973831022996,0.06770154221171547,0.002548916854807576,0.0,0.0,0.16936864896263382,1.937472150540154,235,TrialState.COMPLETE
capture_only_v5_codex_trial_00232,2.0723461789579805,0.8633042856925496,0.7009500982029414,0.5153771761206472,0.18807123185013544,0.0,0.10205140571739058,2.176220121755353e-07,347479.66414994124,42227918895194.29,6.32443029081289e+19,2.908339549228075,0.4064903395034784,0.41806998923055827,3.94672845263979,3.723293662035185,0.3742399049150741,0.19389183514482589,2.6531175403003826,1.3941956445099968,76.61599268382442,1.4083467071933264e+19,1.4466329913644823e+19,1.3104224553114266e+19,-0.04294703870835843,2.6840559457371342,4.522037419984351,0.00011543781466171923,0.008406678208658421,0.008406678208658421,12.0,22,0,4.2934800659537927e-19,3.4356822350507702e-105,1.979435299141996e-86,1.0814644103162058e-104,3.147742824651025,1.1700196038003847e-19,2.220859835635518e-19,5.976837852154561e-20,700.0,800.0,1.35,100.82936226821101,130.5301976278287,156.59536932802988,174.1949963883193,24.213369584386598,29.700835359617685,26.065171700201176,43.66479876049061,17.599627060289436,0.75,350.0,1.7276217211902236,1.3345187516300931,1.1123891921952203,2.8,69.16410845667555,67.12285370609276,58.25337932716563,1.0404848462691285,0.08256260623096272,63.53897690729124,85.41652133290454,84.75090853845232,81.03501640803161,58.63206389312947,24.235223338418773,4.849573988833681,22.471503178608224,25.076537918628237,34.6476642681608,90.56309924149647,91.53699563747846,29.40322044230312,7.927577876642816,8.711923331271226,12.006601861220307,30.770028044712163,60.60652187343561,78.30053510412051,capture_only,2.8879031657771255,2.243972997646869,0.8519706850215217,0.0021441249260395526,0.0001597433368531207,0.9960466060196412,0.7742522532532605,0.01621104070521447,0.0014614102990524727,0.00014373558851940924,1.000789710511663,1.0032548546623037,5.476485198939109,5.55663537763215,6.246985719652051,8.394271787308375,8.38028201295379,6.335681813977099,5.659854184432987,5.762915877023209,6.663846773958636,10.581697021453142,15.156793377846546,16.84974717145729,0.127570882110338,0.07484418537928349,0.0009916483920529412,0.0,0.0,0.1700961265558275,1.8482318320053992,232,TrialState.COMPLETE
capture_only_v5_codex_trial_00249,2.0758241061325178,0.8628584841095134,0.7068203217436072,0.5293612962655949,0.18191371662394282,0.0,0.09215467511396816,1.9384301636999408e-07,329506.9179026951,43419639707833.33,6.18193848873409e+19,2.9323008867657285,0.40035733382609245,0.5021118581876779,3.9765977397954195,3.996502152259293,0.21207738320973774,0.26074399044144503,2.797359304778942,1.327600370691463,78.20931668562764,1.3959959838432913e+19,1.4188769239830567e+19,1.3388891473616849e+19,-0.025200104269885924,2.8462933330747857,4.342195618679569,0.00015201053978883923,0.011556931449678759,0.011556931449678759,12.0,22,0,4.2934800659537927e-19,3.396758133448767e-105,2.668915590749398e-86,1.4511264209118525e-104,4.2720922829984,1.1436586204158066e-19,2.1767983481176353e-19,6.024417331052701e-20,700.0,800.0,1.35,101.6931419926248,128.09634685824705,147.95681412183998,159.23656162730364,23.48382530699716,26.403204865622243,19.860467263592938,31.1402147690566,11.27974750546366,0.75,350.0,1.5658534932360741,1.2430999441655954,1.0762367557885841,2.8,67.78236964039365,65.6916074656796,56.58938310047549,0.8978982842580859,0.07078622668011833,62.011130996040144,84.68401584358581,83.97663769126689,80.06432500928278,56.57917928551535,16.84877138628662,3.251595037873775,23.191638950545226,25.93151918593326,35.866670488012176,90.3402601790405,91.19267473080576,30.476467695181498,8.191834157629433,9.031890853295613,12.477493169294878,31.965955799114,67.04224039665226,78.92750803996034,capture_only,3.2829988203912266,2.542366158264552,0.955051864305934,0.002267441599474268,0.00016808657327710205,1.1314747919312047,0.8766600479367678,0.018036151699680328,0.0017217192069870608,0.00015533297438753273,1.000595188741992,1.0048608547865494,5.742992588669903,5.834507190122579,6.58889454720638,8.759574095101973,8.736370955940842,6.704063229302795,5.992675206853576,6.114811407500772,7.12791591653237,11.436828763670972,16.107266497854148,17.820741589191506,0.1650616661551589,0.0587089817889198,0.007002968220034103,0.0,0.0,0.16756244019920394,1.8577335551452299,249,TrialState.COMPLETE
capture_only_v5_codex_trial_00237,2.0786292083264484,0.8633095112216587,0.7063392193115279,0.5155549587022557,0.19052759230735222,0.0,0.10829010910103642,1.8805968972203276e-07,349732.74510361906,43007143997407.88,6.415937333980557e+19,2.429999806646604,0.40258560785473735,0.468668019967896,3.9663234211406326,3.8452273289526806,0.36611849470086905,0.23557092932245002,2.705395402753207,1.3588137147503185,76.4804630553057,1.4437453956091806e+19,1.48374958889052e+19,1.3446732793773093e+19,-0.04274383673483298,2.7536514817175712,4.433986718947475,0.00013997428166320576,0.010394403628048415,0.010394403628048415,12.0,22,0,4.2934800659537927e-19,3.4604481073647367e-105,2.4856289182631226e-86,1.362231149631563e-104,3.936574418591568,1.1869484067864032e-19,2.2063416280025216e-19,4.9946934746374434e-20,700.0,800.0,1.35,100.4580551733072,129.29769091015126,153.82816391549548,170.03360136901853,23.977592118001496,28.83963573684406,24.53047300534422,40.73591045886727,16.205437453523047,0.75,350.0,1.692583049469569,1.3150552045602621,1.1053476622293001,2.8,68.11408606917794,66.05434267569316,57.11725162270058,0.946134560661746,0.07481418528258536,62.492732770702666,84.85664941457811,84.16441823542232,80.36200707189782,57.33226277296299,21.78491499856944,4.111511233962198,23.011814302341325,25.69374199393207,35.43751935094706,90.37645543226452,91.26795429053233,30.101341142008728,8.126674615800134,8.95243235989971,12.314654871366606,31.46006515192835,62.2191711652097,78.23620181975997,capture_only,3.1849013818145706,2.481012403111646,0.9465595409240704,0.002312719704241584,0.00017197919443097883,1.0977749957918561,0.8556225033387005,0.018010047068677926,0.0016303687954152956,0.00015602379712322586,1.0006485994926986,1.0058922908465593,5.689198246666175,5.770902927263121,6.498669485428269,8.675097287369509,8.657059544990641,6.604727210734857,5.9189009738298966,6.02752690133928,6.996082173642533,11.18966202803999,15.994283467425479,17.6521309224807,0.12341385044834136,0.07093728226594107,0.006288400793828693,0.0,0.0,0.16583451402001906,1.83408893298946,237,TrialState.COMPLETE
capture_only_v5_codex_trial_00233,2.078777671956573,0.8821157832650944,0.7038761376237372,0.5139850023172027,0.1784582836307702,0.0,0.10294216002319181,1.9474632761577115e-07,336236.67144114856,44473049785821.98,6.337415246814115e+19,2.8674558664064516,0.40487518490086827,0.4217515574073923,3.976062406982411,3.728700732448701,0.35348422243141303,0.19322259928531527,2.927108170375696,1.3564575946923354,78.71925173728849,1.4325417596340836e+19,1.4742125969527521e+19,1.3299466498551548e+19,-0.044725898058286105,2.9814153611953387,4.521499728611145,0.00011768842051953377,0.00928541151007843,0.00928541151007843,12.0,22,0,4.2934800659537927e-19,3.439207399001683e-105,2.4784984933064133e-86,1.3547229590534484e-104,3.9390557238469857,1.1724218206606113e-19,2.2130080369930117e-19,5.89296632553333e-20,700.0,800.0,1.35,103.38086917338283,132.29105299533597,155.69888432034307,170.85095383455973,24.661617436094346,28.91018382195314,23.407831325007095,38.55990083922376,15.152069514216663,0.75,350.0,1.6526360747462958,1.2914777678924607,1.0973164938230515,2.8,67.22936286157218,65.01976534617218,55.498673441208076,0.7903864984150433,0.06232834451987281,61.146271043394684,84.67389337493681,83.94063265634124,79.97033510209171,56.22832693296802,21.00239520108765,3.696051369546173,24.284557652710543,27.08201560027907,37.35915303990534,91.02938409558004,91.77803867729018,31.744138271209216,8.574306106657685,9.434434804091607,12.988192459975558,33.118491287453324,64.05947807643615,79.96461113432227,capture_only,2.9718984924620995,2.308071600120714,0.8757088693517013,0.0020721948453871456,0.0001538404879402,1.0259474233930186,0.7972280246902168,0.01666265591802613,0.001478468762688405,0.00014036470480119234,1.0006859597954394,1.0062798067503598,5.514180993255151,5.590147453428063,6.26646464953489,8.178157211159526,8.15947913770201,6.367003889344996,5.7258530950124715,5.827704514876947,6.738161060700888,10.636519123660626,14.93664825371352,16.339197131426733,0.13266469281949114,0.06609950477877247,0.0,0.0,0.0,0.17080347599394397,1.99254136555099,233,TrialState.COMPLETE
capture_only_v5_codex_trial_00246,2.079315250228208,0.8668212162872242,0.7132655024894824,0.5277348832671562,0.18488590329578766,0.0,0.09153213786125367,1.9448116921076698e-07,338653.30254034634,43848809421585.76,6.1730833681103266e+19,2.9118843293903347,0.40265654404921436,0.4551879760699786,3.971869763896842,3.832062102254012,0.22595598903019734,0.26396196019708756,2.8332985329745815,1.347773809724553,77.6250670727678,1.44609812202864e+19,1.4716955576294408e+19,1.382159228440532e+19,-0.027259901137841665,2.880221216260766,4.449109165758837,0.00015498117830124315,0.012089427988214366,0.012089427988214366,12.0,22,0,4.2934800659537927e-19,3.3943244727048596e-105,2.8057853987529918e-86,1.525084790710303e-104,4.493043617291536,1.1420204231004105e-19,2.18863984210038e-19,5.98236824331148e-20,700.0,800.0,1.35,101.05954315579515,127.28142096108562,146.71178358984167,157.73789295824207,23.43447608302735,26.22187780529046,19.430362628756058,30.456471997156456,11.026109368400398,0.75,350.0,1.5608411440676175,1.2392845064675078,1.07515489961751,2.8,67.64135656656255,65.47409811045594,56.107258933209124,0.8333783627740162,0.06552541271354707,61.63391418654633,84.73728074901541,84.01520398918339,80.05412156604017,56.333020151950684,16.608227753086815,3.095570680836754,23.640354993791764,26.425908720971968,36.57516722526836,90.71653148319643,91.50926119076837,31.07610551821127,8.348686756790388,9.199673210146477,12.715088488997237,32.64035134852458,67.90964732067113,79.90657926074316,capture_only,3.102967594453725,2.399361584959805,0.8998522251479637,0.0021273987384200733,0.00015766987641063922,1.072467875844653,0.8299670286668832,0.0170907267887181,0.0016243734110626283,0.00014637631005507716,1.0007666789163197,1.0048210882809363,5.615320845191967,5.700631583612298,6.417721616374599,8.447962755291115,8.425055726641665,6.524483433796415,5.841564618349567,5.955155772003285,6.91824339601793,11.009537772736033,15.480500552831012,16.997703682110018,0.16532424272016552,0.055923190038460455,0.0030389523278321322,0.0,0.0,0.16921604621910255,1.9139743971945213,246,TrialState.COMPLETE
capture_only_v5_codex_trial_00230,2.079617057599822,0.8631789510918004,0.7068761242995315,0.5168934489262872,0.19224867445042268,0.0,0.1048008087530435,2.1355416397170128e-07,354576.906680409,42325989958653.83,6.364595583251148e+19,2.7101003767415626,0.40070254581814546,0.4195180797544101,3.933683999865888,3.7363085932577977,0.35897529570463926,0.18987671009111753,2.6481396328225366,1.3869508175009198,75.95065113988692,1.442971545991571e+19,1.4806762687328973e+19,1.3472037510369313e+19,-0.04102683249759315,2.6817384903138315,4.508369358517996,0.00011265543100119662,0.008238106389563049,0.008238106389563049,12.0,22,0,4.2934800659537927e-19,3.446574661153225e-105,1.9586046358474026e-86,1.0715389347805686e-104,3.108996729007551,1.1774501829014624e-19,2.192215678709801e-19,5.569872747608036e-20,700.0,800.0,1.35,99.81733558649636,128.7518688317164,153.57696554675437,169.8939695961789,23.86668444660944,28.934533245220038,24.825096715037972,41.1421007644625,16.317004049424526,0.75,350.0,1.7020487332980139,1.3195456589312642,1.1062464282409399,2.8,68.95819715415215,66.90318970778608,58.00958368095074,1.0141861343667073,0.0803957389764468,63.327264262881535,85.33519325105107,84.66242564506898,80.93735497812476,58.39245787793181,23.825927688801393,4.7366262558109415,22.611359105999156,25.24166139587298,34.865744633212444,90.60727280290232,91.55858555590503,29.591824899818302,7.978598945227517,8.774360891792822,12.086796628157149,30.999314887266024,61.05668206217957,78.454147124012,capture_only,2.94531832270171,2.2910991324884677,0.8721134189957684,0.0021798363260145392,0.00016225695445757553,1.0140625147068882,0.7891021108291487,0.01657292648036618,0.0014965421676531594,0.0001465863504766889,1.0007945551344872,1.003735975056056,5.485125417147002,5.564049763852463,6.252558266841061,8.376361226404986,8.360856448164077,6.3424393476923795,5.672145289014548,5.774111352309056,6.674924872140707,10.591654308321797,15.115893706851384,16.809080033826575,0.1279693179095491,0.07348537479991916,0.0007329761602604714,0.0,0.0,0.17052807030012554,1.8362316039959188,230,TrialState.COMPLETE
capture_only_v5_codex_trial_00229,2.079620057490352,0.8648315391461708,0.7034425624571131,0.5168139506875985,0.1910923382147689,0.0,0.10432940613987422,2.193650606760447e-07,352036.69637932174,41950435054690.43,6.357690915149311e+19,2.6951385726424313,0.4019637328608267,0.4193491832427983,3.925595345253663,3.749923898278272,0.36219954317910363,0.18805544254007903,2.6267717383443583,1.3901082499197879,76.15404245412681,1.4198904573692125e+19,1.4570382330157746e+19,1.3253821760338303e+19,-0.04112982207794923,2.659175647554596,4.501382666731736,0.00011108757971292479,0.008062519010716111,0.008062519010716111,12.0,22,0,4.2934800659537927e-19,3.444704635672687e-105,2.461291953628761e-86,1.3462412635623952e-104,3.9081471590364645,1.1761728193026226e-19,2.1986020912106595e-19,5.539049415812132e-20,700.0,800.0,1.35,100.12726284027143,129.3818183381634,154.85741161024572,171.8183633936593,23.973220386144618,29.254555497891985,25.475593272082307,42.436545055495884,16.960951783413577,0.75,350.0,1.7159998038471649,1.3279946564406762,1.1095262513240367,2.8,69.2403450348097,67.20375374221207,58.38922958676078,1.0555256117309537,0.08375381225161577,63.651826800793366,85.4427992666769,84.7753161197292,81.08290916843795,58.73550993231115,24.39432473829379,4.943207603073446,22.365848506449904,24.971661973496097,34.50292685728669,90.5398231082198,91.52803814894568,29.28207661214281,7.890892846231286,8.679492610336755,11.957746705667962,30.671314566762096,60.47353854066501,78.18589031025758,capture_only,2.9174240236936173,2.268622551195536,0.8621092089525434,0.0021796369692856058,0.00016242613844464325,1.006821810107264,0.7834394577167588,0.016451303579435684,0.0014860394090910865,0.00014637511322077644,1.000607015179186,1.0037165732369369,5.476382435046797,5.55596173309631,6.2457343470000035,8.402471643079952,8.38804561266428,6.333990611716865,5.659486076984556,5.7617518122173195,6.6606622239598545,10.576724197347316,15.130650681632112,16.870755711555784,0.1266203043208467,0.07534405625921468,0.0008263074636219967,0.0,0.0,0.17040337595444044,1.8229969117595917,229,TrialState.COMPLETE
capture_only_v5_codex_trial_00242,2.080801178850732,0.8607884472818375,0.7166038175021621,0.524825327903444,0.1911592917213292,0.0,0.08936080441306657,1.9177008282218157e-07,348811.83423870103,43720343810234.7,6.142296951718762e+19,2.895693932490126,0.4002892903744054,0.46717117270624337,3.99020728413327,3.8433108757316226,0.2636444604945193,0.24171347081284356,2.7563506876410413,1.351531045174107,76.32672936823755,1.4798438876893936e+19,1.5093316103502905e+19,1.4055307523797008e+19,-0.03094431547533843,2.7989546255116062,4.438224608934456,0.00014068578499585346,0.010826345469482307,0.010826345469482307,12.0,22,0,4.2934800659537927e-19,3.38584980163883e-105,2.4529385256355555e-86,1.331897787614783e-104,3.933717871862224,1.136324936067971e-19,2.173492791130689e-19,5.948748125823118e-20,700.0,800.0,1.35,99.6082628041274,126.19446242335533,146.58955643014036,158.51393162359773,23.281533435889855,26.586199619227926,20.39509400678503,32.319469200242395,11.924375193457365,0.75,350.0,1.5913733174456033,1.256108458165284,1.0813453255733134,2.8,67.87147094753468,65.74332846153779,56.50429062186797,0.8736729094028696,0.06885758840923935,61.970441753610004,84.79267869945984,84.08573278931144,80.15409919835766,56.62155836243001,18.614997595139396,3.476389175179529,23.308123215016252,26.067858119927887,36.10580377296573,90.556258578491,91.38533529842817,30.671947250181677,8.23220032306536,9.070207308293977,12.549365606895309,32.219216142672664,65.61606480336208,79.18691501940604,capture_only,3.1678793796801075,2.4482726888050523,0.9173983722917551,0.0021784422325970493,0.00016155117870143997,1.0928841494045267,0.8450923827074878,0.017348846232220442,0.00161700518168101,0.00014894549606382242,1.0006709116232395,1.0040034863058591,5.652526457768961,5.740540729729313,6.472507232874541,8.56789006987357,8.545645561983902,6.580577371377136,5.882236828070285,5.998967519687095,6.978937629503761,11.141876648665129,15.767320596316853,17.336546859918375,0.15568881827763548,0.06138561423309582,0.0048529615598397295,0.0,0.0,0.16813014471755616,1.8683325325010531,242,TrialState.COMPLETE
capture_only_v5_codex_trial_00241,2.0820753067683975,0.8629042725041645,0.718269952573724,0.5248032667371547,0.18976016605807838,0.0,0.09137946588970755,1.9584354204869648e-07,349896.12259343377,43924995351672.81,6.170913662504402e+19,2.9705057422340815,0.4000498407759482,0.4628391695023199,3.929388258432684,3.855521727057485,0.25935150674502794,0.24218298414717104,2.8083586187415523,1.3340550117590393,76.60730282359366,1.4912602426774944e+19,1.5210893492257874e+19,1.4163910487547023e+19,-0.030971551925281456,2.8544162678108393,4.405884005505185,0.0001417531136345954,0.011005702652257721,0.011005702652257721,12.0,22,0,4.2934800659537927e-19,3.3937279043739906e-105,2.475799103786256e-86,1.3456213464719146e-104,3.965024257653705,1.1416190275633145e-19,2.174310526963019e-19,6.102778145248747e-20,700.0,800.0,1.35,99.91563665289824,126.2745016292549,146.12469271097123,157.6139808610241,23.308333829304587,26.358864976356656,19.850191081716332,31.33947923176919,11.489288150052857,0.75,350.0,1.5774706156211256,1.2481853329643913,1.0786266026425677,2.8,67.51573303037136,65.34070701963518,55.97056622733961,0.8271347626485972,0.06508237598729992,61.50425010110476,84.66655244995263,83.94443209219818,79.96738780152485,56.17338644840893,18.038478432156882,3.2929388743890655,23.68881797724383,26.49199554569628,36.66458554037103,90.68705278647798,91.47412552612371,31.15784642301164,8.369227052369332,9.221961444130844,12.752388636568071,32.72156223239517,66.334048823713,79.57891351889523,capture_only,3.1552975458413672,2.4405606005141816,0.9151875565894395,0.002155079867176534,0.00015975419486283487,1.0912959888905085,0.844818975274272,0.017383577675525425,0.0016159682010918183,0.00014789603636543346,1.0007748231095213,1.0043655192505956,5.64015144654345,5.726736834154373,6.449660675699929,8.483657371006247,8.460632343694128,6.558978405529376,5.872924508787544,5.988787488396694,6.9621087500070375,11.087667741520388,15.62585677592904,17.127999710679326,0.15781456103977795,0.06005650122348308,0.0039582658019708256,0.0,0.0,0.16831381382563212,1.8859556844959076,241,TrialState.COMPLETE
