label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00206,2.1439773987644344,0.9259250044394172,0.6859845349229511,0.4757149587620134,0.1876310068079039,0.04536887528772464,0.029242770367870416,2.6573815097734295e-08,353899.2236899468,44364869237696.42,5.348263236756612e+19,0.5271844113109447,1.194992019124391,0.3002814210706546,3.77508071385475,1.5604501665972286,0.6848720379464336,0.09764690209621572,2.899000157926323,2.088276539973313,78.22102563900751,1.4460693169923107e+19,1.5389858726143525e+19,1.241950584025001e+19,-0.09313031712877771,3.30518264720526,7.458676250303727,5.9457107234418445e-05,0.008485752354183944,0.008485752354183944,12.0,22,0,4.2934800659537927e-19,3.159429519758363e-105,2.151631278458583e-86,1.13668717394872e-104,3.5977608199206013,9.894286987999732e-20,6.313033811643045e-19,1.0812786468408817e-20,700.0,800.0,1.35,106.27195614236905,138.58691720706733,169.81434340546014,202.08590443010544,28.050930503361542,32.31496106469828,31.227426198392806,63.498987223038114,32.27156102464531,0.75,350.0,1.9015920263985504,1.4581889005306479,1.190040254418271,2.8,63.020270370651545,61.948552398012026,49.82461799935538,0.4341978224661351,0.03430460713862288,55.89907551332168,81.44057830902273,81.18927410528488,75.82993973750591,48.159199059816956,15.863912378418048,2.212263373983466,27.03019393431027,28.753577093863235,40.705615402400326,88.16142374867631,88.58671162580488,34.53104102680786,9.482119954971827,10.041600633124926,14.136132794473635,35.73100596356473,62.69078674524739,74.84495522656478,capture_only,1.956043896161614,1.373960176530305,0.4838635387649104,0.0010264405741197478,7.645625342811294e-05,0.6703507608791252,0.47067083181828717,0.00888078283926534,0.0007147292086428967,6.481570852714769e-05,1.0191098239330154,1.1101630506397582,7.993491798876607,7.923910331594436,8.985903059479384,11.403351988283434,11.37890731080307,9.162160608870169,8.406950975126316,8.298454429771892,9.868417226882235,16.100914193779065,21.44458614712593,22.942716583743255,0.002759657514815039,0.08616068105231922,0.05190019614342839,0.0,0.011309381934095178,0.1547443679577461,2.812071276189552,206,TrialState.COMPLETE
capture_only_v5_codex_trial_00230,2.1484083175162842,0.918496037441664,0.663105506714212,0.4748940325605857,0.180193545480182,0.05466090298576453,0.024126347133190916,1.6715680056175185e-08,342506.292745703,41035913729411.55,5.28562504300932e+19,0.473182140587728,1.237258260063757,0.2931084315804809,3.818118346051009,1.3949769092414237,0.7206569316828483,0.1104433305293823,2.728765321031215,2.338478997695482,79.51466351881164,1.2957938111146858e+19,1.378412824729043e+19,1.1097146697692318e+19,-0.0941679779388388,3.1233658783988054,8.121343119249333,6.951319106766016e-05,0.009884359973754897,0.009884359973754897,12.0,22,0,4.2934800659537927e-19,3.140873605837436e-105,2.1469040582023304e-86,1.1317019800576933e-104,3.60314397228332,9.778406329567242e-20,6.521985076172094e-19,9.703896813074905e-21,700.0,800.0,1.35,108.67580881849464,143.52492975145773,179.4941858303748,220.3956541972199,29.161145299683,34.84912093296309,35.969256078917056,76.87072444576216,40.90146836684511,0.75,350.0,2.0280102498736827,1.5355914444889767,1.2278707144614573,2.8,63.63837464435923,63.100353673608815,51.6977292337925,0.5272736282180293,0.041610430837443764,57.4191583290618,81.21016641476035,81.18568012688634,76.00053725511036,49.04162621781378,16.96214544135327,2.5178965366538755,25.560916145359805,26.880322503469298,38.06826785222134,86.84926800109966,87.35355474921958,32.248873800203185,8.950721782441049,9.383218797197134,13.185498021906083,33.409450565482345,59.4023100668674,72.03139717302486,capture_only,2.1285934715660835,1.4738843987733283,0.5151356764473192,0.001151456650633472,8.628195065403007e-05,0.7291720278394107,0.5051730545139801,0.009452652762907868,0.0007695754799771798,7.104643643467908e-05,1.032851192248912,1.1186273964501892,8.672115738714869,8.545439424148581,9.718867237538847,12.622306914031673,12.604748537992313,9.89741666562234,9.109939774959196,8.925928021402571,10.637759006841884,17.53947056394098,23.63477491629937,25.45063524388484,0.0,0.09361776711340429,0.07435157564112792,0.0,0.017792107073374804,0.1565246252190533,2.9210431118793507,230,TrialState.COMPLETE
capture_only_v5_codex_trial_00208,2.150579530055697,0.9135586467900546,0.6821786974400041,0.4936747497164403,0.187717972179935,0.03563857442330421,0.019966584017130758,2.77744503733642e-08,337087.71349841723,42821086811551.51,5.235239908938837e+19,0.5478738180075478,1.1777475787743619,0.3799912368552551,3.971958564328766,1.7538122845845354,0.5511807487459012,0.13562501074122632,2.728229958957854,2.073871161290802,78.30624193753344,1.3564482160954864e+19,1.4215939774649895e+19,1.2089516552268292e+19,-0.07036664072317576,3.0447429554999803,7.077706311002466,7.785415852624486e-05,0.010129668470312521,0.010129668470312521,12.0,22,0,4.2934800659537927e-19,3.1258675959917436e-105,1.9528464819891582e-86,1.0275877112418426e-104,3.2873680016373825,9.68519383153685e-20,6.197307110698358e-19,1.1234456722577942e-20,700.0,800.0,1.35,105.4468825549606,136.40970218434506,164.4436634752203,188.48763329307394,27.140640617427152,30.96281962938447,28.033961290875226,52.077931108728876,24.04396981785365,0.75,350.0,1.787512619871253,1.381775858130314,1.1462140243638927,2.8,64.90940924006753,63.7967695578927,52.48855440487137,0.5694462547373094,0.04502385209616949,58.040462277824865,81.81209535110065,81.49216727221933,76.26862991701998,49.35029952051672,16.63868907890593,2.479228007225119,24.627158367395907,26.41001527007815,37.48501901271891,86.98295488762439,87.53862381586816,31.81211281037784,8.643975243186649,9.241187355136773,13.044932541440836,33.175750438783446,59.646721970098504,71.88277464750585,capture_only,2.1174076071371277,1.4915369063644182,0.5201621596636435,0.0011418937794670271,8.487788009005126e-05,0.7276336429617218,0.5131480319054984,0.00954572108254287,0.0007847289473454686,7.186957024632714e-05,1.0137110598805037,1.0851795587720006,8.346024785399445,8.301678265664732,9.506264422746069,12.446456963858848,12.416267454155598,9.706885653746529,8.816295762750967,8.753497340738386,10.507233698327054,17.4644043196173,23.713804222048232,25.637925475698772,0.019448886800308606,0.09106203947427567,0.0751339204800224,0.0,0.0038568963531016736,0.1412327257618395,2.620552154114522,208,TrialState.COMPLETE
capture_only_v5_codex_trial_00242,2.1545413329864607,0.9056164056256314,0.7130295637360489,0.47729020558116114,0.21318934798902991,0.03735760297611685,0.029784623170340176,2.2991369532699592e-08,373141.44818417315,47200835029085.01,5.354940227003526e+19,0.4605185189619801,1.1299181846287274,0.31305614555303474,3.9799624694089455,1.4513023638354998,0.7271077826046773,0.12816775459215118,2.6989628038618885,2.1663724873481116,73.47923196274529,1.6241063536034988e+19,1.7258063231945212e+19,1.3990296177512192e+19,-0.09116514717615712,3.0079013379166417,7.6019209377585995,8.05986666454366e-05,0.010933620023681546,0.010933620023681546,12.0,22,0,4.2934800659537927e-19,3.1614010850261603e-105,2.2338951472216293e-86,1.1804223656578516e-104,3.733858292289679,9.906639419956525e-20,5.970650404779005e-19,9.445571667650518e-21,700.0,800.0,1.35,99.72283449710504,130.41785214877493,159.86044342448196,189.0375655472362,26.243602534359752,30.695017651669886,29.44259127570703,58.61971339846127,29.17712212275424,0.75,350.0,1.8956296870274378,1.4494761448117586,1.182516209124226,2.8,63.5311850072901,62.6943336443201,51.02145777712211,0.4847292222810379,0.03819625073919675,56.91255935592962,81.53243738559519,81.3796156679064,76.18091791045822,48.8845425332702,16.028238754964047,2.2741932055115837,26.241785769580158,27.802054962040263,39.33908742607994,87.79380571311314,88.26724154229332,33.35370800719292,9.205985070644346,9.70881321534059,13.638798872393904,34.683251656916596,61.92086527445683,74.10556548577935,capture_only,2.112694099088898,1.477703038899494,0.5198201380806641,0.00112883889101501,8.405132196588521e-05,0.7245878023198231,0.5069897652174816,0.009573542299622808,0.0007788942965589224,7.079662066414419e-05,1.0240004283228166,1.0869068528969261,8.114335124040853,8.025908354740151,9.119634658717295,11.720336225714796,11.69447815564554,9.29549180139212,8.53698974144062,8.404581351535516,10.002084627118316,16.42263226751358,22.05011707628258,23.620170512088368,0.0,0.08631414489952127,0.05783278670298072,0.0,0.009065886748356608,0.15160868504490294,2.726020815944714,242,TrialState.COMPLETE
capture_only_v5_codex_trial_00221,2.1547924975744097,0.9283830637787588,0.6681085009914915,0.4761077820621513,0.17537826626578315,0.05890216935502651,0.035133598301373664,2.0188204445715742e-08,347794.00377234165,41288461102870.96,5.421302022448834e+19,0.5070774152608176,1.3739456304372337,0.30076270066141614,3.7567757712295817,1.516213613064347,0.6745925867736017,0.1258735612678181,2.897861005300104,2.197767597916352,80.53791273807343,1.3243044290496444e+19,1.408529161886875e+19,1.1380675931993055e+19,-0.09259778609661005,3.372564006904895,7.833128800680248,8.008304803739498e-05,0.01158939949449831,0.01158939949449831,12.0,22,0,4.2934800659537927e-19,3.1809298059799075e-105,1.960650695012861e-86,1.038443139730112e-104,3.2645899251782216,1.0029408741530344e-19,7.27699440761604e-19,1.0401971264894962e-20,700.0,800.0,1.35,109.6397425024132,143.0931271494304,175.89122122413534,210.78088273769583,29.10182976433977,33.45338464701719,32.79809407470495,67.68775558826545,34.8896615135605,0.75,350.0,1.9224861161367328,1.4730328907941188,1.1983593113444881,2.8,62.33287192572535,61.55555500717834,49.50798552653262,0.42329447889996297,0.03328333348699089,55.519794291465196,80.7599179505704,80.64248105376112,75.21135448520194,47.19631934526713,14.891770555039487,2.0457863236334113,27.1991845797062,28.668030793112116,40.45381611214981,87.436306281876,87.85204595914392,34.318861848218376,9.536081347354498,10.021481739962745,14.064134982524346,35.50232532954992,62.10305079130237,73.38744319271215,capture_only,1.9049863857061529,1.331452115752932,0.470254148149256,0.0009982298055968462,7.446192130927762e-05,0.6533697205741824,0.4567384101555974,0.008664337625196989,0.0006980237154593823,6.270957033798603e-05,1.0271267736795353,1.1356765952771393,8.562957108862301,8.444962083956645,9.567944213168325,12.139401009418423,12.114596245447778,9.764025847308853,9.050630981500962,8.879298796120537,10.563386595101269,17.29269098755776,23.00448062994268,24.566707774084097,0.0002327594592295886,0.0908185419759793,0.06748941821514864,0.0,0.0131494736820997,0.15510203117183463,2.928352816580397,221,TrialState.COMPLETE
capture_only_v5_codex_trial_00165,2.1556587357757167,0.9144333436494007,0.643211862711787,0.4572133627447741,0.17541025842942515,0.06219531689094274,0.05875575482423802,2.022132530716187e-08,342649.43411359563,39513759320026.945,5.724344457363192e+19,0.45526546111493016,1.376480462257817,0.2974102262234857,3.2475664057858515,1.3738278841414666,0.9085680297633701,0.12717329049420764,2.647634099901856,2.1758230783541532,80.1862792220721,1.2259398738112963e+19,1.3222069395361634e+19,1.0106904917711806e+19,-0.1166812521767603,3.0813214685684693,7.495347461758133,7.766920387459286e-05,0.010225146467084898,0.010225146467084898,12.0,22,0,4.2934800659537927e-19,3.268625494956017e-105,1.8914771379879007e-86,1.0124100721306376e-104,3.0973572031820082,1.0590037246121906e-19,7.367589362265737e-19,9.344938923265382e-21,700.0,800.0,1.35,110.94261822459072,150.3382678751095,197.17254670619806,267.1288686826591,30.756339002518615,39.39564965051878,46.83427883108857,116.79060080754962,69.95632197646106,0.75,350.0,2.407811109540313,1.7768521112972453,1.3547974763479687,2.8,63.75345698849727,63.14551759294803,52.139165668822244,0.569448816442164,0.04342177956173089,57.727904311655244,80.99623071006444,80.94210569963303,75.86137427874091,49.446898086694084,17.666567002404484,2.650378662622442,25.23014881763591,26.557151166872885,37.28713881259803,86.25369543071731,86.76588349755527,31.589085162961254,8.834430722389765,9.27653530469432,12.925483257080709,32.308369775037654,57.651049211239666,70.7368295163167,capture_only,2.0260472716418056,1.43628487303913,0.5185873137499711,0.0012069950764976264,9.340486610638991e-05,0.695680613170369,0.4934707827223024,0.009651506275358374,0.0007830651079832102,7.29978007272054e-05,1.024454428801271,1.1401659330240532,8.99034692222502,8.86104636713996,10.055108204829757,13.175648757764021,13.190601318016894,10.244040472559405,9.473657954375415,9.287888212950344,11.035148207740798,18.235080631992897,24.681600721247857,26.612718823260128,0.0,0.0990507265959012,0.08521279705362486,0.0,0.044533291480867154,0.15081497603298388,2.693323757796804,165,TrialState.COMPLETE
capture_only_v5_codex_trial_00166,2.1564192546254253,0.9159166546806566,0.6592426929254203,0.4505180934229856,0.17942265423697842,0.06891760255449692,0.05840627339360791,1.953263995459735e-08,356070.7416705676,42495755101073.336,5.719739868871495e+19,0.45099158006777323,1.4798423262713618,0.294084572817313,3.3041634079571263,1.3710296364829657,0.922052831627051,0.08618917463251563,2.856549111750004,2.088422597173096,79.50855673722259,1.3567863808812923e+19,1.47424051925841e+19,1.1051261551947758e+19,-0.1251564859918111,3.396064563754988,7.524757926376542,5.5367514929459146e-05,0.007902151193642428,0.007902151193642428,12.0,22,0,4.2934800659537927e-19,3.2673106104910946e-105,1.8984434572358942e-86,1.0159770645245535e-104,3.1095209046312453,1.0581518757412266e-19,7.919571461946082e-19,9.25712535139219e-21,700.0,800.0,1.35,109.7674972304692,147.02812719870843,189.7363519627296,252.4186923099709,30.258940493246612,37.26062996823923,42.70822476402117,105.39056511126248,62.68234034724131,0.75,350.0,2.2995759097976833,1.7168054651803268,1.330365476614382,2.8,61.05161878416668,60.34859198216977,48.31867589022184,0.398314118181207,0.031198815498922925,54.41683957230951,79.97166744369606,79.90140766515623,74.41827323259967,46.453760321170364,14.969827731642228,2.0130822280850382,28.067988169186965,29.473571372956407,41.24124077255222,87.07214531386029,87.44329339251458,35.00322946547449,9.841644598305635,10.309239241507063,14.359842909508073,35.51317225727264,61.29020742586824,72.73994754034399,capture_only,1.9130096776516279,1.352661637547863,0.4874979169911904,0.0010380555753839891,7.9246161500913e-05,0.6565268906233179,0.4642269723818704,0.009034798993574022,0.0007091752551387463,6.373688190532978e-05,1.027482274734877,1.1649248391611156,8.967383368994723,8.825175007325967,9.952585420234783,12.528502512383126,12.52542854582502,10.168386026258528,9.530161067375031,9.32512612095482,11.054714829724901,18.024032622563414,23.73925566723438,25.246906494689064,0.0,0.09717793192166119,0.07518357271029368,0.0,0.039164630672680514,0.15617477001239272,2.797831407491816,166,TrialState.COMPLETE
capture_only_v5_codex_trial_00198,2.1586009262332975,0.925667973029525,0.6914687012511622,0.4671099007381931,0.19140195211954125,0.054176276245263284,0.03686148026825341,2.2749446045888725e-08,373324.4570829212,44452639681726.58,5.442914153427411e+19,0.48374873496230303,1.0857121096756852,0.35651830042335564,3.9802325344573437,1.8064294343124894,0.7573668673557776,0.12555987195621707,2.9542065152397483,1.9668515362961294,77.54443047317372,1.5125175076380625e+19,1.6227519766257885e+19,1.2770385318715636e+19,-0.10404814544824452,3.457912401717084,7.12431651854856,7.738728709762083e-05,0.011131856735709085,0.011131856735709085,12.0,22,0,4.2934800659537927e-19,3.1872639202335706e-105,2.2113224445446746e-86,1.1720935907821496e-104,3.6774287292037484,1.0069391183840711e-19,5.754729294792937e-19,9.923862973142919e-21,700.0,800.0,1.35,105.59791926958415,137.8746271513327,169.83150037468226,205.36463633070522,28.053488796410434,32.27670788174855,31.95687322334956,67.49000917937252,35.53313595602296,0.75,350.0,1.9447791940523333,1.4895027502434857,1.2092258260548234,2.8,61.098176506426,60.04233601598843,47.691229669378515,0.3634853045609375,0.028583207751846525,53.91259730633518,80.4464135473863,80.17686653887469,74.57749333713835,45.91008608691738,13.857984664272049,1.8018748154825273,28.34575148285313,30.15874088897587,42.48573488751391,88.12658208460205,88.48873761894275,36.13232043031621,9.966853974456887,10.583734383780268,14.885710753317104,37.22210688306891,63.915763953665625,74.61237228397556,capture_only,2.305780816390377,1.627289146273304,0.5744699755586343,0.0011558909269613594,8.62093510794759e-05,0.7932233956389376,0.5602600403857503,0.010634223038696584,0.0008366987304247604,7.373295620172258e-05,1.0184412489787487,1.1337616957515189,8.250291194330481,8.171633948762382,9.248565467548975,11.508776719910026,11.482592963954353,9.469083870467566,8.793509082517888,8.679139036959299,10.338374102625194,16.857172806975026,22.225414683331916,23.585679167585717,0.0,0.09100106655654194,0.059176962507474055,0.0,0.01477782959691142,0.14540181371851268,2.7338626069085943,198,TrialState.COMPLETE
capture_only_v5_codex_trial_00235,2.1589267950559194,0.9151439776824277,0.6973005138476985,0.47630746001371393,0.19694822614816546,0.05028640222359408,0.02850016568118547,1.7548678764159575e-08,375235.76271275675,43969212599721.81,5.339125999545125e+19,0.4735150559012834,1.306900250978273,0.29212511922709633,3.999722730738737,1.4173251501720716,0.6959692193943504,0.13015427189170803,2.846770284600025,2.273722789517088,76.46661285978692,1.5200163339013947e+19,1.617105552033945e+19,1.3073192155892031e+19,-0.09235672349703278,3.2537473963477295,8.145508107152502,8.776550679346171e-05,0.01278446915813224,0.01278446915813224,12.0,22,0,4.2934800659537927e-19,3.156729503293666e-105,1.875501810386692e-86,9.904934624990976e-105,3.137720420662072,9.877383099158482e-20,6.902025620895101e-19,9.711817899245992e-21,700.0,800.0,1.35,103.8204000630509,134.91558313139214,164.2955349395189,193.54490892891803,27.353787203263977,31.095183068341242,29.379951808126748,58.629325797525894,29.249373989399146,0.75,350.0,1.864228117127046,1.4345630388776345,1.1780290255615684,2.8,61.99429881831197,61.327876278336404,49.168766901322115,0.40630761152056477,0.03191276011286685,55.25756572948901,80.70466266672736,80.64963028624366,75.2199508056208,46.92970552799046,14.36461312106758,1.94822664872638,27.552933332793014,28.958131331447227,40.903290683181844,87.65438512710313,88.05817946612842,34.69818168114903,9.663539905247582,10.11843475888931,14.202324878477864,36.05053048908313,63.07405078308018,74.02620510619164,capture_only,1.970263712343737,1.3649189034957787,0.4780291904309365,0.0010063627641470393,7.490727954316676e-05,0.6764222841358398,0.46887212175286547,0.008818034834915445,0.0007105308115268478,6.339465193259876e-05,1.03542438636211,1.1136667392623936,8.482504136551315,8.349073486720602,9.449913225065112,11.938300898612164,11.909832866479176,9.639739363126575,8.955375143889187,8.763062833114178,10.413608279631486,17.0109459480915,22.560625565040716,24.02550485043005,0.0,0.08910559884007302,0.06282013153465991,0.0,0.009218235128932144,0.15781658600021292,2.969234235345921,235,TrialState.COMPLETE
capture_only_v5_codex_trial_00194,2.159264348335406,0.9259705028643681,0.6442691321580438,0.4762548316126121,0.16038695354344265,0.07061488554707109,0.029900190636829263,1.5584262090570067e-08,317458.0190851439,39565230784581.78,5.356365387231095e+19,0.48116333910057124,1.2641452981523955,0.337771214256103,3.767303115815625,1.5617595315351556,0.678495921483372,0.10363891352173699,2.8280266412061286,2.22156124813138,83.48905351944494,1.1601289759505748e+19,1.2330495105462931e+19,9.967375710011517e+18,-0.09239968628536975,3.3477856656152127,7.754343057903355,6.320898122480775e-05,0.009112834228642426,0.009112834228642426,12.0,22,0,4.2934800659537927e-19,3.161821743629784e-105,2.301212564966763e-86,1.2160545311562307e-104,3.8460565767385586,9.909275966377527e-20,6.680259100185592e-19,9.869041515094407e-21,700.0,800.0,1.35,114.05550364246996,149.90395346225088,186.6926873292538,228.65458533217551,30.56645012302502,35.848449819780924,36.78873386700292,78.75063186992463,41.961898002921714,0.75,350.0,2.004765908087518,1.5253405934337534,1.224764550787772,2.8,62.35348064532281,61.81403690578422,50.28812326328251,0.4756365755021204,0.03759438413301249,56.04800685627407,80.32744103110191,80.27974103315472,74.86703149071545,47.214402518572506,15.65040059850909,2.2242158264578866,26.240371903030553,27.602082092827697,38.926344075787206,86.39887810583497,86.85817084235259,33.02909991664995,9.195040082971294,9.664374418776555,13.57153566423265,34.008755272645374,59.298420756723964,70.90821205479273,capture_only,2.2832932930364698,1.5911171367756107,0.5581254057196098,0.0012006151166470108,8.992301358649491e-05,0.783309151870144,0.5463639830134436,0.01023858811491429,0.000817220509130911,7.413248508415176e-05,1.0277853076941181,1.1590965261529016,9.12285415861014,8.992763864612474,10.227407255210691,13.12428470354627,13.10414485050081,10.452023924783855,9.694209734056649,9.509520565055288,11.369767414479073,18.766603620667215,25.05036142425782,26.867497986264304,0.0,0.09900343317827615,0.08898555752802022,0.0,0.018361756628497254,0.14931242001933404,2.8794654234854136,194,TrialState.COMPLETE
