block,parameter,top_n,min,median,max,direction_vs_1
D4_capture_gd_escape,f_n,25,1.6297881107897457e-07,2.3044301891130997e-07,3.612409611498785e-07,near/mixed
D4_capture_gd_escape,K_d,25,394835.12411850545,419036.56168872543,624433.5968377077,near/mixed
D4_capture_gd_escape,rho_d,25,24820877325520.03,25342118191230.574,40147586226449.07,near/mixed
D4_capture_gd_escape,fission_rate,25,7.35867705229705e+19,7.56848920818557e+19,7.875311503990451e+19,near/mixed
D4_capture_gd_escape,Dv_scale,25,1.3489827726965102,1.466623579440933,1.5985775365881023,high
D4_capture_gd_escape,Dg_scale,25,1.334899515132117,1.637547718655645,1.8276269519445727,high
D4_capture_gd_escape,D2_xe_scale,25,0.20032760455052312,3.937337324010667,4.720806793033185,high
D4_capture_gd_escape,b_scale,25,0.2651454339019182,0.31369781400701713,0.38507700992865634,low
D4_capture_gd_escape,gb_scale,25,2.693187836356428,3.070481050842071,3.9905018164839,high
D4_capture_gd_escape,gd_scale,25,2.272695955525704,3.353666184931118,4.304734266055822,high
D4_capture_gd_escape,coalescence_d_scale,25,0.6624669188540513,0.7171668432424002,0.8049389881880725,near/mixed
D4_capture_gd_escape,capture_scale,25,0.06616075838447114,0.14402276248490398,0.2041977695128167,low
