block,parameter,top_n,min,median,max,direction_vs_1
A_nominal_near,f_n,25,5.388771279687672e-07,7.2108065861006e-07,8.720556116802135e-07,near/mixed
A_nominal_near,K_d,25,246887.20064030192,267120.13122671895,320920.6662692144,near/mixed
A_nominal_near,rho_d,25,33304410820558.16,38093181739192.1,51047389072262.98,near/mixed
A_nominal_near,fission_rate,25,5.983383751712532e+19,6.1389002037616665e+19,6.548713784820768e+19,near/mixed
A_nominal_near,Dv_scale,25,0.816222889116924,1.3914587254070352,1.4726545942651939,near/mixed
A_nominal_near,Dg_scale,25,1.1052992227361162,1.254517192665508,1.3327787832752882,near/mixed
A_nominal_near,D2_xe_scale,25,0.9256347856680699,1.1433425373566581,1.5350496338833228,near/mixed
A_nominal_near,b_scale,25,0.4332578369070392,0.48244987318953925,0.530437281986662,low
A_nominal_near,gb_scale,25,1.5828992649958562,1.7177783317095274,2.4505958260978145,high
A_nominal_near,gd_scale,25,2.682472825739114,2.9017235920296014,2.9994336352269713,high
A_nominal_near,coalescence_d_scale,25,0.5002571034695418,0.5543107236550664,0.8402566990138071,low
A_nominal_near,capture_scale,25,1.0151912100256844,1.2098643264943074,1.3748277900285912,near/mixed
B_standard_wide,f_n,25,5.187392952177145e-07,2.0045059710642604e-06,2.9989602533292266e-06,near/mixed
B_standard_wide,K_d,25,362109.92441860045,677400.7418206399,758984.1022652765,near/mixed
B_standard_wide,rho_d,25,15292047981870.69,16414858862493.09,19051023823196.715,near/mixed
B_standard_wide,fission_rate,25,6.233663713308363e+19,6.938599294788619e+19,7.446423411037336e+19,near/mixed
B_standard_wide,Dv_scale,25,1.3415600819337525,1.5351112203366901,1.9991948779568232,high
B_standard_wide,Dg_scale,25,0.2260874014991908,0.5403587979737982,0.6102158051129426,low
B_standard_wide,D2_xe_scale,25,0.10124484806674391,0.17739681708967303,0.9039689508230032,low
B_standard_wide,b_scale,25,0.050104058924265754,0.059067600727063824,0.0899989350928725,low
B_standard_wide,gb_scale,25,1.0044885385241478,1.570581007840643,6.1128270559929465,high
B_standard_wide,gd_scale,25,2.967370223019402,3.7182857768093442,7.548895899283558,high
B_standard_wide,coalescence_d_scale,25,0.36630723027621104,0.5445821667053073,0.6356095010088502,low
B_standard_wide,capture_scale,25,1.2600848896637373,2.699167257616573,4.312462844928766,high
C1_diffusion_escape,f_n,25,4.1131262214930695e-07,4.905270977783523e-07,7.146706597260928e-07,near/mixed
C1_diffusion_escape,K_d,25,494795.477749731,563227.480026531,578551.2570666296,near/mixed
C1_diffusion_escape,rho_d,25,26495224925995.61,27918810631501.35,32148952609499.47,near/mixed
C1_diffusion_escape,fission_rate,25,5.168570694759663e+19,6.257843285538722e+19,6.597629053137047e+19,near/mixed
C1_diffusion_escape,Dv_scale,25,0.49256243241270925,0.9162700661661992,1.3324320306173882,near/mixed
C1_diffusion_escape,Dg_scale,25,0.33461802311780336,0.7678273060972771,1.085455821717944,near/mixed
C1_diffusion_escape,D2_xe_scale,25,4.226750248248999,8.950022422007562,15.113956428055456,high
C1_diffusion_escape,b_scale,25,0.20003934994405373,0.2018833342049854,0.2748619971250514,low
C1_diffusion_escape,gb_scale,25,1.2448712593833835,1.3771399233872261,1.569302410368842,near/mixed
C1_diffusion_escape,gd_scale,25,2.514533910396611,2.623947536812436,3.4094544799407798,high
C1_diffusion_escape,coalescence_d_scale,25,0.5239674797232222,0.5949001532967948,0.8796650700846835,low
C1_diffusion_escape,capture_scale,25,0.03788408665408187,0.16066097378517444,0.1903706088737668,low
C2_resolution_escape,f_n,25,5.7247578128592765e-08,2.547711629292006e-07,3.506476058374803e-07,near/mixed
C2_resolution_escape,K_d,25,494228.1572370809,752068.3809554265,953548.1161607956,near/mixed
C2_resolution_escape,rho_d,25,10468756187636.613,10795835447057.527,13676093561951.541,near/mixed
C2_resolution_escape,fission_rate,25,4.414275991414195e+19,6.084468198213303e+19,7.568273366341645e+19,near/mixed
C2_resolution_escape,Dv_scale,25,0.4990749745360374,0.5987732936915441,0.6593918097103422,low
C2_resolution_escape,Dg_scale,25,0.4563952241392109,2.356764778916708,2.4801915680161986,high
C2_resolution_escape,D2_xe_scale,25,0.24991257424268254,0.5054321950505724,1.0626070425201792,low
C2_resolution_escape,b_scale,25,0.020029117067515055,0.03187976597567155,0.051917955499229035,low
C2_resolution_escape,gb_scale,25,1.2598767623279459,3.092889595308454,3.984692034372315,high
C2_resolution_escape,gd_scale,25,1.2819720819562395,2.9925427743597353,3.225959063969828,high
C2_resolution_escape,coalescence_d_scale,25,0.4221176728379736,0.6426148595852965,0.795494275505402,low
C2_resolution_escape,capture_scale,25,0.10192801398104163,0.285966565717141,0.5411604686156353,low
