block,n_rows,best_score_label,best_score_total,best_score_Rd2000,best_score_pd1600,best_physical_label,best_physical_metric,best_physical_score_total,best_physical_Rd2000,best_physical_pd1600
A_nominal_near,300,baseline_v5_A_nominal_near_trial_00299,2.046951636647116,258.1884409291425,1.0814613961529767,baseline_v5_A_nominal_near_trial_00299,2.046951636647116,2.046951636647116,258.1884409291425,1.0814613961529767
B_standard_wide,700,baseline_v5_B_standard_wide_trial_00641,2.0729906073738724,264.8088031115789,1.1919327726613393,baseline_v5_B_standard_wide_trial_00641,2.0729906073738724,2.0729906073738724,264.8088031115789,1.1919327726613393
C1_diffusion_escape,200,baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,237.35518641245605,1.1407940906293856,baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,2.148685879235877,237.35518641245605,1.1407940906293856
C2_resolution_escape,200,baseline_v5_C2_resolution_escape_trial_00178,1.9784170672177277,265.3118610644354,1.1016173386602237,baseline_v5_C2_resolution_escape_trial_00178,1.9784170672177277,1.9784170672177277,265.3118610644354,1.1016173386602237
C3_trapping_escape,200,baseline_v5_C3_trapping_escape_trial_00184,2.12013632838322,315.6876579552032,1.1617088327744118,baseline_v5_C3_trapping_escape_trial_00184,2.12013632838322,2.12013632838322,315.6876579552032,1.1617088327744118
C4_microstructure_escape,200,baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,216.5852614423784,1.1020426528010223,baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,2.078692935496563,216.5852614423784,1.1020426528010223
C5_coalescence_escape,200,baseline_v5_C5_coalescence_escape_trial_00158,2.0930986369081825,229.2422851923218,1.06052273269863,baseline_v5_C5_coalescence_escape_trial_00158,2.0930986369081825,2.0930986369081825,229.2422851923218,1.06052273269863
D1_resolution_trapping_pair,200,baseline_v5_D1_resolution_trapping_pair_trial_00177,2.026859597861611,207.67061738332947,1.1177134724892435,baseline_v5_D1_resolution_trapping_pair_trial_00177,2.026859597861611,2.026859597861611,207.67061738332947,1.1177134724892435
D2_Dv_coalescence_pair,200,baseline_v5_D2_Dv_coalescence_pair_trial_00164,2.084185605472284,172.88510641029998,1.017833973329476,baseline_v5_D2_Dv_coalescence_pair_trial_00164,2.084185605472284,2.084185605472284,172.88510641029998,1.017833973329476
D3_microstructure_coalescence_pair,200,baseline_v5_D3_microstructure_coalescence_pair_trial_00143,2.0591115506377253,241.28800042889367,1.1186300200897996,baseline_v5_D3_microstructure_coalescence_pair_trial_00143,2.0591115506377253,2.0591115506377253,241.28800042889367,1.1186300200897996
D4_diffusion_resolution_pair,200,baseline_v5_D4_diffusion_resolution_pair_trial_00199,1.9642920359469869,279.9447228917675,1.0777138645877238,baseline_v5_D4_diffusion_resolution_pair_trial_00199,1.9642920359469869,1.9642920359469869,279.9447228917675,1.0777138645877238
E_all_wide,500,baseline_v5_E_all_wide_trial_00497,1.9878184650162993,225.9511426647666,1.1003932118488076,baseline_v5_E_all_wide_trial_00497,1.9878184650162993,1.9878184650162993,225.9511426647666,1.1003932118488076
