label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state,block,physical_metric
baseline_v5_D4_diffusion_resolution_pair_trial_00199,1.9642920359469869,0.774022773763212,0.6882192917732086,0.462681933614489,0.19763870928405447,0.012281007695418318,0.04873746207082277,8.176989353325162e-07,393892.94026348816,42215835069436.64,5.593806849725141e+19,1.4512433388353332,0.8894365939726722,0.023458203026028333,0.5879956979353336,0.5670651304178016,0.8372215744868787,0.0,2.6743873945298557,1.2386271038929988,74.96081224096625,1.5157684253165445e+19,1.6195444754632321e+19,1.2580134673605534e+19,-0.10970758861051012,4.165822563678914,4.440360888174108,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.231141798746694e-105,3.539467673785333e-88,1.8859467127315373e-106,0.05836781021071451,1.0348542671991512e-19,4.739215540827204e-19,2.978080647903223e-20,700.0,800.0,1.35,103.88358944354162,143.1450979843981,193.09061411992352,279.9447228917675,28.922777202575375,39.26150854085647,49.94551613552542,136.79962490736943,86.85410877184401,0.75,350.0,2.6947925499235,1.9556710417165646,1.449810101685736,2.8,71.96462093384848,69.68636886473307,58.82225956971595,1.0972137629925163,0.08780830995707342,62.22973946126925,84.73625093850605,83.49751356997945,77.87929581036863,48.28183213742511,15.319170719826484,2.079380737062577,22.53183668731373,24.887963310902535,35.49096043919519,90.97371914007067,91.95091791917028,32.22419071506751,10.671725311984897,11.895983643015718,17.10292894258597,44.59406863657968,75.6148637482736,88.25550662547309,baseline,0.7939025181805295,0.6081457546381825,0.22982834849640385,0.0008085971345439404,6.302861782732028e-05,0.24809299319445063,0.18714447413490204,0.004060050624121637,0.0003703846451119784,3.7061423615130085e-05,1.0008432654530561,1.0777138645877238,4.709639860657274,4.817522069726217,5.456951642592458,7.928258499802267,7.961210742254826,5.357953975893431,4.343930756314626,4.419358312869939,4.949190203854974,7.120039175371074,9.065595147254802,9.665075576040733,0.027619945039496763,0.020957661898180355,0.0,0.0,0.07125298530852803,0.34784913070124357,2.0212870390226247,199,TrialState.COMPLETE,D4_diffusion_resolution_pair,1.9642920359469869
baseline_v5_D4_diffusion_resolution_pair_trial_00198,1.9706422315798984,0.7744274939788865,0.6851540648450795,0.4631114569264757,0.19842464111847624,0.012955957001746477,0.050040489280203264,8.263030261208731e-07,395316.9427228215,41417038947207.586,5.610615324867102e+19,1.3818049947576527,0.9120970527992265,0.02417815576196205,0.5901840217620429,0.5710246464504419,0.8466911428460734,0.0,2.6210107637603253,1.2503228424129935,74.82224824447168,1.493784450008181e+19,1.595204594962586e+19,1.2406422680795752e+19,-0.10916981866494206,4.051795806867691,4.458459190940544,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2359926838997234e-105,3.771476597280066e-88,2.0107415902537483e-106,0.06213677800502892,1.037963835100414e-19,4.862794269315953e-19,2.835684625461054e-20,700.0,800.0,1.35,103.78424574408105,143.42507450864576,194.77190486146432,286.38930932207467,28.961997499609367,39.640828764564716,51.34683035281856,142.9642348134289,91.61740446061035,0.75,350.0,2.759468041308262,1.9967868958981152,1.4703830592290772,2.8,72.3487562446329,70.09996364113846,59.38914852680123,1.1626760096341653,0.0933902776951041,62.77488119202903,84.97247423246405,83.75898737308225,78.26453710822919,49.193213173951065,16.180424549906792,2.2623948309868314,22.14557461823562,24.469756460053226,34.911459656071074,90.83628592677647,91.86960437504057,31.66514699114192,10.42103918954009,11.619584279806107,16.698866877819796,43.645447598835666,74.66712418502084,87.94616910753854,baseline,0.7830560134806989,0.5998636063562091,0.2266247186815822,0.0008093482199529284,6.366077614816647e-05,0.24595396195390823,0.18560289644736003,0.004020573176835718,0.00036799005698546084,3.728593840002029e-05,1.0013978978891778,1.0789392698936802,4.722613123650781,4.830416292452106,5.472767098446109,8.000228715369413,8.036941686488195,5.374056567863354,4.360532616041947,4.4358254506642885,4.968515055002458,7.157318654036439,9.152083275015379,9.791398775536221,0.023899128053157526,0.022678590009334962,0.0,0.0,0.0787170606466347,0.34491214509152357,1.987899080739382,198,TrialState.COMPLETE,D4_diffusion_resolution_pair,1.9706422315798984
baseline_v5_C2_resolution_escape_trial_00178,1.9784170672177277,0.8249903755088219,0.6309309366115983,0.48754984276956453,0.14756781631248997,0.03429231167443643,0.04823430381451077,4.115274968982314e-08,444061.8954119156,24486069516087.773,5.587329815324394e+19,1.3538120680692036,1.2290747525703432,0.027420311336629383,1.4026651142418536,0.5938768814902932,0.5885776108843747,0.0,2.6103279888921422,2.4718039160851193,84.84126649338643,1.020434285238288e+19,1.0693119376840006e+19,8.933175867140253e+18,-0.07809853125352473,3.714564053519162,9.413430882099664,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.22927059736098e-105,3.6936212899347213e-87,1.9676423246074565e-105,0.6093147865079658,1.033656015835013e-19,6.547448461633123e-19,2.778106094694342e-20,700.0,800.0,1.35,116.9203120289979,157.98520171638978,205.0879985506929,265.3118610644354,32.07904553561147,41.06488968739188,47.10279683430312,107.32665934804561,60.22386251374249,0.75,350.0,2.2691682605040797,1.6793462816898204,1.2936488870110874,2.8,72.53051436926378,71.11108130384808,60.996324100477175,1.3901352809897904,0.11390460290548791,64.5470316977019,85.19942954234624,84.85118334939453,79.9806441861536,52.72878421346048,21.528416197853645,3.9228635216278733,20.7616782002899,22.37928182927047,32.05845196944218,88.43610630878075,89.66590181221942,28.709981182028606,9.282711538407433,9.742200476271643,14.042526636962371,38.45359697564672,66.7824696576506,83.16556828182942,baseline,0.9550590158355479,0.6865585953541878,0.2582036162813244,0.0009796078198269556,7.647127789264725e-05,0.3026845947566649,0.2094000365978932,0.004505025293637771,0.00043245277809309175,4.8224550574435053e-05,1.0106899516349739,1.1016173386602237,5.752748414610767,5.823078271527255,6.687020313799321,10.172778802409628,10.22011711359721,6.53292463825964,5.215174324489666,5.197216137735937,5.90101116298539,8.813113785599173,11.688681691717678,12.911519971992119,0.051585761291495065,0.04795617566879017,0.0,0.0,0.03181191926253246,0.33440272897491946,3.4918034910166766,178,TrialState.COMPLETE,C2_resolution_escape,1.9784170672177277
baseline_v5_C2_resolution_escape_trial_00194,1.98035953798172,0.8141129544089322,0.6226917802637031,0.4906556990943582,0.13965378215325186,0.04271425569487943,0.04330916765193945,1.9981512999358598e-08,399458.6481455779,24948429245127.668,5.524324382739145e+19,1.499271545736484,1.4764145875364862,0.02339487175421582,2.3019319420522173,0.5362023387090525,0.581042267641189,0.0,2.5133127047555712,3.4599346339500925,86.15379781033133,9.382847057579684e+18,9.804740451820055e+18,8.265528289883799e+18,-0.07416548498621496,3.6263648173460865,12.500152180414373,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2110115686784563e-105,2.8615138923969532e-87,1.5210320084409495e-105,0.4736924722656651,1.0220000108067419e-19,7.847852325088816e-19,3.076199144500244e-20,700.0,800.0,1.35,118.61564478355672,161.03128106940903,212.10860728618715,282.23196548754834,32.46184697322539,42.415636285852315,51.07732621677812,121.2006844181393,70.12335820136119,0.75,350.0,2.3793822981997836,1.7526530473659858,1.3306011910527864,2.8,73.23005603423731,72.54233969063185,62.996578635463216,1.7944146671452312,0.1502789020679907,66.34124701877596,85.2162335585802,85.26755976533434,80.68346202300661,54.3478919934687,23.138235499355165,4.491482748867839,20.233973302142566,21.15482382256259,30.180563561975255,87.79553473201969,89.36869981354825,27.04255156198349,9.362138391733456,9.46804025920499,13.487870222624158,36.99940045296995,65.28529865127076,82.6077672972988,baseline,0.7769641240173387,0.5343160436177149,0.198686578824073,0.0008236205093333965,6.544373537116343e-05,0.2426321021852256,0.16256529536818967,0.0034519964047587566,0.0003324771482386664,3.823001254960233e-05,1.0413470971863161,1.091732852841145,5.759006539602779,5.768520443187839,6.624171223737452,10.409226980325741,10.480955840648402,6.455058495263132,5.178995947501128,5.1018346800924785,5.7707849696004,8.649255557156604,11.576133372225824,12.900711723820795,0.054711252691267136,0.05344033423322486,0.0,0.0,0.04065218034375712,0.3544591718181123,4.414472651371634,194,TrialState.COMPLETE,C2_resolution_escape,1.98035953798172
baseline_v5_C2_resolution_escape_trial_00177,1.9861001089291153,0.8326640542724532,0.6168548381645479,0.4861720790730075,0.1312240001579736,0.04539141644318159,0.048904636002006376,4.299043614555906e-08,394648.6596751525,24504598226705.332,5.595960500590893e+19,1.338071146172497,1.2510723822106045,0.026668232594807873,1.4467260981101033,0.5945812694746517,0.5922541421137685,0.0,2.6147336221787665,2.519164206025425,88.2862181218407,9.071103067334283e+18,9.513329435471274e+18,7.915530308394844e+18,-0.07985251997690122,3.759975398865552,9.53536817150258,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2317637438600398e-105,4.2554444552823226e-87,2.267612627110865e-105,0.7016641087762232,1.0352526926093152e-19,6.666630386419233e-19,2.7458533474257235e-20,700.0,800.0,1.35,122.06137052806172,166.00664035324854,218.9841926948112,294.46126663312043,33.77515240622101,43.94526982518683,52.97755234156267,128.4546262798719,75.47707393830922,0.75,350.0,2.4124034111629467,1.7737920965482523,1.3446690512657156,2.8,73.00854981229803,71.67214841326285,61.77011170106909,1.531145219073459,0.12680769070605805,65.24530186556841,85.38867897176208,85.08246367052942,80.31779122246232,53.64261431794132,22.223891687677998,4.121746854362464,20.390608196218167,21.915790411417145,31.371575054998633,88.29132029452558,89.63452785852115,28.09637805227451,9.167609040131712,9.582782844996427,13.784060612685677,37.64579569202132,66.19414045362105,83.0501068576959,baseline,0.9089495816837815,0.6525317150275068,0.24553411973587244,0.0009642849293317856,7.684009625186789e-05,0.28769033361518226,0.1987237800090896,0.004275370787379061,0.00041050311354873036,4.630580500332719e-05,1.0114284143684305,1.1171051802657797,5.6918924098000225,5.759529460292498,6.612779124196404,10.176570201471625,10.238587610676536,6.458379021677023,5.156021654491038,5.136029704465072,5.826196337969236,8.707314619249965,11.581557355587424,12.82809998213663,0.048073689718921384,0.049948266530115346,0.0,0.0,0.045671892474783836,0.3371915000112434,3.5413326652893304,177,TrialState.COMPLETE,C2_resolution_escape,1.9861001089291153
baseline_v5_E_all_wide_trial_00497,1.9878184650162993,0.783651159494547,0.6289518095205769,0.5149135416669589,0.13520967081443444,0.026777671568019218,0.2032546888210221,2.7820619400379763e-06,1283315.3215452225,7027979825881.86,7.984076566810303e+19,2.759139505047818,2.5921900653899463,0.022500090685152015,0.11835204380645303,1.3220248691489898,0.3303592959590334,0.0,2.3937649784611015,0.9876724505487356,86.82834001109296,8.729882629867635e+18,8.937877952131139e+18,8.087749409927627e+18,-0.043406733366287524,4.397952096753849,3.0624997290269307,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.8602428820023984e-105,9.330037584237874e-88,5.3839301254623e-106,0.13947127914058943,1.477054164859906e-19,1.4958321505107886e-18,5.687286442686845e-20,700.0,800.0,1.35,120.3989914143625,160.8048292274112,197.39426665110958,225.9511426647666,33.57065140326954,40.405837813048706,36.58943742369837,65.14631343735539,28.556876013657018,0.75,350.0,1.876686341060268,1.405126598189567,1.1446692272178842,2.8,76.47412374519793,73.9497915228724,64.97655299277736,1.3668498001321485,0.10339106013178145,67.1631037140754,85.11506447974779,83.28095054930198,77.60890871096035,44.13659887363382,21.50006432669646,6.275710703760366,16.881758220988022,19.38348840727371,27.777256213996456,87.77610814933811,89.05217120015884,25.758629849968475,9.09833570829478,10.873135618382882,15.922995857247402,46.37796167533925,65.54311066050074,78.58572161496346,baseline,0.5459583303901142,0.44879743607633155,0.1932007473816253,0.0006642316138571283,5.0418176368569066e-05,0.17819786869679863,0.14564191655444425,0.0037727164188237805,0.00039948765473682744,4.6944831305340046e-05,1.0004012682246828,1.1003932118488076,6.098159703423929,6.217922633777549,7.052990045844571,10.856377818915893,10.844387321533015,6.917644753998713,5.608401943260631,5.7002719157606805,6.406502203662112,9.481666734608112,12.95642552514806,15.138520736444875,0.11605972621850083,0.05740509338784026,0.0,0.0,0.0014244365646697461,0.3905822584618696,1.5191683711025141,497,TrialState.COMPLETE,E_all_wide,1.9878184650162993
baseline_v5_D4_diffusion_resolution_pair_trial_00197,1.9919739260535245,0.7785462606862862,0.6812199227201406,0.45556906500083766,0.19495324245635243,0.013839156233251129,0.050517730995326256,8.507214704435613e-07,394042.96965275664,41908458915170.52,5.616784160842471e+19,1.422665386626859,0.9264277046474421,0.023999317224578515,0.5864587645150482,0.5739606592081308,0.8972481156813099,0.0,2.6833664634433396,1.2351000901653733,75.39335839969581,1.494831049704594e+19,1.6054724711767159e+19,1.2213017574395474e+19,-0.11877988113214487,4.17126875788027,4.426744611322743,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2377711718939614e-105,3.400395595108159e-88,1.8132899006006336e-106,0.05600426356072392,1.0391050697558571e-19,4.940254607112559e-19,2.919573537137521e-20,700.0,800.0,1.35,104.98969588011737,146.28839536901174,202.46066758604894,317.57856023285905,29.596337480421553,41.29869948889437,56.172272217037204,171.2901648638473,115.1178926468101,0.75,350.0,3.02485455901774,2.1709074013134724,1.5685938608193277,2.8,71.94152100461623,69.64957865535806,58.770423510623466,1.0973749578778687,0.08833414620770177,62.1950649684402,84.75496535153597,83.51473302262363,77.91597832082131,48.55968271417714,15.529890389878835,2.1148710326479234,22.570462342638233,24.93431198329994,35.54036909872295,90.96353232759179,91.9341154726255,32.25407672394968,10.647270235447955,11.871127412128935,17.05366483689288,44.29372953663768,75.3716925887201,88.18226086982331,baseline,0.7693676342350503,0.5897167471581526,0.22296548775571445,0.0007877639473138779,6.32946154476734e-05,0.24116434272579576,0.18209046198153295,0.0039546887692379785,0.0003598127139770198,3.6068174932777025e-05,1.0011134613825503,1.0809859430995603,4.718649018510488,4.826392614183853,5.466241902897862,7.938304950583024,7.9774870865513385,5.36808828599927,4.356600070290288,4.432049103265893,4.963528782814269,7.1426330604159425,9.098057208687077,9.702832029353836,0.018586575891402647,0.02166695455462329,0.0,0.0,0.11810954465465524,0.34558838921022034,2.019120055099547,197,TrialState.COMPLETE,D4_diffusion_resolution_pair,1.9919739260535245
baseline_v5_C2_resolution_escape_trial_00174,1.9920371919440387,0.8444489381531586,0.6217913905896745,0.4877563588975937,0.12773089555127407,0.05817072880637837,0.06127076139564004,4.147884764681263e-08,404245.9861652602,24852851541276.785,5.757590402368842e+19,1.3594542863167738,1.3013892021298146,0.024231022691813778,1.3837176222743865,0.5956063373305185,0.5431864120189502,0.0,2.8040898801673206,2.4210278744814353,89.19963391296099,9.432223974557446e+18,9.88743213823796e+18,8.265483975688206e+18,-0.0778152275090397,4.167029488572265,9.399090497099573,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2781035425326145e-105,4.288932844297428e-87,2.2982822608640815e-105,0.7011011797047944,1.0651542244382358e-19,6.973668803678747e-19,2.7906513702733375e-20,700.0,800.0,1.35,122.81868970710734,164.70533227656034,211.16416143140938,268.4929744197236,33.61905579414635,41.886642569453,46.45882915484904,103.78764214316328,57.32881298831424,0.75,350.0,2.186092157960763,1.6301413603834707,1.2714893123894788,2.8,71.28353272233053,69.84344849461868,59.362232704417984,1.188062821283505,0.09662190448491251,62.95892179992156,84.3876042454502,84.04157219804559,78.84994352489834,50.01072925560355,18.372792637924473,3.028592488054083,22.079686904313498,23.697879867474647,33.72318411883133,88.82589105300607,89.88036017061218,30.33110510408765,10.153836365148752,10.606760068293806,15.230970655703683,41.27191108563557,70.20298084483962,84.49981480127818,baseline,0.8858091224628325,0.6405779559836159,0.24449173767364174,0.0009052492090327993,7.02542311877051e-05,0.27666617784664815,0.19202978139223514,0.004246776217400218,0.0004075920138252746,4.363000341954404e-05,1.0113808203371668,1.1369709266599364,5.7509712508931505,5.818093681923057,6.670091439077044,9.985140876501397,10.022947670671709,6.511206475138884,5.181893211554386,5.15963795226837,5.848661333776811,8.713112882543472,11.423818925222086,12.471549080664307,0.05919320448607941,0.03734502004447375,0.0,0.0,0.02872988445844276,0.3460029780350221,3.626727925995465,174,TrialState.COMPLETE,C2_resolution_escape,1.9920371919440387
baseline_v5_C2_resolution_escape_trial_00173,1.994954395116676,0.8549736215085378,0.6204678854888659,0.4876598083278297,0.128050346198192,0.04711126190783148,0.047561363688888296,4.1926211004486646e-08,405564.5225392803,24475108964701.44,5.578678941153777e+19,1.2997928673479058,1.2368106480794436,0.0308736351406244,1.4245166070766486,0.6413170366042259,0.5486159512316883,0.0,2.7717598888618267,2.410813805732562,89.20953690018005,9.320369750181788e+18,9.770447438574557e+18,8.165273860185234e+18,-0.07794369734250477,3.905621644727665,9.25014248187869,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.2267696858119604e-105,4.556445526506472e-87,2.426551318012853e-105,0.7520063575291255,1.0320556041134489e-19,6.586679223466059e-19,2.6672079990185302e-20,700.0,800.0,1.35,122.93051215926623,165.21287555672703,212.69312946978653,272.57413061906084,33.720975259086174,42.2823633974608,47.4802539130595,107.36125506233381,59.88100114927431,0.75,350.0,2.2173024892788167,1.6498358841618888,1.2815370731464109,2.8,71.64698184466741,70.1626879588167,59.69952026613152,1.2169072353315298,0.09919287773959842,63.45591713577006,84.98605627585647,84.62742670289997,79.70059873676857,52.313475994239276,20.9461337788981,3.717964938908,21.592589685193058,23.282797657477413,33.32525672482181,88.7763557108209,89.85642194451758,29.762719597329742,9.425663189299199,9.898420019250251,14.251351833036233,38.801048995258554,67.35631088390264,83.41794007899986,baseline,0.9808935807413346,0.7049036014931312,0.26428353897560775,0.0009587786282836564,7.462446345090673e-05,0.3141410481788297,0.21774906015521522,0.004645733046668221,0.00044142052278393017,4.838803050321373e-05,1.0106670266619808,1.1279075643234737,5.779534889398196,5.849610782212752,6.710939470071055,10.005778275219296,10.044310553279365,6.5653585799810825,5.274139486665492,5.256404217694581,5.9693337289383015,8.880829277455499,11.69711391667648,12.864046594061644,0.05603942255475106,0.04639521888084627,0.0,0.0,0.031012104358061038,0.3235078873025676,3.5185854024201935,173,TrialState.COMPLETE,C2_resolution_escape,1.994954395116676
baseline_v5_E_all_wide_trial_00457,1.9958141659911095,0.7921671013660976,0.6342726978983562,0.5233728550792853,0.12918309898502475,0.028025103871109455,0.1856590250129987,2.155429103345953e-06,1171105.932355679,7696360047858.742,7.667062955774848e+19,2.6923505114577675,3.6290794866633593,0.02529374672325555,0.11324347212923645,1.0860270312662592,0.2379542231424366,0.0,2.554519212284376,0.9862412744838494,88.52804314529351,8.789779295722074e+18,8.952098046515298e+18,8.303108473498376e+18,-0.032684118419935224,4.5371339114614315,3.124970246728983,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.782829776592578e-105,1.0581013459127842e-87,6.04375501848555e-106,0.15976809360767807,1.4184066468183469e-19,2.072889089946638e-18,5.546581133753059e-20,700.0,800.0,1.35,121.51007237511918,158.50810710194088,187.99370914364698,207.22678828434275,32.98202922982567,36.9980347268217,29.4856020417061,48.718681182401866,19.233079140695764,0.75,350.0,1.7054288935373494,1.3073576618454572,1.102307035848735,2.8,75.03799600857909,72.33796039530718,62.67892518910477,1.120434344417053,0.08389315751577707,65.08547189283748,84.4204801065734,82.5403092426875,76.60703645670061,41.963795292835975,17.64444917534026,4.898717287289337,17.81139066589372,20.460590496422842,29.390047233177974,87.17614342576258,88.24837004987413,27.158085541958776,9.282570758228024,11.084410325989651,16.27280630513055,47.56587461878047,68.36816581025202,78.89522643781918,baseline,0.4869402549151989,0.3973003419542942,0.16811897245717108,0.0005356868298240261,3.996179047851442e-05,0.15955304120394442,0.12941110594824273,0.003223030844686399,0.0003491384812225447,3.895344924190396e-05,1.0009042378686976,1.10700938508345,6.6636730706120035,6.804148766315687,7.762908605260096,11.702886542990552,11.667696830819635,7.617029725337654,6.137396093994644,6.2458693253745965,7.066389414152154,10.467107057538861,13.987035875926493,16.206017321442253,0.14179642819879726,0.05119555177586729,0.0,0.0,0.0,0.38913234504554056,1.609027160028264,457,TrialState.COMPLETE,E_all_wide,1.9958141659911095
