label,f_n,K_d,rho_d,fission_rate,Dg_scale,Dv_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,capture_scale,bulk_seed_radius_nm,score_total,score_swd_rmse_percent,score_Rd_log10,score_Nd_log10,score_pressure,highT_diag,probe_sw_d_13_1600,probe_sw_b_13_1600,probe_Rd_13_1600_nm,probe_Nd_13_1600,probe_sw_d_32_1600,probe_sw_b_32_1600,probe_Rd_32_1600_nm,probe_Nd_32_1600,dt_h,n_modes
OAT_fission_rate_1e+20,1e-06,500000.0,30000000000000.0,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8143972968532638,0.780074197883859,0.1701514012446531,0.4566678564780074,0.2434385479010529,7.176322633330674,2.66788537446904,1.284977246605821,77.9528365871014,1.3445680508532505e+19,5.224153642389641,4.804134371895963,101.05225610246228,1.2086186446637107e+19,24.0,15
OAT_Dv_scale_0.3,1e-06,500000.0,30000000000000.0,5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8386090403951818,0.8532449197087637,0.18103690965273264,0.4557674901084969,0.3031901264563449,5.758433912678388,2.6245555926502067,1.3028271619067167,77.48205133545324,1.3469883408386904e+19,5.121216663986232,4.973569193294182,100.21882251442558,1.2146094427313994e+19,24.0,15
OAT_fission_rate_7.5e+19,1e-06,500000.0,30000000000000.0,7.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.938275991189534,0.865172089135589,0.16115800192413343,0.45246281998130083,0.23489265784988367,8.250090971570684,2.8712911760899447,1.2985144133218833,80.1162545543645,1.3329894545979314e+19,5.781244785079131,4.870948250005766,105.37913938061105,1.1794208655754762e+19,24.0,15
OAT_coalescence_d_scale_0,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.9462856961548987,1.0019475567834644,0.1724935279938665,0.5014189649838074,0.20943457259398185,4.57077463749928,3.1900709195177797,1.2927563580516548,79.77622650844799,1.5e+19,6.5940726092094,4.9342644123854615,101.62283012432474,1.5e+19,24.0,15
OAT_nu_scale_3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.9869494434760753,0.8094606721501444,0.19249707583995318,0.45913055269181924,0.1695012661642207,9.839217791226288,2.3312535091352613,1.3831471308467165,74.17329944856225,1.3638232790464717e+19,4.996840369187159,4.803719578409708,99.2274649733421,1.2209873861486385e+19,24.0,15
OAT_f_n_3e-06,3e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9869494434760755,0.8094606721501442,0.19249707583995312,0.45913055269181924,0.16950126616422082,9.839217791226293,2.3312535091352604,1.3831471308467167,74.17329944856222,1.3638232790464725e+19,4.9968403691871535,4.803719578409701,99.22746497334204,1.2209873861486395e+19,24.0,15
OAT_Dg_scale_0.3,1e-06,500000.0,30000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9893092216742452,0.8079009234829049,0.19673753671083022,0.4605945295173504,0.16699788253801826,9.813533109111123,2.2364449197966123,1.3863090342700217,73.05686185292983,1.3692620062035362e+19,4.8164487083793315,4.783199781982061,97.76256845338142,1.2306102312077928e+19,24.0,15
OAT_Dg_scale_0.5,1e-06,500000.0,30000000000000.0,5e+19,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.005494989030798,0.8431374536875932,0.1741840958570036,0.45397223214435056,0.18999351735118056,9.924050077432284,2.649922218016553,1.3599499159456367,77.75755060611259,1.3456025520065698e+19,5.620269900475993,4.867190865375121,104.13903439591483,1.188031411033309e+19,24.0,15
OAT_coalescence_d_scale_0.3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.0,2.1078963137989604,1.0235782469536456,0.16440578470099756,0.4848108460129714,0.21304217395650302,7.849860026800903,3.208239089270067,1.2931747124097013,80.99418858272045,1.441506283871683e+19,6.648165463986115,4.930646922087596,104.79526895594789,1.3790759373184244e+19,24.0,15
OAT_capture_scale_0,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.1094369345198687,0.9883646305865824,0.1505979266509442,0.44736647393036916,0.20983310373447422,9.62282565210156,3.1430474260843817,1.32791953980699,82.91758293123081,1.3162016275446299e+19,6.047398875250726,5.203635925051981,107.72125866014684,1.1549834143422413e+19,24.0,15
OAT_capture_scale_0.1,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0,2.121099545266869,0.9960981333726447,0.15017597930128648,0.4471753810312451,0.21123437080399887,9.708063548017858,3.1535518799455917,1.3246044202038552,83.01951974471673,1.3157419470563887e+19,6.116736717624212,5.177516902777603,108.21302432461046,1.1523716721807567e+19,24.0,15
OAT_capture_scale_0.3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.0,2.1424603541588394,1.012018009415925,0.14933924282394556,0.4467959686785174,0.21411366967681053,9.829687986101785,3.174596378844177,1.3179294313173047,83.2231714602623,1.314822483014187e+19,6.256323364566728,5.123869865150848,109.19476372636126,1.1471630224448215e+19,24.0,15
OAT_b_scale_0.3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.0,2.196256441205708,1.0564860057312442,0.14779043221135943,0.4458779545352831,0.22387944428987505,10.026523197396923,3.2127534129735333,1.3046311832740198,83.58013170442632,1.3136498810335371e+19,6.707008573628073,4.937964960935634,112.2669090976106,1.1315791960537182e+19,24.0,15
OAT_b_scale_0.5,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,2.201614446763327,1.0623836685754788,0.1473133837903422,0.44573374976292535,0.22416953234324666,10.026994763318623,3.2261645676415798,1.3007155854591859,83.71253347536016,1.312884288163328e+19,6.723585348572801,4.9321672910561905,112.38889717587121,1.1306861794872916e+19,24.0,15
OAT_base,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.210433858794968,1.0721108499613534,0.14648700849769417,0.44549925770170296,0.2247429174295288,10.027763182966234,3.248569845385243,1.2941132392081545,83.93313743495683,1.3116054939139699e+19,6.751356831959971,4.922354745358756,112.59309041443994,1.1291905481858122e+19,24.0,15
OAT_K_d_8e+05,1e-06,800000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2184060890834463,0.9440341660304573,0.21851184223840384,0.5165300296786483,0.18283967066130735,10.055242340073507,3.0602838098486536,1.2609687410434993,70.15667154187274,2.1157588484135166e+19,6.731949458189288,4.803467164545877,96.11355848547679,1.8100820729494626e+19,24.0,15
OAT_b_scale_2,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2201950159417945,1.0829502275551461,0.14543498181264333,0.4452452144965889,0.22567176173885403,10.028604794592912,3.2747546280541475,1.28638339193838,84.19001792592178,1.3101117728985453e+19,6.784489091692443,4.910789338177019,112.83632316648784,1.1274096848865237e+19,24.0,15
OAT_b_scale_3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2263858345020546,1.089896090870595,0.14463890642484353,0.44508871579326326,0.22652736061938022,10.029132985789536,3.2927708930390236,1.2811235880108984,84.36617751032408,1.3090848221798097e+19,6.808046476387718,4.902863375060577,113.00896330531872,1.1261473775593138e+19,24.0,15
OAT_K_d_3e+05,1e-06,300000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.2753419376705093,1.173024265006653,0.07740540688671234,0.47295568644737,0.27631856184354775,9.933857339221287,3.363123658162046,1.322569586771672,100.83842177042455,7.830258635631911e+18,6.635973367400036,5.026769061519211,132.5351484219136,6.804916785237945e+18,24.0,15
