stage,variant,model_id,description,rizk_coherent,nucleation_gas_coupling,phi_resolution_mode,bulk_dislocation_capture,dt_h,n_modes,f_n,K_d,g_d_scale,seed_nm,score_main,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_blowup_diag,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13,probe_capture_fraction
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-10,500000.0,0.5,0.0,1.3412365863393192,0.8704009873603602,1.787639639692043,0.4820636054815685,0.19055867877408708,0.0,3.0957244063010534,2.467686498170929,4.112360755368208,1.3549020479496874e+19,75.7584636519846,1.0120145728067975,1.0338334290805693,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-10,300000.0,0.5,0.0,1.3421642466140429,0.9249494218828713,1.9935502132296894,0.4890103658764607,0.10701081231092727,0.0,3.2914279499958385,2.7657644714441085,4.433119353067493,8.026659865229817e+18,93.69805477078101,1.0120261270210393,1.1024403749567733,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-09,300000.0,1.0,0.0,1.3492742631542274,0.9247059235083466,1.5505488411549309,0.48995705997137934,0.11656913952273634,0.0,3.558558084523859,2.554764182416971,3.8935864190714016,8.099448558750764e+18,90.97783254629996,1.0014630069590567,1.0606442723088747,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,500000.0,2.0,0.0,1.3691730178596662,0.9159070967146007,1.3982332181209474,0.4747137319280161,0.17280901256493475,0.0,3.940252779311363,2.7602558413174334,3.775516282580358,1.3381142496642535e+19,78.96885558157231,1.0006602040407855,1.0399449902026112,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,300000.0,3.0,0.0,1.3699724626518657,0.9496575764374773,1.2456593344284317,0.48821520476485986,0.11223463268426645,0.0,3.8976921902952175,2.6347279549244513,3.5843958119285957,8.071926522915603e+18,92.02164447119928,1.0002073333700243,1.0654346553260918,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,500000.0,1.0,0.0,1.3935614720795357,0.9516754271145368,1.817620624065651,0.471562192374427,0.15970358614699995,0.0,3.8011822855744373,3.0590932879850934,4.295979492341937,1.3210200954729976e+19,82.07260707523746,1.0029018054442753,1.0705585877420143,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,500000.0,3.0,0.0,1.3942762474044836,0.9185697578435723,1.0536980788006862,0.48202331521237346,0.1975573841603571,0.0,3.7816665418088453,2.292321737862829,3.2347367299978504,1.3650458942093275e+19,73.7360558592826,1.0002125059075977,1.0161767489393607,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,300000.0,2.0,0.0,1.396424117587982,0.9556419479351564,1.0930847132934933,0.4929514402503584,0.1367373735393921,0.0,3.508458060853769,2.1957426804839546,3.271643670338277,8.223786031387354e+18,86.06112337584285,1.0003077013676873,1.028729969578907,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,800000.0,1.0,0.0,1.3980567609806083,0.8449699963486629,1.606453837517102,0.551548446652726,0.23857550282148193,0.0,3.6359762675702694,2.735881475690117,3.9454756057780953,2.1431923198146638e+19,67.294955213187,1.002953553532932,1.0259765855000182,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-09,500000.0,1.0,0.0,1.3989476664494287,0.9173757201211945,1.3550892097162663,0.48481588333595393,0.20314403999009506,0.0,3.4066080711260307,2.2129177506008797,3.54072257793929,1.3696281638166852e+19,72.79328665072005,1.0014847792179153,1.0143494728335283,0.0
