x1,,,y1,,,z1,,,x2,,,y2,,,z2,,,UO2_Basak (J/m^2),Type,Axis Set,,,,CeO2_Gotte (J/m^2),,,
0,1,18,1,0,0,0,18,-1,0,18,1,1,0,0,0,1,-18,1.17,ST,100,,,,1.44,,,
0,1,12,1,0,0,0,12,-1,0,12,1,1,0,0,0,1,-12,1.33,ST,100,,,,1.73,,,
0,1,9,1,0,0,0,9,-1,0,9,1,1,0,0,0,1,-9,1.51,ST,100,,,,2.01,,,
0,1,7,1,0,0,0,7,-1,0,7,1,1,0,0,0,1,-7,1.57,ST,100,,,,2.14,,,
0,1,6,1,0,0,0,6,-1,0,6,1,1,0,0,0,1,-6,1.59,ST,100,,,,2.21,,,
0,1,5,1,0,0,0,5,-1,0,5,1,1,0,0,0,1,-5,1.65,ST,100,,,,2.20,,,
0,1,4,1,0,0,0,4,-1,0,4,1,1,0,0,0,1,-4,1.52,ST,100,,,,2.19,,,
0,2,7,1,0,0,0,7,-2,0,7,2,1,0,0,0,2,-7,1.56,ST,100,,,,2.32,,,
0,1,3,1,0,0,0,3,-1,0,3,1,1,0,0,0,1,-3,1.35,ST,100,,,,2.13,,,
0,3,8,1,0,0,0,8,-3,0,8,3,1,0,0,0,3,-8,1.48,ST,100,,,,2.44,,,
0,2,5,1,0,0,0,5,-2,0,5,2,1,0,0,0,2,-5,1.52,ST,100,,,,2.27,,,
0,3,7,1,0,0,0,7,-3,0,7,3,1,0,0,0,3,-7,1.54,ST,100,,,,2.27,,,
0,1,2,1,0,0,0,2,-1,0,2,1,1,0,0,0,1,-2,1.50,ST,100,,,,2.15,,,
0,3,5,1,0,0,0,5,-3,0,5,3,1,0,0,0,3,-5,1.58,ST,100,,,,2.13,,,
0,2,3,1,0,0,0,3,-2,0,3,2,1,0,0,0,2,-3,1.32,ST,100,,,,2.07,,,
0,3,4,1,0,0,0,4,-3,0,4,3,1,0,0,0,3,-4,1.48,ST,100,,,,1.82,,,
0,4,5,1,0,0,0,5,-4,0,5,4,1,0,0,0,4,-5,1.31,ST,100,,,,1.66,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,1,4,0,-4,1,1,0,0,0,1,7,0,-7,1,1.58,AT,100,,,,,,,
1,0,0,0,-5,2,0,-2,-5,1,0,0,0,0,1,0,-1,0,1.20,AT,100,,,,,,,
1,0,0,0,1,0,0,0,13,1,0,0,0,12,-5,0,5,12,1.56,AT,100,,,,,,,
1,0,0,0,-5,3,0,-3,-5,1,0,0,0,-7,1,0,-1,-7,1.79,AT,100,,,,,,,
1,0,0,0,6,7,0,-7,6,1,0,0,0,9,-2,0,2,9,1.80,AT,100,,,,,,,
1,0,0,0,1,0,0,0,17,1,0,0,0,8,-15,0,15,8,1.53,AT,100,,,,,,,
1,0,0,0,1,0,0,0,5,1,0,0,0,4,-3,0,3,4,1.37,AT,100,,,,,,,
1,0,0,0,8,1,0,-1,8,1,0,0,0,7,-4,0,4,7,1.64,AT,100,,,,,,,
1,0,0,0,2,1,0,-5,10,1,0,0,0,11,-2,0,2,11,1.80,AT,100,,,,,,,
1,0,0,0,-1,13,0,-13,-1,1,0,0,0,7,11,0,-11,7,1.73,AT,100,,,,,,,
1,0,0,0,4,13,0,-13,4,1,0,0,0,11,8,0,-8,11,1.56,AT,100,,,,,,,
1,0,0,0,-1,7,0,-7,-1,1,0,0,0,1,1,0,-5,5,1.58,AT,100,,,,,,,
1,0,0,0,-2,9,0,-9,-2,1,0,0,0,6,7,0,-7,6,1.59,AT,100,,,,,,,
1,0,0,0,14,5,0,-5,14,1,0,0,0,11,-10,0,10,11,1.60,AT,100,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,0,-1,30,0,0,0,1,30,-1,0,1,30,0,0,0,1,0.62,TW,100,,,,0.94,,,
20,1,0,-1,20,0,0,0,1,20,-1,0,1,20,0,0,0,1,0.76,TW,100,,,,1.12,,,
12,1,0,-1,12,0,0,0,1,12,-1,0,1,12,0,0,0,1,0.86,TW,100,,,,1.34,,,
9,1,0,-1,9,0,0,0,1,9,-1,0,1,9,0,0,0,1,0.90,TW,100,,,,1.45,,,
8,1,0,-1,8,0,0,0,1,8,-1,0,1,8,0,0,0,1,0.92,TW,100,,,,1.49,,,
7,1,0,-1,7,0,0,0,1,7,-1,0,1,7,0,0,0,1,0.95,TW,100,,,,1.52,,,
6,1,0,-1,6,0,0,0,1,6,-1,0,1,6,0,0,0,1,0.95,TW,100,,,,1.56,,,
5,1,0,-1,5,0,0,0,1,5,-1,0,1,5,0,0,0,1,1.03,TW,100,,,,1.63,,,
9,2,0,-2,9,0,0,0,1,9,-2,0,2,9,0,0,0,1,1.01,TW,100,,,,1.66,,,
4,1,0,-1,4,0,0,0,1,4,-1,0,1,4,0,0,0,1,1.01,TW,100,,,,1.67,,,
7,2,0,-2,7,0,0,0,1,7,-2,0,2,7,0,0,0,1,1.04,TW,100,,,,1.65,,,
3,1,0,-1,3,0,0,0,1,3,-1,0,1,3,0,0,0,1,1.04,TW,100,,,,1.58,,,
8,3,0,-3,8,0,0,0,1,8,-3,0,3,8,0,0,0,1,1.02,TW,100,,,,1.68,,,
5,2,0,-2,5,0,0,0,1,5,-2,0,2,5,0,0,0,1,1.00,TW,100,,,,1.70,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,-4,2,-5,-13,-1,10,5,5,2,-2,4,-5,-11,7,10,1.62,MX,100,,,,,,,
1,7,1,-2,1,-5,-12,1,5,5,5,1,-1,2,-5,-9,8,5,1.75,MX,100,,,,,,,
2,4,1,2,-1,0,1,2,-10,4,2,1,1,-2,0,2,1,-10,1.15,MX,100,,,,,,,
1,-2,-1,0,1,-2,5,2,1,1,-2,1,0,-1,-2,5,2,-1,1.21,MX,100,,,,,,,
1,-2,0,2,1,-5,2,1,1,-1,0,2,2,-5,1,2,1,1,1.65,MX,100,,,,,,,
2,-3,1,1,0,-2,6,5,3,2,-3,-1,-1,0,-2,6,5,-3,1.52,MX,100,,,,,,,
0,1,-2,-5,6,3,3,2,1,0,-1,-2,-5,6,-3,3,2,-1,1.53,MX,100,,,,,,,
1,-2,2,4,-5,-7,8,5,1,2,-2,1,-1,-5,-8,7,5,-4,1.62,MX,100,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,-2,2,-1,0,-1,-2,-5,-4,2,1.43,MX,100,,,,,,,
-2,3,1,0,1,-3,-5,-3,-1,-2,3,-1,0,-1,-3,-5,-3,1,1.16,MX,100,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-1,0,6,6,1,-1,-1,12,1,-1,0,6,6,-1,1,1,12,1.62,ST,110,,,,1.98,,,
1,-1,0,5,5,1,-1,-1,10,1,-1,0,5,5,-1,1,1,10,1.68,ST,110,,,,2.08,,,
1,-1,0,4,4,1,-1,-1,8,1,-1,0,4,4,-1,1,1,8,1.71,ST,110,,,,2.14,,,
1,-1,0,7,7,2,-1,-1,7,1,-1,0,7,7,-2,1,1,7,1.68,ST,110,,,,2.25,,,
1,-1,0,3,3,1,-1,-1,6,1,-1,0,3,3,-1,1,1,6,1.77,ST,110,,,,2.24,,,
1,-1,0,5,5,2,-1,-1,5,1,-1,0,5,5,-2,1,1,5,1.52,ST,110,,,,1.94,,,
1,-1,0,9,9,4,-2,-2,9,1,-1,0,9,9,-4,2,2,9,1.69,ST,110,,,,2.14,,,
1,-1,0,2,2,1,-1,-1,4,1,-1,0,2,2,-1,1,1,4,1.62,ST,110,,,,1.95,,,
1,-1,0,7,7,4,-2,-2,7,1,-1,0,7,7,-4,2,2,7,1.49,ST,110,,,,1.95,,,
1,-1,0,5,5,3,-3,-3,10,1,-1,0,5,5,-3,3,3,10,1.44,ST,110,,,,2.21,,,
1,-1,0,3,3,2,-1,-1,3,1,-1,0,3,3,-2,1,1,3,0.91,ST,110,,,,1.07,,,
1,-1,0,4,4,3,-3,-3,8,1,-1,0,4,4,-3,3,3,8,1.43,ST,110,,,,1.86,,,
1,-1,0,5,5,4,-2,-2,5,1,-1,0,5,5,-4,2,2,5,1.54,ST,110,,,,2.03,,,
1,-1,0,7,7,6,-3,-3,7,1,-1,0,7,7,-6,3,3,7,1.63,ST,110,,,,1.77,,,
1,-1,0,1,1,1,-1,-1,2,1,-1,0,1,1,-1,1,1,2,1.69,ST,110,,,,1.69,,,
1,-1,0,5,5,6,-3,-3,5,1,-1,0,5,5,-6,3,3,5,1.60,ST,110,,,,2.11,,,
1,-1,0,3,3,4,-2,-2,3,1,-1,0,3,3,-4,2,2,3,1.68,ST,110,,,,2.31,,,
1,-1,0,2,2,3,-3,-3,4,1,-1,0,2,2,-3,3,3,4,1.64,ST,110,,,,2.09,,,
1,-1,0,3,3,5,-5,-5,6,1,-1,0,3,3,-5,5,5,6,1.56,ST,110,,,,2.21,,,
1,-1,0,1,1,2,-1,-1,1,1,-1,0,1,1,-2,1,1,1,1.00,ST,110,,,,1.32,,,
1,-1,0,2,2,5,-5,-5,4,1,-1,0,2,2,-5,5,5,4,1.73,ST,110,,,,2.12,,,
1,-1,0,3,3,8,-4,-4,3,1,-1,0,3,3,-8,4,4,3,1.62,ST,110,,,,2.12,,,
1,-1,0,1,1,3,-3,-3,2,1,-1,0,1,1,-3,3,3,2,1.71,ST,110,,,,2.23,,,
1,-1,0,1,1,4,-2,-2,1,1,-1,0,1,1,-4,2,2,1,1.38,ST,110,,,,2.08,,,
1,-1,0,1,1,5,-5,-5,2,1,-1,0,1,1,-5,5,5,2,1.46,ST,110,,,,2.01,,,
1,-1,0,1,1,6,-3,-3,1,1,-1,0,1,1,-6,3,3,1,1.34,ST,110,,,,1.80,,,
1,-1,0,1,1,7,-7,-7,2,1,-1,0,1,1,-7,7,7,2,1.44,ST,110,,,,1.92,,,
1,-1,0,1,1,8,-4,-4,1,1,-1,0,1,1,-8,4,4,1,1.34,ST,110,,,,1.76,,,
1,-1,0,1,1,10,-5,-5,1,1,-1,0,1,1,-10,5,5,1,1.26,ST,110,,,,1.63,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-1,0,1,1,5,-5,-5,2,1,-1,0,1,1,2,-1,-1,1,1.46,AT,110,,,,,,,
1,-1,0,3,3,1,-1,-1,6,1,-1,0,6,6,-1,1,1,12,1.95,AT,110,,,,,,,
1,-1,0,3,3,4,-2,-2,3,1,-1,0,5,5,3,-3,-3,10,1.93,AT,110,,,,,,,
1,1,0,2,-2,3,3,-3,-4,1,1,0,0,0,1,1,-1,0,1.76,AT,110,,,,,,,
1,1,0,2,-2,5,5,-5,-4,1,1,0,4,-4,1,1,-1,-8,1.46,AT,110,,,,,,,
1,1,0,0,0,1,1,-1,0,1,1,0,6,-6,7,7,-7,-12,1.69,AT,110,,,,,,,
1,1,0,1,-1,8,4,-4,-1,1,1,0,5,-5,4,2,-2,-5,1.60,AT,110,,,,,,,
1,1,0,3,-3,2,1,-1,-3,1,1,0,0,0,1,1,-1,0,1.68,AT,110,,,,,,,
1,1,0,2,-2,1,1,-1,-4,1,1,0,0,0,1,1,-1,0,1.41,AT,110,,,,,,,
1,1,0,1,-1,4,2,-2,-1,1,1,0,1,-1,0,0,0,-1,1.49,AT,110,,,,,,,
1,1,0,2,-2,5,5,-5,-4,1,1,0,4,-4,-1,-1,1,-8,1.62,AT,110,,,,,,,
1,1,0,-1,1,7,7,-7,2,1,1,0,5,-5,-1,-1,1,-10,1.55,AT,110,,,,,,,
1,1,0,3,-3,1,1,-1,-6,1,1,0,0,0,1,1,-1,0,1.76,AT,110,,,,,,,
1,1,0,4,-4,1,1,-1,-8,1,1,0,0,0,1,1,-1,0,1.71,AT,110,,,,,,,
1,1,0,-1,1,5,5,-5,2,1,1,0,1,-1,1,1,-1,-2,1.27,AT,110,,,,,,,
1,1,0,0,0,1,1,-1,0,1,1,0,2,-2,-1,-1,1,-4,1.40,AT,110,,,,,,,
1,1,0,2,-2,13,13,-13,-4,1,1,0,8,-8,-7,-7,7,-16,1.36,AT,110,,,,,,,
1,1,0,-11,11,-10,-5,5,11,1,1,0,-1,1,6,3,-3,1,1.47,AT,110,,,,,,,
1,1,0,-7,7,10,5,-5,7,1,1,0,1,-1,14,7,-7,-1,1.72,AT,110,,,,,,,
1,1,0,-8,8,13,13,-13,16,1,1,0,2,-2,17,17,-17,-4,1.79,AT,110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,2,1,1,-15,-1,1,0,15,15,-2,-1,-1,-15,-1,1,0,1.47,TW,110,,,,2.04,,,
11,11,2,1,1,-11,-1,1,0,11,11,-2,-1,-1,-11,-1,1,0,1.58,TW,110,,,,2.27,,,
5,5,1,1,1,-10,-1,1,0,5,5,-1,-1,-1,-10,-1,1,0,1.63,TW,110,,,,2.30,,,
9,9,2,1,1,-9,-1,1,0,9,9,-2,-1,-1,-9,-1,1,0,1.69,TW,110,,,,2.35,,,
4,4,1,1,1,-8,-1,1,0,4,4,-1,-1,-1,-8,-1,1,0,1.71,TW,110,,,,2.36,,,
7,7,2,1,1,-7,-1,1,0,7,7,-2,-1,-1,-7,-1,1,0,1.77,TW,110,,,,2.40,,,
3,3,1,1,1,-6,-1,1,0,3,3,-1,-1,-1,-6,-1,1,0,1.82,TW,110,,,,2.41,,,
5,5,2,1,1,-5,-1,1,0,5,5,-2,-1,-1,-5,-1,1,0,1.83,TW,110,,,,2.43,,,
9,9,4,2,2,-9,-1,1,0,9,9,-4,-2,-2,-9,-1,1,0,1.83,TW,110,,,,2.46,,,
2,2,1,1,1,-4,-1,1,0,2,2,-1,-1,-1,-4,-1,1,0,1.79,TW,110,,,,2.46,,,
7,7,4,2,2,-7,-1,1,0,7,7,-4,-2,-2,-7,-1,1,0,1.83,TW,110,,,,2.54,,,
3,3,2,1,1,-3,-1,1,0,3,3,-2,-1,-1,-3,-1,1,0,1.84,TW,110,,,,2.50,,,
4,4,3,3,3,-8,-1,1,0,4,4,-3,-3,-3,-8,-1,1,0,1.87,TW,110,,,,2.55,,,
5,5,4,2,2,-5,-1,1,0,5,5,-4,-2,-2,-5,-1,1,0,1.87,TW,110,,,,2.57,,,
7,7,6,3,3,-7,-1,1,0,7,7,-6,-3,-3,-7,-1,1,0,1.81,TW,110,,,,2.61,,,
1,1,1,1,1,-2,-1,1,0,1,1,-1,-1,-1,-2,-1,1,0,1.75,TW,110,,,,2.50,,,
5,5,6,3,3,-5,-1,1,0,5,5,-6,-3,-3,-5,-1,1,0,1.81,TW,110,,,,2.58,,,
3,3,4,2,2,-3,-1,1,0,3,3,-4,-2,-2,-3,-1,1,0,1.79,TW,110,,,,2.56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,4,-4,4,1,-5,-6,4,4,-1,2,-2,2,5,-3,-8,2,1.78,MX,110,,,,,,,
4,0,1,-1,1,4,-1,-17,4,2,2,-3,1,-1,0,-3,-3,-4,1.92,MX,110,,,,,,,
5,1,1,-1,1,4,1,-7,2,1,1,-1,1,-1,0,-1,-1,-2,1.77,MX,110,,,,,,,
8,4,1,-1,1,4,5,-11,4,2,2,-1,1,-1,0,-1,-1,-4,1.82,MX,110,,,,,,,
2,0,5,-5,5,2,-25,-29,10,4,-2,-3,1,-1,2,-7,-11,-2,1.69,MX,110,,,,,,,
4,2,5,-5,5,2,-7,-11,10,2,0,-1,1,-1,2,-1,-5,-2,1.82,MX,110,,,,,,,
4,2,5,2,1,-2,-1,2,0,2,0,-1,0,1,0,1,0,2,1.63,MX,110,,,,,,,
4,-1,-1,1,-1,5,-2,-7,-1,0,1,-1,1,-1,-1,-2,-1,-1,1.75,MX,110,,,,,,,
1,1,-4,1,-1,0,-2,-2,-1,-1,1,0,1,1,-4,-2,-2,-1,1.79,MX,110,,,,,,,
-1,2,2,0,1,-1,-4,-1,-1,2,-2,-1,1,-1,4,-1,-1,0,1.85,MX,110,,,,,,,
1,-1,-3,1,-2,1,-7,-4,-1,-1,1,-3,1,-2,-1,-7,-4,1,1.79,MX,110,,,,,,,
1,-1,-3,1,-2,1,-7,-4,-1,1,-1,3,-1,2,1,-7,-4,1,1.39,MX,110,,,,,,,
-1,3,-2,1,-1,-2,-4,-2,-1,-1,3,2,-1,1,-2,-4,-2,1,1.82,MX,110,,,,,,,
2,-1,-4,1,-2,1,-3,-2,-1,2,-1,4,-1,2,1,-3,-2,1,1.43,MX,110,,,,,,,
1,1,-5,1,-1,0,-5,-5,-2,1,-1,-1,0,-1,1,-2,-1,-1,1.30,MX,110,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,0,0,1,-1,2,0,-2,-1,0,2.00,MX,110,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,2,-2,1,0,1,2,-5,-4,2,1.78,MX,110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,-1,-10,11,7,-4,-3,1,1,1,10,1,-11,-4,7,-3,1.47,ST,111,,,,2.27,,,
1,1,1,-1,-7,8,5,-3,-2,1,1,1,7,1,-8,-3,5,-2,1.69,ST,111,,,,2.33,,,
1,1,1,-1,-5,6,11,-7,-4,1,1,1,5,1,-6,-7,11,-4,1.54,ST,111,,,,2.01,,,
1,1,1,-1,-4,5,3,-2,-1,1,1,1,4,1,-5,-2,3,-1,1.53,ST,111,,,,2.51,,,
1,1,1,-1,-3,4,7,-5,-2,1,1,1,3,1,-4,-5,7,-2,1.67,ST,111,,,,2.47,,,
1,1,1,-2,-5,7,4,-3,-1,1,1,1,5,2,-7,-3,4,-1,1.81,ST,111,,,,2.26,,,
