Dataset,Label,Fuel,Rod Burn-up (GWd/tU),Specimen burn-up (GWd/tU),Grain size (μm),u235(%),Pellet diameter (mm),Pellet radius (mm),Porosity (%),FGR (%),Radial positions (r/R),Radial position (mm),Restructured fraction at 1° (%),Restructured fraction at 10° (%),Sub-grains ECD50% (μm),New grains ECD50% (μm),AMis2Mean (°),Line misorientations (μm/µm²) ≥10°,Line misorientations (μm/µm²) 1°-10°,Calculated FGR (%),Calculated final burnup (GWd/tU),Calculated final effective burnup (GWd/tU),Calculated radial burnup (GWd/tU),Calculated radial effective burnup (GWd/tU),Calculated radial temperature (°C),Calculated radial fission rate density (fiss m-3 s-1),Calculated radial total strain (/),Calculated radial total stress (MPa)
Zacharie,Std-0,UO2,0.0,0.0,9.1,4.95,8.192,4.096,4.85,0.0,0.0,0.0,0.2,0.1,,,0.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,299.9962,0,0.017990281,-4.81423
Zacharie,Std-36,UO2,37.3,36.1,9.1,4.95,8.192,4.096,4.85,0.53,0.15,0.6144,1.5,1.1,,,0.9,0.1,0.2,0.002380654,33.98543,33.98289,30.20724,30.20724,1040.99,10183622158668349440,0.049799659,-13.41867
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.0,0.0,13.2,3.0,,,2.2,0.3,1.3,0.01304389,56.89324,56.85173,49.69197,44.9694,873.0558,10369510918013659136,0.07065155000000001,-7.145048
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.14,0.5735100000000001,12.8,3.3,,,2.3,0.3,1.3,0.01304389,56.89324,56.85173,49.80914,49.51192,863.8517,10393961459907319808,0.06912847999999999,-7.125979
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.3,1.22895,20.2,4.4,,,2.3,0.3,1.7,0.01304389,56.89324,56.85173,50.14341,50.14341,829.7568,10463715515030609920,0.06402559,-7.113981
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.5,2.04825,11.1,5.2,,,1.4,0.3,0.9,0.01304389,56.89324,56.85173,50.9945,50.9945,750.1976,10641317390086320128,0.05438449,-7.120421
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.58,2.37597,9.7,3.5,,,1.5,0.4,0.9,0.01304389,56.89324,56.85173,51.6891,51.6891,713.1124,10786263591326720000,0.05315353,-7.113036
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.75,3.072375,22.8,6.0,,,2.1,0.6,1.6,0.01304389,56.89324,56.85173,54.103,54.103,607.9678,11289986072141899776,0.05242848,-7.109584
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.86,3.52299,13.0,6.7,,,1.8,0.5,1.2,0.01304389,56.89324,56.85173,57.49883,57.49883,525.8259,11998613567906670592,0.05302106,-7.126867
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.9825,4.02481125,93.1,62.1,0.6,0.6,3.5,2.9,2.1,0.01304389,56.89324,56.85173,71.36697,71.36697,403.6169,14892558588451080192,0.05919636,-7.214299
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.9875,4.04529375,98.5,83.3,,0.6,2.7,3.6,1.7,0.01304389,56.89324,56.85173,71.36697,71.36697,403.6169,14892558588451080192,0.05919636,-7.214299
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.9925,4.06577625,100.0,98.4,,0.6,1.6,4.2,1.1,0.01304389,56.89324,56.85173,75.8764,75.8764,403.6169,15833567439962060800,0.06155949,-7.214299
Zacharie,Std-61,UO2,56.7,61.4,8.8,4.48,8.193,4.0965,3.95,2.75,0.9975,4.08625875,100.0,100.0,,0.7,1.1,4.2,0.9,0.01304389,56.89324,56.85173,75.8764,75.8764,390.1964,15833567439962060800,0.06155949,-7.231842
Zacharie,Std-63,UO2,65.1,63.5,9.1,4.95,8.192,4.096,4.85,4.3,0.0,0.0,23.1,2.8,,,2.3,,,0.01156172,59.90384,59.90384,52.01156,52.01156,918.2601,8878565784179337216,0.0639649,-8.139573
Zacharie,Std-63,UO2,65.1,63.5,9.1,4.95,8.192,4.096,4.85,4.3,1.0,4.096,100.0,100.0,,0.5,1.9,4.3,2.4,0.01156172,59.90384,59.90384,79.78799,79.78799,407.7083,13620105184355999744,0.05914302,-6.90484
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.0,0.0,64.5,1.1,1.3,,3.4,0.4,3.3,0.05122579,65.70119,62.25609,57.1817,17.95297,1231.337,8564474862394178560,0.10857791,-19.20174
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.1,0.4043,18.3,3.5,,,2.6,0.3,1.4,0.05122579,65.70119,62.25609,57.26181,19.07726,1223.728,8576473457770433536,0.10672609,-18.95369
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.24,0.97032,33.4,8.2,1.3,,2.9,0.3,1.9,0.05122579,65.70119,62.25609,57.46062,26.51872,1189.114,8606250523639279616,0.09876639999999999,-18.8414
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.3,1.2129,80.9,26.5,1.2,,6.1,0.7,3.0,0.05122579,65.70119,62.25609,57.60686,37.31715,1164.721,8628153838928549888,0.09377094999999999,-18.42602
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.38,1.53634,94.3,9.1,1.1,,6.1,0.7,4.1,0.05122579,65.70119,62.25609,57.89735,52.48999,1128.837,8671662414273057792,0.08665424,-17.48926
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.42,1.69806,10.3,2.9,,,1.5,0.3,0.7,0.05122579,65.70119,62.25609,58.06036,54.314,1101.106,8696077481459216384,0.08370501999999999,-16.67465
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.75,3.03225,11.0,6.8,,,1.6,0.4,0.9,0.05122579,65.70119,62.25609,61.81569,61.81569,840.9002,9258537663387959296,0.06555810999999999,-11.66544
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9725,3.9318175,40.4,19.8,,,3.0,0.9,1.5,0.05122579,65.70119,62.25609,76.77406,76.77406,588.9047,11498949960458369024,0.06929771,-9.641151
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9775,3.952032500000001,72.9,35.1,0.6,0.6,3.0,1.5,2.1,0.05122579,65.70119,62.25609,79.66646,79.66646,588.9047,11932163507659470848,0.07065191999999999,-9.641151
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9825,3.9722475,79.1,40.3,0.6,0.6,2.8,1.7,2.4,0.05122579,65.70119,62.25609,79.66646,79.66646,571.7031,11932163507659470848,0.07065191999999999,-9.584317
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9875,3.9924625,100.0,94.4,,0.6,1.5,3.4,2.5,0.05122579,65.70119,62.25609,83.54589,83.54589,571.7031,12513210953178189824,0.07255117,-9.584317
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9925,4.012677500000001,100.0,100.0,,0.6,1.0,4.7,1.4,0.05122579,65.70119,62.25609,83.54589,83.54589,571.7031,12513210953178189824,0.07255117,-9.584317
Zacharie,Std-73,UO2,67.5,72.7,10.3,4.49,8.086,4.043,4.69,6.17,0.9975,4.0328925,100.0,100.0,,0.7,0.9,4.5,1.0,0.05122579,65.70119,62.25609,83.54589,83.54589,553.7921,12513210953178189824,0.07255117,-9.534993
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.0,0.0,,,,,0.66,,,0.002444658,36.54099,36.54098,32.34258,32.34258,1004.318,10969163999534530560,0.0223663,0.0223663
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.2,0.8192,,,,,0.58,,,0.002444658,36.54099,36.54098,32.50397,32.50397,980.1653,11023900306220179456,0.01983596,0.02163519
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.56,2.29376,,,,,0.38,,,0.002444658,36.54099,36.54098,33.75623,33.75623,814.1212,11448611176845119488,0.01429697,0.0181673
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.75,3.072,,,,,0.4,,,0.002444658,36.54099,36.54098,35.37498,35.37498,668.3349,11997619147892779008,0.01322075,0.01702407
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.98,4.01408,,,,,0.49,,,0.002444658,36.54099,36.54098,43.84576,43.84576,445.6263,14870530802559080448,0.01479347,0.01613221
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,0.99,4.05504,,,,,0.56,,,0.002444658,36.54099,36.54098,45.93176,45.93176,445.6263,15578009182546980864,0.01572867,0.01612162
Onofri,Std-37,UO2,37.0,36.6,-,4.95,8.192,4.096,,,1.0,4.096,,,,,0.64,,,0.002444658,36.54099,36.54098,49.45575,49.45575,431.6155,16773189784797009920,0.01744425,0.01612726
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.0,0.0,,,,,0.3,,,0.0008947751,14.3667,13.71538,13.11357,5.919945,938.0438,13538690533899479040,0.01893473,0.01893473
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.4,1.6384,,,,,0.22,,,0.0008947751,14.3667,13.71538,13.31584,12.18839,850.8104,13747517797130770432,0.01240278,0.01602792
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.56,2.29376,,,,,0.17,,,0.0008947751,14.3667,13.71538,13.55712,13.55712,772.8629,13996619700885370880,0.01094879,0.01478346
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.75,3.072,,,,,0.2,,,0.0008947751,14.3667,13.71538,14.07537,14.07537,648.5967,14531670519937189888,0.009489036,0.01361092
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.98,4.01408,,,,,0.25,,,0.0008947751,14.3667,13.71538,16.45025,16.45025,466.4175,16983540252980690944,0.008273063,0.01246103
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,0.99,4.05504,,,,,0.35,,,0.0008947751,14.3667,13.71538,17.00444,17.00444,455.6642,17555696188167049216,0.008422878,0.01241108
Onofri,Std-16,UO2,16.0,15.6,-,3.7,8.192,4.096,,,1.0,4.096,,,,,0.3,,,0.0008947751,14.3667,13.71538,17.93416,17.93416,444.681,18515556192969469952,0.008772151,0.01236531
