angle_deg,gamma_random,sd_random,gamma_st100,gamma_st110
1,0.24863,0.0213032,0.288197,0.262861
2.5,0.496827,0.0418748,0.572677,0.528289
5,0.79706,0.0605748,0.914383,0.856674
7.5,1.01913,0.073147,1.15943,1.10283
10,1.17998,0.0788367,1.33707,1.29179
12.5,1.2947,0.0820505,1.46244,1.43613
15,1.36833,0.0814417,1.54518,1.54386
17.5,1.41612,0.0825493,1.59157,1.62058
20,1.45063,0.0840841,1.60524,1.67025
22.5,1.47674,0.0782945,1.6012,1.69548
25,1.4959,0.0747761,1.58966,1.69879
27.5,1.51538,0.0669853,1.56942,1.69091
30,1.5309,0.0613745,1.53839,1.67401
35,1.55472,0.0513179,1.4263,1.60979
40,1.57385,0.046465,1.4494,1.49508
45,1.58828,0.0474811,1.51586,1.30816
50,1.59517,0.0484861,1.52757,0.97659
60,1.60058,0.0688923,1.60555,1.47194
