data_set,w_r,w_X,k,beta,rho_c,cutoff_um,J,rmse_theta,rmse_radius,rmse_fraction,all_rmse_theta,all_rmse_radius,all_rmse_fraction,all_error_sum,pareto_all_data
A,0.0,0.0,0.05054,18.898,1782100000000000.0,0.023688,0.18079,1.5669,2.5834e-07,0.18163,1.717,2.2821e-07,0.17649,2.8512,False
A,0.0,0.1,0.055401,18.825,1842400000000000.0,0.023297,0.20188,1.5676,2.5465e-07,0.18017,1.7167,2.2619e-07,0.17628,2.8337,False
A,0.0,0.3,0.063409,18.728,1946900000000000.0,0.022664,0.24331,1.5708,2.49e-07,0.17848,1.7165,2.23e-07,0.1762,2.8067,False
A,0.0,1.0,14.798,44.163,3.6097e+18,0.00052634,0.4349,1.6957,2.1123e-06,0.18602,1.8707,2.2006e-06,0.19441,19.407,False
A,0.0,3.0,0.082797,18.416,2261700000000000.0,0.021027,0.78643,1.587,2.3693e-07,0.17624,1.7352,2.1827e-07,0.17936,2.781,False
A,0.01,0.0,0.083372,20.15,2250400000000000.0,0.02108,0.20804,1.5816,2.2009e-07,0.18082,1.6701,2.0693e-07,0.17094,2.6457,False
A,0.01,0.1,0.08335,19.895,2250800000000000.0,0.021078,0.229,1.5797,2.2265e-07,0.17974,1.6768,2.0843e-07,0.17174,2.6623,False
A,0.01,0.3,0.083264,19.551,2252500000000000.0,0.02107,0.27035,1.5787,2.2605e-07,0.17853,1.6876,2.1062e-07,0.17308,2.6871,False
A,0.01,1.0,0.083017,18.813,2257400000000000.0,0.021047,0.41247,1.5819,2.3321e-07,0.17672,1.7163,2.1549e-07,0.17683,2.7458,False
A,0.01,3.0,0.082056,18.515,2276300000000000.0,0.02096,0.81388,1.5874,2.3527e-07,0.17626,1.732,2.1917e-07,0.17878,2.7861,False
A,0.05,0.0,0.48669,26.508,9635400000000000.0,0.010187,0.24066,1.6989,1.069e-07,0.18667,1.8514,1.4275e-07,0.18995,2.2109,False
A,0.05,0.1,0.50104,26.426,9961200000000000.0,0.010019,0.2631,1.6994,1.067e-07,0.18635,1.857,1.4229e-07,0.19065,2.2105,False
A,0.05,0.3,0.51141,26.307,1.0292e+16,0.0098569,0.3078,1.6996,1.0688e-07,0.18605,1.8632,1.4228e-07,0.19164,2.2147,False
A,0.05,1.0,0.52162,26.116,1.0749e+16,0.0096454,0.46377,1.6999,1.0744e-07,0.18576,1.8726,1.4265e-07,0.19328,2.2249,False
A,0.05,3.0,0.55159,25.995,1.1423e+16,0.0093565,0.90832,1.7044,1.0685e-07,0.18557,1.8839,1.4163e-07,0.19447,2.2227,False
A,0.2,0.0,0.62028,26.996,9870700000000000.0,0.010065,0.31938,1.7369,9.9358e-08,0.18852,1.8695,1.3411e-07,0.18695,2.1354,False
A,0.2,0.1,0.63373,26.826,1.0307e+16,0.0098502,0.3422,1.7341,9.9762e-08,0.18777,1.8743,1.3435e-07,0.18785,2.1411,False
A,0.2,0.3,0.64927,26.604,1.0914e+16,0.0095721,0.38745,1.731,1.0036e-07,0.18694,1.8811,1.3475e-07,0.1892,2.15,False
A,0.2,1.0,0.66113,26.283,1.1845e+16,0.0091881,0.54427,1.7263,1.0157e-07,0.18604,1.8913,1.3572e-07,0.19155,2.1673,False
A,0.2,3.0,0.64855,26.073,1.2368e+16,0.0089919,0.98939,1.7213,1.0301e-07,0.18563,1.8969,1.3709e-07,0.19348,2.1855,False
A,1.0,0.0,0.061079,38.971,1985000000000000.0,0.022445,0.39383,2.1169,3.6006e-08,0.29494,2.3127,2.3578e-07,0.3074,3.4341,False
A,1.0,0.1,0.062305,38.758,2003600000000000.0,0.02234,0.44948,2.1037,3.7267e-08,0.29255,2.2913,2.373e-07,0.30364,3.4307,False
