data_set,observable,paper,n,rmse,r2,sum_leverage,sum_cook,weight_share
A,theta,all,41,1.726,0.7806,0.785,0.363,1.0
A,theta,ZAC,27,2.069,0.7116,0.604,0.351,0.659
A,theta,ONO,14,0.6865,,0.181,0.012,0.341
A,radius,all,14,0.1016,0.492,1.276,0.295,1.0
A,radius,ZAC,14,0.1016,0.492,1.276,0.295,1.0
A,fraction,all,27,0.186,0.7768,0.939,0.981,1.0
A,fraction,ZAC,27,0.186,0.7768,0.939,0.981,1.0
B,theta,all,52,1.866,0.7488,0.735,0.365,1.0
B,theta,ZAC,27,2.139,0.6918,0.436,0.285,0.519
B,theta,Cr,11,2.099,0.6667,0.161,0.069,0.212
B,theta,ONO,14,0.8073,,0.138,0.011,0.269
B,radius,all,26,0.1205,-0.0112,1.328,1.036,1.0
B,radius,ZAC,14,0.1071,0.4349,0.635,0.129,0.538
B,radius,Cr,8,0.1208,-0.9565,0.632,0.86,0.308
B,radius,GER,4,0.158,-44.7114,0.061,0.047,0.154
B,fraction,all,49,0.1841,0.744,0.937,0.691,1.0
B,fraction,ZAC,27,0.2003,0.7411,0.567,0.566,0.551
B,fraction,Cr,11,0.1969,0.7345,0.221,0.107,0.224
B,fraction,GER,5,0.09222,0.8897,0.073,0.006,0.102
B,fraction,NOI,6,0.1346,0.1484,0.077,0.013,0.122
C,theta,all,52,1.864,0.7494,1.199,0.275,1.0
C,theta,ZAC,27,2.107,0.7008,0.331,0.236,0.579
C,theta,Cr,11,2.174,0.6426,0.093,0.033,0.162
C,theta,ONO,14,0.7897,,0.776,0.005,0.259
C,radius,all,26,0.1222,-0.0414,1.093,0.546,1.0
C,radius,ZAC,14,0.103,0.4771,0.645,0.105,0.587
C,radius,Cr,8,0.1342,-1.4127,0.397,0.4,0.236
C,radius,GER,4,0.1548,-42.91,0.051,0.041,0.177
C,fraction,all,49,0.1842,0.7438,0.707,0.669,1.0
C,fraction,ZAC,27,0.1948,0.7553,0.5,0.589,0.694
C,fraction,Cr,11,0.2048,0.7128,0.144,0.07,0.194
C,fraction,GER,5,0.1033,0.8617,0.02,0.001,0.033
C,fraction,NOI,6,0.1434,0.0326,0.044,0.009,0.079
