data_set,obs,group,label,rank,relevance,conditions,bu,T,y,w,pred,lev,cook
A,theta,ZAC,ZAC-Std-36 0.15 Theta,B,3.0,model/model,35.0,1146.55,0.1136,1.0,0.5518099709627409,0.03223528703798492,0.0005743157161680609
A,fraction,ZAC,ZAC-Std-36 0.15 f10,B,3.0,model/model,35.0,1146.55,0.011000000000000001,1.0,0.0,0.0,0.0
A,theta,ZAC,ZAC-Std-61 0 Theta,B,3.0,model/model,58.5,1196.55,0.5244000000000001,1.0,1.630448120482037,0.015323021357711032,0.0016799605999208655
A,fraction,ZAC,ZAC-Std-61 0 f10,B,3.0,model/model,58.5,1196.55,0.03,1.0,0.07004979116467076,0.02515998872390552,0.0004907830213701561
A,theta,ZAC,ZAC-Std-61 0.14 Theta,B,3.0,model/model,58.5,1183.9499999999998,0.5484999999999999,1.0,1.630448120482037,0.015323021357710933,0.0016075479123818966
A,fraction,ZAC,ZAC-Std-61 0.14 f10,B,3.0,model/model,58.5,1183.9499999999998,0.033,1.0,0.07004979116467076,0.025159988723901953,0.0004200108862028654
A,theta,ZAC,ZAC-Std-61 0.3 Theta,B,3.0,model/model,58.5,1139.25,0.8033999999999999,1.0,1.630448120482037,0.0153230213577083,0.0009393179253340117
A,fraction,ZAC,ZAC-Std-61 0.3 f10,B,3.0,model/model,58.5,1139.25,0.044000000000000004,1.0,0.07004979116467076,0.02515998872390112,0.00020763354086331926
A,theta,ZAC,ZAC-Std-61 0.5 Theta,B,3.0,model/model,58.5,1041.25,0.6026,1.0,1.630448120482037,0.01532302135771882,0.0014508046681371409
A,fraction,ZAC,ZAC-Std-61 0.5 f10,B,3.0,model/model,58.5,1041.25,0.052000000000000005,1.0,0.07004979116467076,0.025159988723918017,9.968581898173262e-05
A,theta,ZAC,ZAC-Std-61 0.58 Theta,B,3.0,model/model,58.5,990.4499999999999,0.443,1.0,1.6304481204820367,0.015323021357718833,0.0019363343108543222
A,fraction,ZAC,ZAC-Std-61 0.58 f10,B,3.0,model/model,58.5,990.4499999999999,0.035,1.0,0.07004979116467075,0.025159988723918857,0.0003758892344211064
A,theta,ZAC,ZAC-Std-61 0.75 Theta,B,3.0,model/model,58.6,864.25,0.9528000000000001,1.0,1.636749416610363,0.015292313079995463,0.000641062990840831
A,fraction,ZAC,ZAC-Std-61 0.75 f10,B,3.0,model/model,58.6,864.25,0.06,1.0,0.07074993517892923,0.025109566558266915,3.5284547944507784e-05
A,theta,ZAC,ZAC-Std-61 0.86 Theta,B,3.0,model/model,59.5,771.8499999999999,0.7834000000000001,1.0,1.6943052259009492,0.015024267823349589,0.0011165620352857949
A,fraction,ZAC,ZAC-Std-61 0.86 f10,B,3.0,model/model,59.5,771.8499999999999,0.067,1.0,0.07714502510010547,0.024669443460000745,3.084659352101336e-05
A,theta,ZAC,ZAC-Std-61 0.9825 Theta,B,3.0,model/model,83.7,659.45,7.295,1.0,3.9871212065479518,0.0176918020672381,0.01743291146993037
A,fraction,ZAC,ZAC-Std-61 0.9825 f10,B,3.0,model/model,83.7,659.45,0.621,1.0,0.33190235628310577,0.029049462904605944,0.029763107065505737
