Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1273	1e+19	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+13	0	0	0	0	0	0	0.5	0	1	0	7.43262e+26	2.372858e+28	
55	1273	1e+19	0	5e-06	4.752e+23	4.490564e+23	4.490564e+23	0	2.61436e+22	0	5.94e+22	5.613205e+22	5.613205e+22	0	3.26795e+21	0	0	1.308758e+24	0	0	3.976259e+13	1232.798	1981.221	6.375315e-09	7.493094e-17	1.830117e-25	0.002979448	0.5	4.366212e-06	1	0.06517776	7.43262e+26	2.372858e+28	
110	1273	1e+19	0	5e-06	9.504e+23	8.92326e+23	6.411603e+23	2.511657e+23	5.807396e+22	0	1.188e+23	1.115408e+23	8.014504e+22	3.139572e+22	7.259245e+21	0	0	1.326059e+24	0	0	3.954566e+13	2753.493	6405.957	8.851333e-09	1.444359e-16	4.897787e-25	0.005711812	0.5	1.162117e-05	1	0.1303555	7.43262e+26	2.372858e+28	
165	1273	1e+19	0	5e-06	1.4256e+24	1.327414e+24	9.502471e+23	3.771673e+23	9.818556e+22	0	1.782e+23	1.659268e+23	1.187809e+23	4.714591e+22	1.227319e+22	0	0	1.326288e+24	1.276546e-10	1.155676e-05	3.929507e+13	4685.014	13966.11	1.107252e-08	2.260222e-16	9.587688e-25	0.008881558	0.5	2.260493e-05	1	0.1955333	7.43262e+26	2.372858e+28	
220	1273	1e+19	0	5e-06	1.9008e+24	1.757899e+24	1.170399e+24	5.874995e+23	1.429014e+23	0	2.376e+23	2.197373e+23	1.462999e+23	7.343744e+22	1.786267e+22	0	0	1.045959e+24	1.582227e-10	1.735441e-05	3.902655e+13	6865.584	24683.21	1.307164e-08	3.150052e-16	1.57748e-24	0.01229357	0.5	3.693816e-05	1	0.260711	7.43262e+26	2.372858e+28	
275	1273	1e+19	0	5e-06	2.376e+24	2.18037e+24	1.547218e+24	6.331519e+23	1.956298e+23	0	2.97e+23	2.725463e+23	1.934023e+23	7.914398e+22	2.445372e+22	0	0	9.892441e+23	1.868517e-10	2.703232e-05	3.872441e+13	9472.213	39612.61	1.504192e-08	4.171231e-16	2.403718e-24	0.01615285	0.5	5.584954e-05	1	0.3258888	7.43262e+26	2.372858e+28	
330	1273	1e+19	0	5e-06	2.8512e+24	2.597456e+24	1.858989e+24	7.384667e+23	2.537439e+23	0	3.564e+23	3.24682e+23	2.323737e+23	9.230833e+22	3.171799e+22	0	0	9.420048e+23	1.947215e-10	2.91329e-05	3.839918e+13	12390.11	58983.72	1.694666e-08	5.294515e-16	3.437371e-24	0.0203305	0.5	7.919534e-05	1	0.3910665	7.43262e+26	2.372858e+28	
385	1273	1e+19	0	5e-06	3.3264e+24	3.009399e+24	2.179607e+24	8.297922e+23	3.170012e+23	0	4.158e+23	3.761748e+23	2.724508e+23	1.03724e+23	3.962516e+22	0	0	9.293112e+23	2.058981e-10	3.39787e-05	3.805324e+13	15619.63	83192.6	1.880227e-08	6.517461e-16	4.694668e-24	0.02480105	0.5	0.0001071884	1	0.4562443	7.43262e+26	2.372858e+28	
440	1273	1e+19	0	5e-06	3.8016e+24	3.417023e+24	2.478209e+24	9.388148e+23	3.845766e+23	0	4.752e+23	4.271279e+23	3.097761e+23	1.173518e+23	4.807208e+22	0	0	9.122055e+23	2.153879e-10	3.818081e-05	3.769061e+13	19131.59	112497.1	2.061068e-08	7.831456e-16	6.183737e-24	0.02951724	0.5	0.0001398413	1	0.5214221	7.43262e+26	2.372858e+28	
495	1273	1e+19	0	5e-06	4.2768e+24	3.82049e+24	2.779704e+24	1.040787e+24	4.563098e+23	0	5.346e+23	4.775613e+23	3.47463e+23	1.300983e+23	5.703872e+22	0	0	8.979899e+23	2.256136e-10	4.319722e-05	3.731276e+13	22929.98	147281.5	2.238353e-08	9.236663e-16	7.920633e-24	0.03446455	0.5	0.0001773244	1	0.5865998	7.43262e+26	2.372858e+28	
